Ingredient,Mean Slope,Median Slope,% Stable (<1 unit/min)
lemon,8.613264810056249,11.857906799083299,0.0
dill,5.501590388221414,6.981526494895527,0.0
cumin,1.6267379679144398,4.77491492464755,0.0
angelica,2.84373914855198,3.68546426835199,20.0
oregano,1.3115910827140798,2.698520730606289,0.0
cloves,3.534078755469116,2.4197513716230326,0.0
allspice,2.394791304951696,2.2755746926869684,0.0
cinnamon,1.2859643030766006,1.3465518438780544,0.0
ginger,2.6966872699493036,1.141745954580202,40.0
garlic,0.7541773734287127,0.9759011042433517,60.0
mint,1.0587401902909863,0.9542329328425495,60.0
chives,0.8228488089450643,0.9388151954996817,60.0
asparagus,1.1380373637058099,0.8846447669977122,60.0
star_anise,-0.689214528786728,0.7594277380373555,40.0
chervil,0.6608792277241463,0.7475519133273059,80.0
potato,0.5942496006667108,0.7427599138829034,80.0
pineapple,0.9348149177026205,0.7071324397527626,60.0
chamomile,0.9123966942148737,0.6879644419751378,80.0
apple,0.881061184804498,0.6190013195360784,60.0
pear,0.41369539551357104,0.6112924508646346,100.0
banana,0.5637058129036661,0.5652475866379699,80.0
pistachios,0.6608792277241469,0.5073268977012263,80.0
saffron,0.44628099173553704,0.4975345510104968,40.0
chestnuts,0.5924161400097211,0.4612820334745537,80.0
walnuts,0.29589554830196274,0.40461143134939626,100.0
brazil_nut,0.3002708521425051,0.3721091742482125,100.0
broccoli,0.40848670046530894,0.35294117647057305,100.0
mandarin_orange,0.9636919230502115,0.34606569900688905,40.0
mugwort,0.19138829085351605,0.33939856934507817,100.0
brussel_sprouts,0.4618654073199485,0.30481283422459127,80.0
cauliflower,0.18447114382943094,0.2737690117369263,100.0
mustard,0.2496423362733534,0.26835196888672924,100.0
strawberry,0.3629835405236467,0.26147649142303697,100.0
pecans,0.24472532814778897,0.26147649142301876,100.0
cashew,0.2382248767275504,0.23209945135078658,100.0
radish,-0.013542607125493244,0.2077227585248947,60.0
sweet_potato,0.08700604208625277,0.18334606569900402,100.0
hazelnut,0.22943259948607597,0.17626224043337005,100.0
avocado,0.19092992568928538,0.15709424265573843,100.0
cabbage,0.1870963261337595,0.14959372178623306,100.0
turnip,0.16371970275713554,0.14542676574761979,100.0
peanuts,0.15971942496006775,0.10313216195568146,100.0
mango,-0.04429474269046753,0.0983401625112789,100.0
kiwi,0.13892631432738503,0.0672963400236122,100.0
pili_nut,0.03658587401902526,0.0014584346135166272,100.0
peach,-0.3572748107507496,-0.02354330161816944,80.0
coriander,-0.6380443086325458,-0.0643794707965526,40.0
tomato,0.012042502951597006,-0.1410514619070671,100.0
almond,-0.4376970622959936,-0.42044586429613173,80.0
nutmeg,1.8872143898882232,-5.709354816306604,0.0
