NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
58,90,119,770,3,16,0,25.63,1018.43,23.74,277.9,-11.85
58,90,118,770,3,15,0,25.63,1018.43,23.74,280.25,-11.85
58,90,118,770,3,16,0,25.63,1018.43,23.75,281.21,-11.85
57,90,118,770,3,16,0,25.63,1018.43,23.77,280.73,-11.94
58,90,118,770,3,16,0,25.63,1018.44,23.81,284.6,-11.85
58,90,117,770,3,16,0,25.63,1018.43,23.82,284.11,-11.85
55,90,116,769,3,16,0,25.63,1018.43,23.86,285.58,-11.94
57,90,117,770,3,16,0,25.56,1018.44,23.98,277.2,-11.85
56,89,117,769,3,16,0,25.55,1018.43,24.04,280.73,-11.85
57,89,116,769,3,16,0,25.55,1018.43,24.07,282.89,-11.77
57,89,116,769,3,15,0,25.56,1018.42,24.11,285.09,-11.77
57,89,116,768,3,16,0,25.57,1018.42,24.11,285.33,-11.85
56,89,116,769,3,15,0,25.58,1018.43,24.12,286.57,-11.85
56,89,116,770,3,15,0,25.59,1018.43,24.13,286.07,-11.77
56,88,115,769,3,15,0,25.59,1018.42,24.14,288.07,-11.77
56,88,115,769,2,15,0,25.6,1018.42,24.14,290.6,-11.77
56,89,115,770,2,15,0,25.61,1018.42,24.14,290.35,-11.85
56,89,114,769,3,15,0,25.61,1018.43,24.13,293.18,-11.85
56,89,115,770,2,15,0,25.62,1018.43,24.14,292.92,-11.85
56,89,115,771,2,14,0,25.62,1018.43,24.12,293.7,-11.94
55,89,115,771,2,15,0,25.63,1018.44,24.08,295.8,-11.94
56,89,115,772,3,15,0,25.63,1018.44,24.05,297.13,-11.85
56,89,115,772,2,15,0,25.63,1018.43,24.04,297.67,-11.85
56,90,116,772,3,15,0,25.64,1018.43,24.01,297.93,-11.85
56,89,115,773,2,16,0,25.64,1018.43,24.0,300.1,-11.85
56,89,115,773,2,15,0,25.64,1018.43,24.0,299.55,-11.77
56,89,115,773,2,15,0,25.64,1018.42,24.0,299.55,-11.77
55,88,116,774,3,15,0,25.64,1018.42,24.0,300.64,-11.77
55,89,116,774,3,18,0,25.64,1018.42,24.02,302.85,-11.85
55,89,116,774,3,16,0,25.64,1018.43,24.02,305.37,-11.85
56,89,116,774,3,17,0,25.65,1018.43,24.03,304.52,-11.77
55,89,116,775,3,16,0,25.65,1018.42,24.04,305.08,-11.69
56,88,116,774,4,15,0,25.65,1018.41,24.04,305.37,-11.69
55,89,115,775,3,16,0,25.65,1018.41,24.05,307.07,-11.61
56,89,115,773,3,18,0,25.65,1018.4,24.07,308.5,-11.61
55,89,115,774,3,18,0,25.65,1018.4,24.07,307.93,-11.61
56,89,115,774,4,17,0,25.65,1018.4,24.08,306.78,-11.61
55,89,115,774,4,18,0,25.65,1018.4,24.1,309.37,-11.61
55,89,115,774,4,18,0,25.65,1018.4,24.11,310.82,-11.69
55,89,115,775,3,17,0,25.65,1018.41,24.13,311.99,-11.61
