NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
30,66,73,818,2,23,0,25.57,1014.85,38.55,244.23,17.85
30,66,72,817,1,23,0,25.56,1014.85,38.56,243.87,17.85
30,66,73,817,2,23,0,25.56,1014.85,38.56,244.77,17.93
31,66,73,817,1,23,0,25.56,1014.84,38.55,245.31,17.93
30,66,72,817,2,25,0,25.56,1014.84,38.58,244.77,17.93
30,66,72,817,2,23,0,25.56,1014.84,38.57,245.31,17.93
31,66,72,816,1,23,0,25.56,1014.84,38.58,246.04,17.93
31,66,72,816,2,23,0,25.56,1014.84,38.57,246.59,17.93
31,66,73,815,2,23,0,25.56,1014.84,38.58,245.68,17.93
30,66,72,816,2,22,0,25.56,1014.84,38.59,246.96,17.93
31,66,73,815,1,24,0,25.56,1014.84,38.57,246.41,17.93
30,66,72,816,2,23,0,25.56,1014.84,38.56,245.68,17.93
31,66,72,815,2,23,0,25.56,1014.84,38.58,246.23,17.93
30,66,72,816,1,22,0,25.56,1014.84,38.56,246.41,17.93
30,66,72,815,2,23,0,25.56,1014.84,38.57,248.26,17.93
31,66,72,815,2,23,0,25.56,1014.84,38.57,248.26,17.93
30,66,72,815,2,23,0,25.55,1014.84,38.57,248.82,17.93
30,66,73,815,1,23,0,25.55,1014.84,38.57,247.89,17.93
30,67,73,815,2,24,0,25.55,1014.84,38.58,248.82,17.93
30,66,72,816,1,23,0,25.55,1014.84,38.59,248.63,17.93
30,66,72,815,2,22,0,25.55,1014.84,38.59,249.38,17.93
30,66,72,816,2,23,0,25.55,1014.84,38.59,248.63,17.85
31,66,72,816,1,22,0,25.55,1014.85,38.62,249.76,17.85
31,66,72,816,2,23,0,25.55,1014.85,38.62,250.71,17.85
31,66,72,816,2,23,0,25.55,1014.85,38.64,249.38,17.93
30,66,72,817,1,23,0,25.55,1014.84,38.65,249.95,17.93
30,66,72,817,1,23,0,25.56,1014.84,38.66,248.26,17.93
30,66,72,817,2,22,0,25.56,1014.84,38.67,249.57,17.85
30,66,72,818,2,23,0,25.55,1014.85,38.65,249.95,17.93
30,66,72,818,1,23,0,25.55,1014.84,38.67,250.52,17.93
30,66,72,818,2,23,0,25.55,1014.84,38.67,250.52,18.02
30,66,72,819,1,23,0,25.55,1014.83,38.69,252.05,17.93
30,66,72,819,1,23,0,25.55,1014.84,38.7,248.63,17.93
30,66,72,820,1,23,0,25.55,1014.84,38.72,249.38,17.93
30,66,72,819,1,24,0,25.55,1014.84,38.73,248.82,17.85
30,66,72,820,1,24,0,25.55,1014.85,38.73,249.76,17.68
30,66,72,821,2,23,0,25.55,1014.87,38.74,250.14,17.77
30,67,72,821,2,23,0,25.55,1014.86,38.74,249.76,17.77
30,67,72,822,2,23,0,25.55,1014.86,38.74,250.9,17.77
30,67,72,822,2,24,0,25.55,1014.86,38.76,250.52,17.85
30,67,72,823,1,23,0,25.55,1014.85,38.77,250.14,17.85
30,67,72,823,2,23,0,25.55,1014.85,38.78,250.14,17.77
30,67,72,824,1,23,0,25.55,1014.86,38.78,250.71,17.77
30,67,71,824,2,23,0,25.55,1014.86,38.78,251.28,17.85
30,67,72,825,2,23,0,25.55,1014.85,38.78,251.85,17.77
30,67,72,825,2,24,0,25.55,1014.86,38.78,250.33,17.77
30,67,72,825,2,24,0,25.55,1014.86,38.78,251.47,17.68
30,67,72,826,1,23,0,25.56,1014.87,38.77,251.09,17.77
30,67,72,826,1,22,0,25.55,1014.86,38.75,250.9,17.68
30,67,72,826,2,23,0,25.55,1014.87,38.75,251.28,17.68
30,67,72,826,2,23,0,25.55,1014.87,38.75,250.52,17.68
30,67,72,826,2,23,0,25.55,1014.87,38.77,251.09,17.68
30,67,72,827,2,24,0,25.55,1014.87,38.76,251.28,17.68
30,67,72,827,2,23,0,25.55,1014.87,38.76,251.28,17.68
30,67,72,828,2,23,0,25.55,1014.87,38.76,250.14,17.6
30,67,72,828,1,23,0,25.55,1014.88,38.75,251.28,17.6
30,67,72,828,1,23,0,25.55,1014.88,38.77,250.52,17.6
30,67,72,828,1,23,0,25.55,1014.88,38.77,252.05,17.6
30,67,72,828,1,23,0,25.55,1014.88,38.78,252.05,17.68
30,67,72,827,2,23,0,25.55,1014.87,38.8,251.66,17.68
30,67,72,827,2,22,0,25.55,1014.87,38.8,249.95,17.68
30,67,72,829,2,23,0,25.55,1014.87,38.8,250.52,17.6
30,67,72,828,1,23,0,25.55,1014.88,38.77,252.24,17.68
30,67,72,828,1,23,0,25.55,1014.87,38.78,251.28,17.68
30,68,72,828,1,22,0,25.55,1014.87,38.77,250.52,17.68
30,67,72,829,2,23,0,25.55,1014.87,38.77,252.82,17.6
30,67,72,829,2,23,0,25.55,1014.88,38.76,250.9,17.6
30,67,72,830,2,23,0,25.55,1014.88,38.76,253.01,17.68
30,67,72,829,1,23,0,25.55,1014.87,38.74,251.66,17.6
30,67,72,829,1,24,0,25.55,1014.88,38.74,251.28,17.6
30,67,72,829,1,24,0,25.55,1014.88,38.73,252.43,17.52
30,67,72,828,2,21,0,25.55,1014.89,38.73,252.05,17.6
30,67,72,829,2,24,0,25.55,1014.88,38.73,252.24,17.52
30,67,72,829,2,23,0,25.56,1014.89,38.74,254.37,17.6
30,67,72,829,1,24,0,25.55,1014.88,38.75,253.01,17.6
30,67,72,829,1,22,0,25.55,1014.88,38.76,253.21,17.68
30,68,72,830,1,24,0,25.55,1014.87,38.79,251.09,17.6
30,67,72,831,2,23,0,25.55,1014.88,38.81,252.24,17.68
30,68,73,831,2,24,0,25.55,1014.87,38.83,252.82,17.6
30,68,72,833,2,24,0,25.55,1014.88,38.84,252.05,17.52
30,67,73,833,2,24,0,25.55,1014.89,38.86,251.66,17.52
30,68,73,834,2,24,0,25.55,1014.89,38.88,250.71,17.6
30,67,72,834,2,23,0,25.55,1014.88,38.89,251.85,17.52
30,68,73,835,1,23,0,25.55,1014.89,38.88,251.47,17.52
30,68,72,835,2,24,0,25.55,1014.89,38.86,253.01,17.6
30,67,72,835,2,23,0,25.55,1014.88,38.86,252.43,17.6
30,68,72,835,1,24,0,25.55,1014.88,38.87,251.28,17.6
30,68,72,835,2,23,0,25.55,1014.88,38.87,252.43,17.6
30,68,72,835,1,24,0,25.56,1014.88,38.89,252.82,17.43
30,68,73,836,1,24,0,25.56,1014.9,38.88,252.05,17.43
30,68,72,836,1,24,0,25.56,1014.9,38.89,252.24,17.43
30,68,73,837,2,24,0,25.55,1014.9,38.91,251.66,17.52
30,68,73,838,2,24,0,25.55,1014.89,38.93,251.47,17.43
30,68,73,839,1,24,0,25.55,1014.9,38.94,251.47,17.52
30,69,73,841,2,24,0,25.55,1014.89,38.94,252.24,17.52
30,69,73,841,1,24,0,25.55,1014.89,38.94,252.82,17.43
30,68,74,843,2,22,0,25.55,1014.9,38.95,253.01,17.43
30,69,74,845,1,24,0,25.55,1014.9,38.98,250.14,17.35
30,69,74,846,2,24,0,25.55,1014.91,38.99,250.9,17.35
30,69,74,847,1,24,0,25.55,1014.91,39.04,250.9,17.35
30,68,73,848,2,24,0,25.55,1014.91,39.04,251.66,17.27
30,69,74,849,2,24,0,25.55,1014.92,39.06,251.47,17.35
30,69,73,849,1,24,0,25.55,1014.91,39.07,250.52,17.35
30,69,74,849,2,23,0,25.55,1014.91,39.08,251.66,17.35
30,68,74,848,1,24,0,25.55,1014.91,39.09,250.33,17.35
30,69,74,848,2,24,0,25.55,1014.91,39.12,250.52,17.27
30,69,73,848,2,24,0,25.55,1014.92,39.14,250.71,17.27
30,68,73,848,1,24,0,25.55,1014.92,39.14,250.33,17.35
30,69,73,848,1,24,0,25.55,1014.91,39.13,251.47,17.35
30,68,74,848,2,25,0,25.55,1014.91,39.1,251.66,17.43
30,69,73,848,2,25,0,25.55,1014.9,39.08,250.33,17.43
30,68,74,848,1,25,0,25.55,1014.9,39.06,250.71,17.43
30,68,74,849,2,24,0,25.55,1014.9,39.05,250.52,17.35
30,69,74,849,2,25,0,25.56,1014.91,39.05,250.52,17.35
30,69,74,851,2,24,0,25.56,1014.91,39.06,251.66,17.27
31,69,73,850,2,25,0,25.56,1014.92,39.09,250.52,17.35
30,69,74,851,1,25,0,25.56,1014.91,39.1,249.2,17.43
30,69,74,851,2,23,0,25.56,1014.9,39.14,251.09,17.43
30,69,73,852,2,25,0,25.55,1014.9,39.19,250.9,17.43
30,69,74,852,2,24,0,25.56,1014.9,39.22,249.57,17.43
30,69,73,852,2,25,0,25.56,1014.9,39.25,250.9,17.43
30,69,74,851,2,24,0,25.56,1014.9,39.27,248.26,17.43
30,69,74,851,1,25,0,25.55,1014.9,39.28,250.33,17.43
30,69,73,851,2,25,0,25.55,1014.9,39.29,248.63,17.35
30,69,73,850,1,25,0,25.55,1014.91,39.28,249.01,17.35
30,69,73,850,2,25,0,25.56,1014.91,39.28,249.76,17.35
30,69,74,851,1,25,0,25.56,1014.91,39.25,249.57,17.35
31,69,74,851,2,24,0,25.56,1014.91,39.24,250.14,17.43
30,69,74,851,1,24,0,25.56,1014.9,39.22,249.01,17.43
30,69,73,850,2,25,0,25.55,1014.9,39.2,249.38,17.43
30,69,74,850,2,26,0,25.55,1014.9,39.2,250.9,17.35
31,69,74,851,1,25,0,25.55,1014.91,39.21,251.09,17.35
31,69,74,851,2,24,0,25.55,1014.91,39.21,250.14,17.35
30,69,73,851,2,25,0,25.55,1014.91,39.21,248.63,17.35
30,69,73,851,2,24,0,25.55,1014.91,39.24,249.2,17.27
30,69,74,851,2,25,0,25.55,1014.92,39.27,250.14,17.35
30,69,73,850,1,25,0,25.55,1014.91,39.27,248.63,17.35
31,69,74,851,2,25,0,25.55,1014.91,39.3,248.26,17.35
31,69,73,851,2,25,0,25.56,1014.91,39.36,249.01,17.43
31,69,74,851,2,24,0,25.56,1014.9,39.37,249.01,17.43
30,69,74,851,2,24,0,25.56,1014.9,39.38,249.01,17.43
31,69,74,852,2,26,0,25.55,1014.9,39.4,248.63,17.43
31,69,74,852,2,25,0,25.55,1014.9,39.4,247.89,17.43
30,69,74,852,2,26,0,25.55,1014.9,39.39,248.82,17.43
30,69,74,853,1,25,0,25.55,1014.9,39.39,249.2,17.43
31,69,74,852,2,25,0,25.55,1014.9,39.38,247.89,17.35
30,70,74,853,2,24,0,25.55,1014.91,39.37,249.2,17.35
30,70,74,853,2,25,0,25.55,1014.91,39.36,247.33,17.35
31,70,74,853,2,25,0,25.55,1014.91,39.35,247.89,17.35
31,69,74,853,1,25,0,25.55,1014.91,39.37,249.01,17.35
31,70,75,854,1,25,0,25.55,1014.91,39.39,246.96,17.35
31,70,74,854,2,24,0,25.56,1014.91,39.41,247.7,17.35
31,69,74,854,2,24,0,25.55,1014.91,39.45,249.01,17.35
30,70,74,854,2,25,0,25.55,1014.91,39.47,247.52,17.35
30,69,74,854,1,25,0,25.55,1014.91,39.49,246.59,17.27
30,69,75,854,1,25,0,25.55,1014.92,39.49,246.78,17.18
31,70,75,855,2,25,0,25.56,1014.93,39.48,246.23,17.18
31,70,75,856,2,25,0,25.56,1014.93,39.46,247.89,17.18
31,70,75,856,2,25,0,25.55,1014.93,39.43,247.89,17.18
30,69,75,857,2,24,0,25.56,1014.93,39.42,247.52,17.18
31,69,74,858,2,26,0,25.56,1014.93,39.4,247.52,17.27
31,69,74,858,2,26,0,25.56,1014.92,39.41,245.68,17.27
31,69,74,857,1,25,0,25.56,1014.92,39.43,246.78,17.35
31,69,74,858,2,25,0,25.56,1014.91,39.47,247.15,17.35
31,69,75,857,1,25,0,25.56,1014.91,39.51,245.68,17.35
30,70,74,857,2,25,0,25.56,1014.91,39.55,246.59,17.35
31,69,74,857,1,25,0,25.56,1014.91,39.59,246.04,17.43
30,70,74,856,2,26,0,25.56,1014.9,39.62,245.5,17.35
31,69,74,856,2,26,0,25.56,1014.91,39.65,245.31,17.43
30,69,74,856,2,26,0,25.56,1014.9,39.66,246.41,17.35
31,69,74,856,1,26,0,25.56,1014.91,39.65,246.04,17.35
31,69,75,856,1,25,0,25.56,1014.91,39.62,246.41,17.35
30,69,74,856,1,25,0,25.56,1014.91,39.58,245.68,17.35
30,70,74,856,2,26,0,25.56,1014.91,39.54,247.15,17.35
30,69,75,856,2,25,0,25.56,1014.91,39.51,246.41,17.27
31,69,75,856,2,26,0,25.56,1014.92,39.51,246.59,17.18
30,69,74,856,2,26,0,25.56,1014.93,39.53,246.04,17.27
30,69,75,856,2,25,0,25.56,1014.92,39.57,246.04,17.35
30,70,74,856,2,26,0,25.56,1014.91,39.61,245.31,17.35
30,70,75,856,2,25,0,25.56,1014.91,39.65,245.31,17.35
31,69,75,856,2,26,0,25.56,1014.91,39.69,244.95,17.27
31,69,75,856,1,26,0,25.56,1014.92,39.72,244.23,17.18
31,69,75,856,1,26,0,25.56,1014.93,39.74,244.23,17.27
31,69,74,855,1,26,0,25.56,1014.92,39.77,245.31,17.27
31,69,74,857,1,26,0,25.56,1014.92,39.77,243.87,17.27
31,70,74,856,2,26,0,25.56,1014.92,39.72,244.77,17.27
31,69,75,856,2,25,0,25.56,1014.92,39.71,244.59,17.35
31,69,74,857,2,27,0,25.56,1014.91,39.71,244.23,17.35
31,69,74,856,2,26,0,25.56,1014.91,39.71,245.31,17.27
31,69,74,857,1,25,0,25.56,1014.92,39.72,244.23,17.35
31,70,75,856,1,26,0,25.56,1014.91,39.72,244.59,17.35
31,70,75,856,2,29,0,25.56,1014.91,39.74,244.41,17.27
31,69,74,855,2,25,0,25.56,1014.92,39.77,243.69,17.18
31,69,74,854,2,26,0,25.56,1014.93,39.81,244.41,17.18
31,69,74,854,1,26,0,25.56,1014.93,39.82,244.23,17.18
31,69,74,853,1,27,0,25.56,1014.93,39.82,244.95,17.18
31,69,75,854,2,26,0,25.56,1014.93,39.81,244.95,17.18
31,70,74,854,1,26,0,25.56,1014.93,39.78,244.23,17.18
30,69,75,854,1,26,0,25.56,1014.93,39.74,243.33,17.18
31,70,74,854,1,27,0,25.56,1014.93,39.71,244.59,17.18
31,69,75,853,1,26,0,25.56,1014.93,39.71,243.87,17.18
31,69,74,854,1,27,0,25.56,1014.93,39.69,245.31,17.18
31,70,74,854,1,25,0,25.56,1014.93,39.7,244.77,17.18
30,69,74,855,1,26,0,25.56,1014.93,39.71,243.87,17.02
31,69,74,854,1,26,0,25.56,1014.95,39.71,244.41,17.1
31,70,74,853,2,25,0,25.56,1014.94,39.69,244.05,17.1
31,69,75,853,2,27,0,25.56,1014.94,39.67,243.33,17.18
31,70,74,854,2,27,0,25.56,1014.93,39.64,244.95,17.18
30,70,74,855,2,26,0,25.56,1014.93,39.58,244.05,17.18
31,70,75,855,1,26,0,25.56,1014.93,39.57,245.13,17.18
31,70,74,856,2,26,0,25.56,1014.93,39.55,244.95,17.27
31,70,75,856,2,27,0,25.56,1014.92,39.56,245.5,17.27
30,70,74,856,1,25,0,25.56,1014.92,39.58,243.51,17.27
