NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
64,91,189,784,3,36,4294967295,25.55,1022.54,28.55,406.68,-45.94
64,91,189,783,3,37,4294967295,25.55,1022.55,28.56,408.9,-45.94
63,91,188,782,3,37,4294967295,25.54,1022.55,28.56,410.15,-45.94
63,91,188,781,3,38,4294967295,25.54,1022.55,28.59,410.9,-45.94
63,91,186,780,3,38,4294967295,25.54,1022.55,28.59,412.67,-45.85
62,91,186,780,3,38,4294967295,25.54,1022.54,28.6,412.92,-45.85
62,91,186,779,3,37,4294967295,25.54,1022.54,28.61,414.45,-45.85
62,91,185,778,3,37,4294967295,25.54,1022.54,28.59,416.51,-45.85
61,90,185,778,3,36,4294967295,25.54,1022.54,28.6,418.32,-45.85
61,91,183,777,3,37,4294967295,25.54,1022.54,28.6,416.25,-45.85
61,91,183,777,3,38,4294967295,25.54,1022.54,28.6,419.37,-45.94
61,90,183,777,3,38,4294967295,25.54,1022.55,28.59,418.85,-45.94
60,90,182,777,3,38,4294967295,25.54,1022.55,28.58,421.21,-46.02
60,90,181,776,3,37,4294967295,25.54,1022.56,28.57,420.68,-46.02
60,90,180,776,3,38,4294967295,25.54,1022.56,28.56,423.6,-45.94
60,90,180,775,3,37,4294967295,25.54,1022.55,28.54,422.53,-45.94
60,90,180,776,3,37,4294967295,25.54,1022.55,28.54,424.94,-45.94
59,90,179,775,3,40,4294967295,25.54,1022.55,28.54,429.01,-45.94
60,90,178,776,3,38,4294967295,25.54,1022.55,28.54,427.1,-46.02
59,90,179,776,3,37,4294967295,25.54,1022.56,28.56,429.83,-46.02
59,90,178,777,3,37,4294967295,25.54,1022.56,28.55,427.37,-45.94
58,89,178,777,3,41,4294967295,25.54,1022.55,28.56,431.21,-45.94
59,90,177,778,3,37,4294967295,25.54,1022.55,28.54,432.04,-45.94
58,90,178,778,3,37,4294967295,25.54,1022.55,28.53,432.6,-45.94
58,90,177,778,3,37,4294967295,25.54,1022.55,28.53,431.77,-45.94
58,90,177,779,3,37,4294967295,25.54,1022.55,28.52,431.49,-45.94
58,90,176,779,4,38,4294967295,25.54,1022.55,28.54,432.6,-45.94
58,90,176,779,3,37,4294967295,25.54,1022.55,28.53,433.16,-45.85
58,91,176,781,3,36,4294967295,25.54,1022.54,28.54,432.88,-45.94
58,91,176,780,3,37,4294967295,25.54,1022.55,28.54,435.69,-45.94
58,91,175,781,3,37,4294967295,25.54,1022.55,28.55,434.84,-45.94
57,90,175,783,3,36,4294967295,25.54,1022.55,28.54,439.1,-45.85
57,91,175,783,3,37,4294967295,25.55,1022.54,28.54,438.82,-45.85
57,91,175,783,3,37,4294967295,25.55,1022.54,28.56,439.1,-45.94
57,91,175,784,3,38,4294967295,25.55,1022.55,28.57,440.25,-45.94
57,91,174,785,3,37,4294967295,25.55,1022.55,28.58,441.7,-45.94
57,91,175,786,3,37,4294967295,25.55,1022.55,28.59,439.1,-45.94
57,91,174,787,3,37,4294967295,25.55,1022.55,28.59,441.41,-45.94
56,91,174,788,3,37,4294967295,25.55,1022.55,28.59,439.68,-45.94
57,91,174,788,3,37,4294967295,25.55,1022.55,28.59,443.74,-45.94
57,92,174,789,3,36,4294967295,25.55,1022.55,28.6,443.16,-45.85
57,92,174,790,3,37,4294967295,25.55,1022.54,28.58,444.04,-45.94
57,92,175,791,3,37,4294967295,25.55,1022.55,28.56,444.92,-45.94
57,92,174,791,4,36,4294967295,25.55,1022.55,28.56,444.33,-46.02
57,92,174,792,4,39,4294967295,25.55,1022.56,28.56,444.04,-46.02
57,92,173,793,4,37,4294967295,25.55,1022.56,28.55,444.04,-46.02
57,92,173,793,3,37,4294967295,25.55,1022.56,28.56,444.92,-45.94
57,92,173,793,4,37,4294967295,25.55,1022.55,28.54,444.92,-45.94
57,93,174,794,3,37,4294967295,25.55,1022.55,28.54,447.88,-46.02
57,93,174,795,3,37,4294967295,25.56,1022.56,28.53,445.21,-45.94
57,92,174,796,3,37,4294967295,25.56,1022.55,28.51,448.78,-46.02
57,92,174,796,3,37,4294967295,25.56,1022.56,28.49,447.88,-45.94
57,93,176,798,3,37,4294967295,25.56,1022.55,28.48,448.18,-45.94
57,93,175,799,3,39,4294967295,25.56,1022.55,28.47,450.89,-45.94
57,93,175,799,3,37,4294967295,25.56,1022.55,28.46,448.18,-45.94
57,93,175,800,3,36,4294967295,25.56,1022.55,28.45,451.5,-45.94
56,93,175,800,3,37,4294967295,25.56,1022.55,28.43,450.29,-45.94
57,92,173,800,4,40,4294967295,25.56,1022.55,28.45,451.19,-46.02
57,92,174,799,3,37,4294967295,25.56,1022.56,28.45,451.19,-46.02
57,92,173,799,3,36,4294967295,25.56,1022.56,28.47,452.11,-46.1
56,93,173,798,3,36,4294967295,25.56,1022.57,28.46,454.24,-46.1
56,93,173,798,4,37,4294967295,25.56,1022.57,28.5,453.02,-46.02
57,93,172,798,3,37,4294967295,25.56,1022.56,28.52,453.63,-46.02
56,92,172,799,3,36,4294967295,25.56,1022.56,28.55,451.8,-46.02
57,93,172,799,3,36,4294967295,25.57,1022.56,28.56,454.86,-45.94
57,93,173,799,3,37,4294967295,25.57,1022.55,28.57,452.11,-45.94
56,93,172,800,3,35,4294967295,25.57,1022.55,28.56,454.55,-46.02
57,93,173,800,3,36,4294967295,25.57,1022.56,28.56,453.94,-46.02
57,92,173,800,3,36,4294967295,25.57,1022.56,28.57,454.55,-46.02
57,93,173,801,3,36,4294967295,25.57,1022.56,28.59,451.8,-46.02
57,93,173,802,4,37,4294967295,25.57,1022.56,28.61,454.86,-46.02
57,93,174,803,3,37,4294967295,25.57,1022.56,28.64,453.32,-46.02
57,93,174,804,3,35,4294967295,25.57,1022.56,28.66,454.24,-45.94
57,94,174,805,3,37,4294967295,25.57,1022.55,28.66,452.71,-45.94
57,93,175,806,3,37,4294967295,25.57,1022.55,28.66,453.94,-45.85
57,93,175,806,3,36,4294967295,25.57,1022.54,28.65,454.86,-45.94
57,93,175,806,3,37,4294967295,25.57,1022.55,28.65,458.58,-45.94
58,93,175,807,3,36,4294967295,25.57,1022.55,28.64,455.48,-45.94
57,93,175,806,3,35,4294967295,25.57,1022.55,28.63,455.17,-45.94
57,93,175,807,3,36,4294967295,25.57,1022.55,28.63,454.55,-46.02
57,93,176,807,3,36,4294967295,25.57,1022.56,28.64,456.4,-46.02
58,94,176,808,3,36,4294967295,25.57,1022.56,28.68,457.02,-45.94
57,93,176,808,3,36,4294967295,25.57,1022.55,28.66,455.48,-45.94
58,94,176,809,3,36,4294967295,25.57,1022.55,28.66,457.34,-45.94
58,94,176,809,3,35,4294967295,25.57,1022.55,28.69,455.48,-45.94
