NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
34,67,68,757,4,13,0,25.1,1008.74,40.28,258.75,68.74
34,66,68,757,4,13,0,25.1,1008.74,40.33,258.75,68.74
33,67,67,757,4,13,0,25.1,1008.74,40.35,259.98,68.83
34,67,67,757,4,13,0,25.1,1008.73,40.37,258.55,68.83
33,66,67,757,4,13,0,25.1,1008.73,40.39,260.18,68.83
33,66,68,757,4,12,0,25.1,1008.73,40.41,259.98,68.83
33,66,68,757,4,13,0,25.1,1008.73,40.43,259.16,68.83
34,66,68,758,5,13,0,25.1,1008.73,40.44,258.75,68.83
33,67,67,757,4,12,0,25.1,1008.73,40.47,259.36,68.91
34,67,67,758,5,13,0,25.1,1008.72,40.5,259.16,68.83
34,67,67,757,5,13,0,25.1,1008.73,40.52,256.94,68.83
34,66,67,757,5,13,0,25.1,1008.73,40.54,257.55,68.91
33,66,67,757,5,12,0,25.1,1008.72,40.56,258.96,68.99
33,66,67,757,5,14,0,25.1,1008.71,40.55,257.75,68.99
33,66,67,757,5,13,0,25.1,1008.71,40.56,258.75,68.99
33,66,67,757,5,12,0,25.1,1008.71,40.54,259.36,68.91
33,67,67,757,5,14,0,25.1,1008.72,40.54,257.95,68.99
33,67,67,757,6,14,0,25.1,1008.71,40.52,258.55,68.91
33,66,67,757,5,14,0,25.1,1008.72,40.54,257.55,68.99
33,66,67,757,6,14,0,25.1,1008.71,40.55,257.95,68.99
33,67,67,757,6,15,0,25.1,1008.71,40.54,257.75,68.99
33,66,67,758,5,13,0,25.11,1008.71,40.55,258.15,68.99
33,67,67,758,5,13,0,25.11,1008.71,40.55,258.15,68.99
33,66,67,758,5,15,0,25.11,1008.71,40.54,257.75,68.99
33,66,67,758,5,13,0,25.11,1008.71,40.55,257.95,68.99
33,66,67,757,5,14,0,25.11,1008.71,40.54,258.75,68.91
33,66,67,758,5,13,0,25.11,1008.72,40.54,258.96,68.91
33,67,67,758,5,14,0,25.12,1008.72,40.53,256.35,68.91
33,66,67,758,8,16,0,25.12,1008.72,40.53,257.95,68.99
33,66,67,758,6,14,0,25.12,1008.71,40.54,259.16,68.99
32,66,67,758,7,16,0,25.12,1008.71,40.53,257.95,68.91
33,66,67,757,6,14,0,25.12,1008.72,40.53,259.57,68.91
33,66,67,758,6,14,0,25.12,1008.72,40.53,257.95,68.91
33,66,67,757,7,15,0,25.12,1008.72,40.53,257.55,68.91
32,66,67,758,9,17,0,25.12,1008.72,40.51,257.75,68.91
32,66,67,758,8,17,0,25.12,1008.72,40.53,259.16,68.91
33,66,67,758,7,15,0,25.12,1008.72,40.52,259.36,68.83
33,66,67,758,7,15,0,25.12,1008.73,40.53,257.55,68.91
33,66,67,758,7,15,0,25.12,1008.72,40.53,257.75,68.91
33,66,67,758,7,15,0,25.12,1008.72,40.51,257.75,68.91
32,67,67,758,7,15,0,25.12,1008.72,40.53,258.35,68.91
33,66,67,757,8,16,0,25.12,1008.72,40.54,258.55,68.99
32,66,66,758,11,19,0,25.12,1008.71,40.53,258.96,68.99
33,67,67,758,9,15,0,25.13,1008.71,40.53,259.16,69.08
33,66,67,758,9,16,0,25.13,1008.7,40.53,258.75,69.08
32,66,67,758,7,15,0,25.13,1008.7,40.53,258.96,69.08
33,67,67,758,7,15,0,25.13,1008.7,40.54,259.16,68.99
