NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
31,60,69,712,3,30,0,25.91,1021.83,26.74,554.77,-39.91
31,60,69,712,3,30,0,25.9,1021.82,26.75,558.46,-39.82
31,60,69,712,3,30,0,25.9,1021.81,26.76,554.77,-39.82
31,60,69,712,3,30,0,25.9,1021.81,26.75,563.14,-39.74
31,60,70,712,3,29,0,25.9,1021.8,26.76,556.61,-39.74
31,60,69,712,3,30,0,25.9,1021.8,26.76,556.15,-39.74
32,60,69,712,3,28,0,25.9,1021.8,26.76,557.53,-39.82
31,60,69,712,3,29,0,25.9,1021.81,26.76,556.61,-39.74
31,60,69,713,3,29,0,25.9,1021.8,26.76,556.61,-39.82
31,59,69,713,3,28,0,25.9,1021.81,26.76,552.94,-39.82
31,60,69,713,3,28,0,25.9,1021.81,26.76,556.15,-39.74
31,59,69,713,3,29,0,25.9,1021.8,26.75,556.15,-39.74
31,60,69,713,3,28,0,25.9,1021.8,26.76,552.94,-39.74
31,60,69,713,3,30,0,25.89,1021.8,26.77,554.77,-39.74
31,60,69,713,3,29,0,25.89,1021.8,26.77,559.86,-39.74
31,60,68,713,3,29,0,25.89,1021.8,26.77,552.94,-39.66
30,60,68,713,3,29,0,25.89,1021.79,26.78,553.86,-39.66
30,60,69,713,3,29,0,25.89,1021.79,26.77,556.61,-39.66
31,60,69,714,3,28,0,25.88,1021.79,26.77,557.53,-39.58
31,60,68,713,3,29,0,25.88,1021.78,26.78,553.86,-39.66
31,60,68,713,3,28,0,25.88,1021.79,26.79,555.69,-39.66
30,60,68,714,3,29,0,25.88,1021.79,26.79,550.23,-39.74
31,60,68,714,3,29,0,25.87,1021.8,26.79,555.23,-39.66
30,60,68,713,3,28,0,25.87,1021.79,26.8,556.15,-39.66
30,60,68,714,3,29,0,25.87,1021.79,26.8,556.15,-39.74
31,60,68,714,3,29,0,25.87,1021.8,26.8,557.53,-39.66
31,60,68,714,3,29,0,25.87,1021.79,26.8,558.0,-39.66
30,60,68,714,3,29,0,25.87,1021.79,26.8,556.15,-39.66
30,60,68,714,3,29,0,25.87,1021.79,26.8,557.53,-39.58
31,60,68,714,3,30,0,25.87,1021.78,26.8,557.53,-39.58
30,60,68,714,3,28,0,25.87,1021.78,26.81,557.53,-39.66
30,60,68,714,3,28,0,25.87,1021.79,26.82,554.77,-39.74
30,60,68,714,3,29,0,25.87,1021.8,26.81,552.94,-39.66
31,60,68,714,3,30,0,25.87,1021.79,26.82,554.31,-39.58
30,60,68,715,3,30,0,25.87,1021.78,26.81,551.13,-39.58
30,60,68,714,3,29,0,25.87,1021.78,26.82,555.69,-39.58
31,60,68,714,3,29,0,25.87,1021.78,26.83,555.23,-39.58
30,59,68,714,3,30,0,25.87,1021.78,26.82,553.4,-39.58
30,60,67,714,3,30,0,25.87,1021.78,26.81,552.94,-39.58
31,60,68,714,3,30,0,25.87,1021.78,26.83,555.23,-39.58
31,60,68,715,3,30,0,25.87,1021.78,26.83,555.69,-39.58
31,60,68,715,3,29,0,25.87,1021.78,26.81,551.13,-39.58
31,60,68,714,3,29,0,25.87,1021.78,26.83,552.94,-39.58
31,60,68,714,3,33,0,25.87,1021.78,26.83,553.86,-39.58
30,60,68,714,3,30,0,25.87,1021.78,26.81,552.04,-39.58
31,60,68,714,4,30,0,25.87,1021.78,26.83,552.94,-39.49
31,60,68,715,3,29,0,25.87,1021.77,26.83,548.88,-39.49
30,60,68,715,3,30,0,25.86,1021.77,26.82,548.43,-39.66
31,60,68,714,3,28,0,25.86,1021.79,26.83,552.04,-39.66
31,60,67,714,3,30,0,25.86,1021.79,26.84,552.94,-39.66
31,60,67,714,3,30,0,25.86,1021.79,26.83,549.78,-39.58
30,60,68,714,3,30,0,25.86,1021.78,26.84,551.13,-39.58
30,60,67,715,3,30,0,25.86,1021.78,26.84,552.04,-39.58
31,60,68,715,3,29,0,25.86,1021.78,26.82,547.98,-39.49
31,60,68,715,3,30,0,25.86,1021.77,26.83,552.94,-39.58
31,60,68,715,2,30,0,25.86,1021.78,26.84,549.78,-39.58
31,60,68,715,3,30,0,25.86,1021.78,26.82,548.43,-39.66
31,60,68,715,3,28,0,25.86,1021.79,26.85,552.94,-39.66
31,60,68,714,3,31,0,25.86,1021.79,26.84,547.98,-39.66
31,60,67,715,3,30,0,25.86,1021.79,26.84,547.98,-39.58
31,60,68,714,3,30,0,25.85,1021.78,26.84,550.23,-39.58
31,60,67,715,3,30,0,25.85,1021.78,26.85,550.68,-39.58
31,60,68,715,3,30,0,25.85,1021.78,26.84,549.78,-39.49
31,60,68,715,3,30,0,25.85,1021.77,26.84,549.78,-39.58
31,60,68,714,3,30,0,25.85,1021.78,26.84,550.23,-39.49
31,59,68,715,3,31,0,25.85,1021.77,26.84,551.58,-39.49
31,60,67,715,3,30,0,25.85,1021.77,26.83,551.58,-39.49
31,60,67,715,3,28,0,25.85,1021.77,26.85,552.04,-39.58
31,60,68,715,3,30,0,25.85,1021.78,26.84,546.65,-39.49
31,60,68,715,4,34,0,25.85,1021.77,26.84,552.49,-39.58
31,60,68,715,3,31,0,25.85,1021.78,26.85,550.23,-39.58
31,60,68,715,3,28,0,25.85,1021.78,26.83,547.98,-39.49
31,60,68,715,3,31,0,25.85,1021.77,26.83,549.33,-39.49
31,60,67,715,3,31,0,25.85,1021.77,26.85,548.43,-39.58
31,60,67,715,3,29,0,25.84,1021.78,26.85,550.68,-39.49
31,60,68,715,3,30,0,25.84,1021.77,26.85,549.33,-39.49
31,60,68,715,3,34,0,25.84,1021.77,26.84,547.09,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.85,551.13,-39.41
31,60,67,715,4,30,0,25.84,1021.76,26.85,551.58,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.83,548.88,-39.49
31,60,68,715,3,30,0,25.84,1021.77,26.85,545.32,-39.41
32,59,68,715,3,30,0,25.84,1021.76,26.85,549.33,-39.49
32,60,68,715,3,28,0,25.84,1021.77,26.85,550.23,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.86,549.78,-39.49
32,60,68,715,3,32,0,25.84,1021.77,26.87,547.09,-39.49
31,60,68,716,3,31,0,25.84,1021.77,26.86,549.33,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.87,547.09,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.86,547.54,-39.41
31,60,68,715,3,29,0,25.84,1021.76,26.87,548.43,-39.33
31,60,68,716,3,30,0,25.84,1021.75,26.87,547.54,-39.41
31,60,68,716,3,30,0,25.84,1021.76,26.87,548.43,-39.41
31,60,68,715,3,30,0,25.84,1021.76,26.88,547.98,-39.41
32,60,68,715,3,34,0,25.83,1021.76,26.87,546.2,-39.49
32,60,67,715,3,30,0,25.83,1021.77,26.87,546.65,-39.41
32,60,68,716,3,30,0,25.83,1021.76,26.87,545.32,-39.41
32,60,68,715,3,28,0,25.83,1021.76,26.87,548.43,-39.41
31,60,68,715,3,30,0,25.83,1021.76,26.88,547.09,-39.49
32,60,67,715,3,30,0,25.83,1021.77,26.88,547.54,-39.49
32,60,68,715,3,30,0,25.83,1021.77,26.88,545.32,-39.49
32,59,68,716,3,30,0,25.83,1021.77,26.88,543.99,-39.58
32,60,68,715,3,30,0,25.83,1021.78,26.89,545.76,-39.49
31,60,68,715,3,30,0,25.83,1021.77,26.88,544.43,-39.41
32,60,68,715,3,30,0,25.83,1021.76,26.89,544.43,-39.49
32,60,68,715,3,30,0,25.83,1021.77,26.9,542.67,-39.49
31,60,67,715,3,30,0,25.83,1021.77,26.9,543.99,-39.49
32,60,68,716,3,31,0,25.83,1021.77,26.89,543.99,-39.41
32,60,68,715,3,30,0,25.83,1021.76,26.9,544.87,-39.49
32,60,68,715,3,30,0,25.83,1021.77,26.9,544.43,-39.49
31,60,68,716,3,30,0,25.83,1021.77,26.9,545.32,-39.49
32,60,67,715,3,30,0,25.83,1021.77,26.91,545.76,-39.49
31,60,67,716,3,30,0,25.83,1021.77,26.9,543.11,-39.58
32,60,68,715,3,30,0,25.83,1021.78,26.91,544.87,-39.49
32,60,68,716,3,30,0,25.83,1021.77,26.91,545.32,-39.49
32,60,68,716,3,30,0,25.83,1021.77,26.91,542.67,-39.49
31,60,67,716,3,30,0,25.83,1021.77,26.9,543.55,-39.41
31,60,68,715,3,30,0,25.83,1021.76,26.91,545.32,-39.41
32,60,68,716,3,30,0,25.83,1021.76,26.91,543.11,-39.49
32,60,68,716,3,30,0,25.83,1021.77,26.91,542.23,-39.49
32,60,68,715,3,30,0,25.83,1021.77,26.91,543.55,-39.41
32,60,68,716,3,30,0,25.83,1021.76,26.91,543.99,-39.41
32,60,68,715,3,30,0,25.83,1021.76,26.91,544.87,-39.41
32,60,68,715,3,31,0,25.83,1021.76,26.91,540.05,-39.49
32,60,68,715,2,31,0,25.83,1021.77,26.93,540.49,-39.49
32,60,68,715,3,31,0,25.83,1021.77,26.92,542.23,-39.58
32,60,68,715,3,30,0,25.83,1021.78,26.93,541.36,-39.49
32,61,68,715,3,31,0,25.83,1021.77,26.93,540.49,-39.49
32,60,68,716,3,30,0,25.83,1021.77,26.94,538.75,-39.49
32,60,68,716,4,31,0,25.83,1021.77,26.95,542.67,-39.49
33,60,68,715,3,30,0,25.83,1021.77,26.94,538.75,-39.41
32,60,68,716,3,30,0,25.83,1021.76,26.94,540.05,-39.41
32,60,68,716,3,32,0,25.83,1021.76,26.93,541.36,-39.49
32,61,69,715,3,31,0,25.83,1021.77,26.95,540.05,-39.49
33,60,69,715,3,31,0,25.83,1021.77,26.94,537.89,-39.58
33,60,68,715,3,30,0,25.83,1021.78,26.95,539.19,-39.49
32,61,68,715,3,30,0,25.83,1021.77,26.95,540.49,-39.49
32,60,69,715,3,31,0,25.83,1021.77,26.95,539.19,-39.49
33,60,69,716,3,29,0,25.83,1021.77,26.94,541.8,-39.49
