NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,59,61,787,12,51,0,25.66,1023.19,27.1,495.08,-51.22
32,60,62,788,14,49,0,25.65,1023.19,27.11,498.76,-51.3
32,60,61,788,12,51,0,25.64,1023.2,27.13,496.91,-51.39
32,59,61,787,13,51,0,25.64,1023.21,27.17,500.62,-51.3
32,60,62,786,13,51,0,25.63,1023.2,27.18,498.76,-51.39
32,59,62,787,13,51,0,25.62,1023.21,27.21,500.24,-51.55
32,60,62,787,13,52,0,25.62,1023.23,27.22,501.74,-51.47
32,59,62,785,12,50,0,25.62,1023.22,27.22,500.99,-51.47
32,59,61,784,13,50,0,25.61,1023.22,27.23,504.37,-51.47
32,60,61,783,14,52,0,25.61,1023.22,27.23,503.24,-51.55
31,59,61,783,13,51,0,25.61,1023.23,27.23,505.13,-51.47
32,59,61,784,13,51,0,25.61,1023.22,27.23,506.66,-51.55
31,59,61,782,13,52,0,25.61,1023.23,27.24,504.75,-51.47
31,59,61,783,13,49,0,25.61,1023.22,27.25,504.0,-51.39
31,59,61,782,14,52,0,25.6,1023.21,27.28,507.04,-51.47
31,59,61,783,13,51,0,25.6,1023.22,27.28,510.12,-51.47
31,59,61,782,13,51,0,25.6,1023.22,27.28,508.19,-51.47
32,59,61,781,13,50,0,25.6,1023.22,27.27,508.57,-51.55
32,59,61,781,13,50,0,25.6,1023.23,27.28,507.04,-51.47
31,59,61,780,13,52,0,25.6,1023.22,27.26,508.19,-51.47
31,59,61,779,13,51,0,25.6,1023.22,27.26,511.28,-51.47
31,59,61,780,14,50,0,25.6,1023.22,27.25,509.73,-51.47
31,59,61,780,13,52,0,25.6,1023.22,27.26,512.06,-51.47
31,59,61,780,13,51,0,25.6,1023.22,27.25,511.67,-51.47
31,59,60,779,14,51,0,25.6,1023.22,27.24,512.45,-51.47
31,59,61,779,13,55,0,25.6,1023.22,27.24,507.42,-51.55
30,59,61,779,14,51,0,25.6,1023.23,27.23,512.06,-51.55
30,59,60,779,13,51,0,25.6,1023.23,27.24,508.19,-51.47
30,59,60,780,13,51,0,25.59,1023.22,27.24,511.67,-51.47
31,59,60,780,13,51,0,25.59,1023.22,27.23,514.02,-51.47
31,58,60,780,13,52,0,25.59,1023.22,27.23,509.35,-51.39
31,59,61,779,13,52,0,25.59,1023.21,27.24,514.02,-51.39
31,59,61,780,14,52,0,25.59,1023.21,27.23,512.85,-51.39
31,59,61,779,13,51,0,25.59,1023.21,27.24,513.63,-51.39
31,59,61,780,13,53,0,25.59,1023.21,27.24,512.45,-51.3
30,59,61,780,14,50,0,25.59,1023.2,27.23,512.85,-51.39
30,59,60,779,14,51,0,25.59,1023.21,27.24,512.06,-51.47
30,59,61,779,12,51,0,25.59,1023.22,27.24,511.67,-51.39
30,59,61,780,14,52,0,25.59,1023.21,27.24,514.02,-51.47
31,59,61,781,14,51,0,25.59,1023.22,27.24,510.51,-51.47
31,59,61,781,14,51,0,25.59,1023.22,27.24,509.35,-51.39
30,59,61,781,14,52,0,25.59,1023.21,27.24,512.45,-51.39
31,59,60,783,14,52,0,25.59,1023.21,27.24,510.51,-51.39
30,58,60,783,14,51,0,25.59,1023.21,27.25,511.28,-51.39
30,59,60,784,14,49,0,25.59,1023.21,27.25,513.24,-51.39
30,59,60,786,14,52,0,25.59,1023.21,27.25,513.63,-51.39
31,59,60,786,14,53,0,25.59,1023.21,27.25,510.51,-51.39
31,59,61,786,14,52,0,25.59,1023.21,27.27,514.02,-51.39
30,59,60,787,14,51,0,25.59,1023.21,27.29,508.57,-51.39
31,59,60,787,14,52,0,25.59,1023.21,27.28,510.51,-51.47
31,59,61,786,14,51,0,25.59,1023.22,27.3,509.73,-51.47
30,59,60,786,14,53,0,25.59,1023.22,27.32,512.06,-51.47
30,59,60,785,14,52,0,25.59,1023.22,27.33,507.04,-51.47
30,58,60,786,14,52,0,25.59,1023.22,27.34,511.67,-51.47
30,59,60,786,12,54,0,25.59,1023.22,27.32,512.06,-51.47
30,59,61,786,14,52,0,25.59,1023.22,27.31,511.67,-51.55
30,59,61,786,14,51,0,25.58,1023.23,27.31,510.89,-51.55
30,59,60,785,14,53,0,25.58,1023.23,27.3,512.06,-51.55
30,59,60,784,16,52,0,25.58,1023.23,27.32,511.28,-51.47
30,59,60,783,14,52,0,25.58,1023.22,27.32,512.45,-51.47
30,59,60,783,14,52,0,25.59,1023.22,27.35,508.57,-51.47
30,59,61,784,14,52,0,25.59,1023.22,27.36,510.12,-51.47
30,59,60,783,14,51,0,25.58,1023.22,27.36,510.89,-51.39
30,59,60,784,16,51,0,25.58,1023.21,27.37,509.73,-51.39
30,59,60,784,14,52,0,25.58,1023.21,27.38,510.12,-51.47
30,59,60,784,14,52,0,25.59,1023.22,27.38,509.35,-51.39
30,59,60,783,14,52,0,25.59,1023.21,27.4,508.96,-51.47
30,59,60,784,14,51,0,25.58,1023.22,27.4,510.12,-51.47
30,59,60,783,14,51,0,25.58,1023.22,27.42,509.35,-51.47
30,59,60,784,14,51,0,25.58,1023.22,27.44,508.57,-51.47
30,59,61,783,14,52,0,25.58,1023.22,27.45,510.12,-51.55
30,59,61,783,12,51,0,25.58,1023.23,27.46,508.57,-51.55
29,58,61,782,14,52,0,25.58,1023.23,27.45,508.57,-51.55
30,59,60,783,14,52,0,25.58,1023.23,27.46,508.57,-51.47
30,59,60,782,13,51,0,25.58,1023.22,27.48,508.57,-51.55
29,59,60,782,14,51,0,25.58,1023.23,27.5,508.19,-51.55
30,59,61,782,14,51,0,25.58,1023.23,27.5,508.96,-51.55
30,59,60,782,13,52,0,25.58,1023.23,27.49,508.96,-51.55
30,59,60,783,14,51,0,25.58,1023.23,27.48,509.35,-51.55
30,59,61,784,14,50,0,25.58,1023.23,27.47,508.19,-51.55
30,59,60,785,14,51,0,25.58,1023.23,27.48,510.12,-51.47
30,59,60,785,12,51,0,25.58,1023.22,27.46,508.57,-51.47
30,59,61,785,16,50,0,25.58,1023.22,27.46,508.19,-51.47
30,59,60,785,13,51,0,25.58,1023.22,27.45,507.81,-51.47
30,59,60,784,13,51,0,25.58,1023.22,27.46,507.81,-51.39
30,59,60,784,13,51,0,25.58,1023.21,27.45,510.12,-51.47
30,59,61,783,14,51,0,25.58,1023.22,27.44,507.81,-51.47
30,59,61,783,14,51,0,25.58,1023.22,27.44,508.19,-51.39
30,59,61,784,14,51,0,25.58,1023.21,27.43,507.04,-51.39
30,59,60,784,13,51,0,25.58,1023.21,27.44,508.57,-51.47
30,59,60,785,13,49,0,25.58,1023.22,27.44,508.19,-51.47
30,59,61,785,14,51,0,25.58,1023.22,27.44,508.19,-51.47
30,59,60,784,14,52,0,25.58,1023.22,27.43,512.06,-51.47
30,59,60,783,14,52,0,25.58,1023.22,27.44,507.04,-51.39
30,59,60,782,14,51,0,25.58,1023.21,27.45,509.35,-51.47
30,59,61,782,14,52,0,25.58,1023.22,27.46,507.04,-51.47
30,59,61,782,14,53,0,25.58,1023.22,27.47,508.19,-51.47
30,59,60,782,14,52,0,25.58,1023.22,27.48,508.96,-51.39
30,59,60,782,14,52,0,25.58,1023.21,27.5,504.75,-51.47
30,59,60,783,14,51,0,25.58,1023.22,27.51,515.21,-51.39
30,59,60,783,14,53,0,25.58,1023.21,27.52,503.62,-51.39
30,59,60,781,13,52,0,25.58,1023.21,27.54,517.19,-51.39
30,59,61,781,13,50,0,25.58,1023.21,27.58,509.35,-51.47
29,59,61,781,14,52,0,25.58,1023.22,27.58,505.51,-51.47
29,59,60,782,14,52,0,25.58,1023.22,27.6,503.24,-51.47
30,59,60,781,15,53,0,25.58,1023.22,27.6,506.66,-51.55
30,59,61,781,14,53,0,25.58,1023.23,27.61,508.57,-51.47
30,59,61,782,15,53,0,25.58,1023.22,27.6,505.89,-51.39
30,59,60,782,14,54,0,25.58,1023.21,27.62,510.89,-51.39
30,59,61,784,15,51,0,25.58,1023.21,27.62,510.12,-51.39
30,59,61,784,18,53,0,25.58,1023.21,27.65,512.45,-51.39
30,59,61,786,14,52,0,25.58,1023.21,27.65,505.51,-51.3
30,59,61,787,13,53,0,25.58,1023.2,27.65,502.87,-51.3
30,59,61,787,16,55,0,25.58,1023.2,27.65,504.0,-51.3
