NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
20,52,42,762,1,23,0,24.89,1012.64,39.72,284.11,36.23
21,52,43,762,1,21,0,24.89,1012.64,39.72,285.09,36.15
21,52,43,763,1,21,0,24.89,1012.65,39.74,283.86,36.15
21,51,43,762,1,22,0,24.89,1012.65,39.74,282.65,36.15
21,52,43,762,1,22,0,24.89,1012.65,39.73,283.38,36.06
21,51,43,762,1,21,0,24.89,1012.66,39.74,282.89,36.06
21,52,43,763,1,22,0,24.89,1012.66,39.75,282.65,36.06
20,52,43,763,1,21,0,24.89,1012.66,39.75,282.17,36.06
21,52,43,763,1,21,0,24.89,1012.66,39.76,283.62,36.06
21,52,43,763,1,22,0,24.89,1012.66,39.78,281.21,36.06
20,52,43,763,1,21,0,24.89,1012.66,39.79,282.41,36.15
21,53,43,763,1,21,0,24.89,1012.65,39.79,282.65,36.06
21,52,43,763,1,21,0,24.89,1012.66,39.8,281.69,36.06
21,52,43,764,1,21,0,24.89,1012.66,39.82,282.17,36.15
20,52,43,764,1,22,0,24.89,1012.65,39.83,282.41,36.23
21,52,44,763,1,21,0,24.89,1012.64,39.82,280.49,36.23
21,53,43,764,1,22,0,24.89,1012.64,39.81,282.17,36.15
21,52,43,764,1,21,0,24.89,1012.65,39.81,281.21,36.15
20,53,44,764,1,21,0,24.89,1012.65,39.81,282.41,36.15
21,53,43,764,1,22,0,24.89,1012.65,39.82,282.65,36.15
20,52,43,763,2,21,0,24.89,1012.65,39.84,282.17,36.15
21,53,43,764,1,22,0,24.89,1012.65,39.85,279.31,36.06
21,53,43,764,1,21,0,24.89,1012.66,39.88,280.97,36.06
21,53,43,764,1,22,0,24.89,1012.66,39.88,281.21,36.06
21,53,44,765,1,22,0,24.89,1012.66,39.88,278.83,36.06
21,52,43,764,1,21,0,24.89,1012.66,39.91,279.78,36.06
21,53,43,765,1,21,0,24.89,1012.66,39.92,280.02,36.06
21,53,43,765,1,21,0,24.89,1012.66,39.94,279.78,36.06
21,53,44,764,1,21,0,24.89,1012.66,39.93,278.6,35.98
21,53,43,764,1,21,0,24.89,1012.67,39.94,279.07,36.06
21,52,44,765,1,21,0,24.89,1012.66,39.95,278.83,36.06
21,53,44,766,1,21,0,24.89,1012.66,39.95,278.37,36.15
21,52,44,764,1,22,0,24.89,1012.65,39.95,278.6,36.06
21,53,44,765,1,22,0,24.89,1012.66,39.95,279.07,36.06
21,53,44,766,1,21,0,24.9,1012.66,39.94,279.07,35.98
21,53,44,765,1,22,0,24.9,1012.67,39.93,278.83,36.15
21,53,43,765,1,22,0,24.9,1012.65,39.92,277.43,36.06
22,53,43,765,1,21,0,24.9,1012.66,39.93,279.07,35.98
21,53,43,765,1,22,0,24.9,1012.67,39.92,278.37,35.98
22,54,44,766,1,21,0,24.9,1012.67,39.95,278.6,36.06
22,53,44,766,1,22,0,24.9,1012.66,39.96,278.37,35.98
21,53,44,766,1,22,0,24.9,1012.67,39.96,278.83,35.98
21,53,44,766,1,22,0,24.9,1012.67,39.97,277.43,36.06
22,54,44,766,1,21,0,24.9,1012.66,39.99,277.66,36.06
22,53,44,766,1,21,0,24.9,1012.66,39.99,278.83,35.98
22,54,44,766,1,21,0,24.9,1012.67,40.01,276.5,35.98
22,53,44,767,1,21,0,24.9,1012.67,40.01,277.2,36.06
21,54,45,766,1,21,0,24.9,1012.66,40.01,276.73,36.06
21,53,45,767,1,21,0,24.9,1012.66,40.01,278.6,36.15
21,54,44,767,1,22,0,24.9,1012.65,40.02,276.73,36.15
21,53,45,766,1,21,0,24.9,1012.65,40.02,277.43,36.15
22,53,45,768,1,21,0,24.9,1012.65,40.04,276.5,36.15
22,53,44,767,1,21,0,24.9,1012.65,40.04,278.37,36.15
22,54,45,767,1,22,0,24.9,1012.65,40.04,276.04,36.15
21,54,45,768,1,21,0,24.9,1012.65,40.02,275.12,36.15
22,54,44,768,2,21,0,24.9,1012.65,40.03,277.43,36.15
21,54,45,768,1,21,0,24.91,1012.65,40.03,275.81,36.23
22,54,44,767,1,21,0,24.91,1012.64,40.01,275.35,36.23
22,53,44,768,1,22,0,24.91,1012.64,40.01,275.58,36.23
22,54,44,767,1,21,0,24.91,1012.64,40.0,276.04,36.15
22,53,44,768,1,23,0,24.91,1012.65,39.96,276.97,36.15
22,53,45,768,1,21,0,24.91,1012.65,39.95,275.81,36.23
22,54,45,768,1,21,0,24.91,1012.64,39.92,275.12,36.23
22,54,45,768,1,21,0,24.91,1012.64,39.91,275.58,36.23
22,54,45,768,1,21,0,24.91,1012.64,39.92,274.44,36.31
22,54,45,768,1,21,0,24.91,1012.63,39.91,276.04,36.23
22,54,45,769,1,22,0,24.91,1012.64,39.93,275.58,36.23
22,54,45,768,1,21,0,24.91,1012.64,39.97,276.04,36.23
22,54,45,768,1,21,0,24.91,1012.64,39.98,275.81,36.23
22,54,45,769,1,21,0,24.91,1012.64,40.0,275.81,36.15
23,54,45,769,1,21,0,24.91,1012.65,40.02,274.44,36.15
22,54,44,769,1,21,0,24.91,1012.65,40.03,273.53,36.23
23,54,45,769,1,22,0,24.91,1012.64,40.01,276.27,36.23
22,54,45,768,1,21,0,24.91,1012.64,40.01,274.67,36.23
22,54,45,769,1,21,0,24.91,1012.64,40.03,272.63,36.31
23,54,45,769,1,22,0,24.92,1012.63,40.02,273.75,36.31
23,54,45,769,1,21,0,24.91,1012.63,40.01,274.21,36.4
