NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
217,463,516,836,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
214,461,513,835,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
212,459,510,833,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
210,457,507,832,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
207,455,505,832,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
205,453,503,831,3,12,4294967295,33.59,688.6,100.0,0.0,3170.54
203,451,500,831,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
201,450,498,830,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
199,447,496,829,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
197,446,494,829,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
195,445,492,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
194,443,490,829,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
192,442,488,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
191,440,486,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
190,439,485,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
189,438,483,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
188,436,482,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
187,435,481,828,3,12,4294967295,33.59,688.6,100.0,0.0,3170.54
186,434,480,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
185,432,478,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
184,431,477,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
183,430,475,827,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
183,429,476,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
182,428,475,828,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
182,428,474,828,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
184,428,474,829,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
187,428,475,831,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
189,428,476,831,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
192,428,480,832,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
194,428,483,833,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
197,428,485,833,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
201,428,488,833,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
201,426,487,832,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
202,425,487,832,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
202,424,489,832,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
206,425,499,834,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
215,425,510,834,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
219,425,517,836,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
224,426,523,837,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
228,426,529,836,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
232,425,534,837,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
234,426,537,838,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
237,425,539,838,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
238,425,542,838,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
240,426,545,839,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
241,426,549,839,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
244,426,554,840,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
246,427,558,840,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
250,427,562,840,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
253,427,566,841,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
256,428,569,842,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
259,427,571,842,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
261,427,575,842,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
264,428,578,841,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
266,428,581,842,3,12,4294967295,33.59,688.6,100.0,0.0,3170.54
271,428,586,843,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
273,429,589,843,4,11,4294967295,33.59,688.6,100.0,0.0,3170.54
274,428,590,842,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
276,429,591,843,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
276,428,593,842,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
279,428,596,843,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
279,428,596,843,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
280,428,598,843,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
280,428,600,843,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
281,429,601,844,3,12,4294967295,33.59,688.6,100.0,0.0,3170.54
283,429,600,844,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
284,429,601,845,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
287,430,606,846,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
291,431,608,846,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
292,431,610,846,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
295,432,613,847,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
296,432,613,846,2,11,4294967295,33.59,688.6,100.0,0.0,3170.54
298,432,616,847,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
298,433,618,847,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
300,434,619,848,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
301,434,618,847,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
302,435,619,848,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
304,436,622,849,2,11,4294967295,33.59,688.6,100.0,0.0,3170.54
306,437,624,849,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
309,437,627,849,3,12,4294967295,33.59,688.6,100.0,0.0,3170.54
312,437,629,849,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
314,438,631,849,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
317,438,634,850,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
319,438,638,850,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
320,438,640,850,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
319,437,639,850,2,11,4294967295,33.59,688.6,100.0,0.0,3170.54
318,438,641,850,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
317,439,643,850,3,11,4294967295,33.59,688.6,100.0,0.0,3170.54
318,439,645,851,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
319,440,647,851,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
322,440,649,852,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
324,441,651,852,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
327,441,656,852,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
330,443,658,853,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
334,443,661,854,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
335,444,663,854,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
336,444,663,853,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
337,444,662,853,2,10,4294967295,33.59,688.6,100.0,0.0,3170.54
338,445,664,854,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
338,446,665,855,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
340,446,667,854,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
343,447,669,855,2,10,4294967295,33.59,688.6,100.0,0.0,3170.54
342,447,668,855,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
343,447,669,855,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
343,447,670,855,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
344,449,673,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
345,449,674,856,2,10,4294967295,33.59,688.6,100.0,0.0,3170.54
346,449,675,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
347,449,676,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
346,449,675,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
344,449,673,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
341,448,672,856,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
340,449,672,855,3,10,4294967295,33.59,688.6,100.0,0.0,3170.54
