NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
126,170,299,854,2,20,4294967295,25.52,1018.28,22.46,84.21,-10.61
126,171,299,855,2,20,4294967295,25.52,1018.28,22.34,85.58,-10.61
124,170,298,855,1,20,4294967295,25.52,1018.28,22.26,86.2,-10.53
124,170,299,856,2,20,4294967295,25.51,1018.27,22.19,86.82,-10.45
123,170,299,857,1,21,4294967295,25.51,1018.26,22.12,88.0,-10.53
123,170,299,858,2,20,4294967295,25.51,1018.27,22.06,88.84,-10.53
124,170,301,860,1,20,4294967295,25.51,1018.27,22.02,89.31,-10.53
124,171,302,862,2,20,4294967295,25.51,1018.27,21.97,90.07,-10.53
124,172,304,863,2,20,4294967295,25.51,1018.27,21.93,91.35,-10.61
125,172,305,865,2,20,4294967295,25.51,1018.28,21.89,92.05,-10.69
126,171,306,865,2,20,4294967295,25.51,1018.29,21.84,92.86,-10.78
127,171,307,867,2,20,4294967295,25.51,1018.3,21.81,93.58,-10.86
127,171,309,867,2,20,4294967295,25.51,1018.31,21.77,94.43,-10.94
127,171,310,867,2,20,4294967295,25.51,1018.32,21.75,95.07,-10.94
128,171,311,867,2,20,4294967295,25.51,1018.32,21.73,95.5,-10.94
128,171,311,868,2,20,4294967295,25.51,1018.32,21.71,95.31,-10.94
127,169,311,867,3,22,4294967295,25.51,1018.32,21.68,95.53,-10.94
127,169,310,866,3,22,4294967295,25.51,1018.32,21.67,95.69,-10.86
126,168,310,865,3,21,4294967295,25.51,1018.31,21.64,96.57,-10.78
126,167,311,865,3,20,4294967295,25.5,1018.3,21.62,97.07,-10.78
125,167,312,865,3,21,4294967295,25.5,1018.3,21.61,97.97,-10.78
125,167,311,865,2,20,4294967295,25.5,1018.3,21.6,99.01,-10.69
124,168,312,865,3,21,4294967295,25.5,1018.29,21.59,99.42,-10.69
124,168,313,866,2,21,4294967295,25.5,1018.29,21.58,99.72,-10.69
125,169,313,867,2,19,4294967295,25.5,1018.29,21.55,100.37,-10.69
125,169,316,869,2,20,4294967295,25.5,1018.29,21.55,101.04,-10.69
126,169,317,869,2,20,4294967295,25.5,1018.29,21.52,101.28,-10.69
127,168,317,869,3,21,4294967295,25.51,1018.29,21.5,101.83,-10.69
126,168,318,869,3,21,4294967295,25.51,1018.29,21.46,102.89,-10.69
127,168,319,869,2,21,4294967295,25.51,1018.29,21.44,103.21,-10.69
126,168,320,870,2,21,4294967295,25.51,1018.29,21.43,103.84,-10.61
127,168,322,871,2,21,4294967295,25.51,1018.28,21.41,104.36,-10.69
127,169,322,871,3,21,4294967295,25.51,1018.29,21.41,104.95,-10.69
127,168,323,872,3,21,4294967295,25.51,1018.29,21.41,105.01,-10.78
128,169,324,872,2,20,4294967295,25.51,1018.3,21.41,105.41,-10.78
128,170,326,874,2,21,4294967295,25.51,1018.3,21.4,107.08,-10.69
130,169,328,874,2,19,4294967295,25.51,1018.29,21.41,106.07,-10.78
131,170,329,876,2,19,4294967295,25.51,1018.3,21.41,107.5,-10.78
132,169,331,876,2,20,4294967295,25.51,1018.3,21.44,106.95,-10.69
132,169,331,875,2,20,4294967295,25.51,1018.29,21.46,107.29,-10.78
132,168,332,876,2,19,4294967295,25.51,1018.3,21.49,106.75,-10.69
131,168,333,875,2,19,4294967295,25.51,1018.29,21.51,107.22,-10.61
131,167,333,875,2,20,4294967295,25.51,1018.28,21.53,107.77,-10.61
131,167,334,874,2,19,4294967295,25.51,1018.28,21.54,107.77,-10.53
131,166,333,874,2,20,4294967295,25.51,1018.27,21.53,108.4,-10.45
130,166,333,874,2,20,4294967295,25.52,1018.26,21.53,108.68,-10.45
129,166,334,875,2,20,4294967295,25.52,1018.26,21.52,108.89,-10.45
130,167,334,875,2,19,4294967295,25.52,1018.26,21.51,110.1,-10.53
129,166,334,876,2,20,4294967295,25.52,1018.27,21.48,109.67,-10.53
129,166,334,876,2,20,4294967295,25.52,1018.27,21.46,110.68,-10.61
129,167,334,876,2,21,4294967295,25.52,1018.28,21.43,111.12,-10.69
130,167,334,877,2,20,4294967295,25.52,1018.29,21.41,111.12,-10.78
129,167,334,877,3,20,4294967295,25.52,1018.3,21.38,112.16,-10.78
130,167,334,878,3,20,4294967295,25.52,1018.3,21.36,111.93,-10.86
130,165,334,876,2,20,4294967295,25.52,1018.31,21.37,111.86,-10.86
129,165,334,877,3,20,4294967295,25.52,1018.31,21.39,111.71,-10.94
129,165,334,876,2,20,4294967295,25.52,1018.32,21.39,111.78,-10.94
129,164,334,877,3,22,4294967295,25.52,1018.32,21.42,112.31,-10.94
128,164,334,876,2,21,4294967295,25.52,1018.32,21.44,112.31,-10.86
