NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
57,85,133,777,1,23,4294967295,25.46,1018.14,20.61,165.31,-9.54
57,84,133,777,2,26,4294967295,25.45,1018.15,20.6,165.31,-9.62
57,85,133,779,2,25,4294967295,25.45,1018.16,20.62,165.64,-9.7
57,85,132,777,2,24,4294967295,25.45,1018.17,20.63,164.83,-9.7
57,84,131,777,2,25,4294967295,25.44,1018.17,20.62,165.64,-9.78
56,85,130,777,2,24,4294967295,25.44,1018.18,20.63,164.34,-9.78
56,85,131,779,2,25,4294967295,25.44,1018.18,20.63,165.64,-9.78
56,85,132,781,2,24,4294967295,25.44,1018.18,20.67,165.64,-9.87
56,84,132,781,2,24,4294967295,25.44,1018.19,20.69,165.64,-9.87
56,84,132,782,2,24,4294967295,25.44,1018.19,20.71,164.99,-9.95
55,84,131,783,2,24,4294967295,25.44,1018.2,20.75,165.31,-9.95
55,85,131,783,2,24,4294967295,25.44,1018.2,20.77,166.46,-9.95
55,85,130,782,2,24,4294967295,25.44,1018.2,20.79,165.15,-9.87
55,84,130,782,1,24,4294967295,25.44,1018.19,20.8,165.8,-9.95
55,84,129,781,2,25,4294967295,25.44,1018.2,20.82,164.83,-9.87
55,84,128,781,2,24,4294967295,25.44,1018.19,20.83,165.31,-9.78
55,84,128,780,2,23,4294967295,25.44,1018.18,20.86,164.83,-9.78
55,85,128,781,2,24,4294967295,25.44,1018.18,20.87,164.67,-9.7
55,84,127,782,1,24,4294967295,25.45,1018.17,20.87,165.31,-9.7
55,84,128,784,2,24,4294967295,25.45,1018.17,20.91,164.67,-9.7
55,84,128,785,2,24,4294967295,25.45,1018.17,20.92,164.5,-9.62
55,85,127,786,2,25,4294967295,25.45,1018.16,20.93,164.83,-9.54
54,85,127,787,2,25,4294967295,25.45,1018.15,20.94,165.15,-9.45
54,84,126,787,3,24,4294967295,25.46,1018.14,20.95,164.67,-9.37
55,84,126,786,2,24,4294967295,25.46,1018.13,20.93,164.99,-9.29
54,84,126,786,2,23,4294967295,25.46,1018.12,20.94,165.15,-9.2
55,84,126,786,2,25,4294967295,25.46,1018.11,20.93,165.31,-9.12
54,84,125,786,2,24,4294967295,25.46,1018.1,20.93,165.64,-9.12
54,85,125,787,2,23,4294967295,25.47,1018.1,20.93,164.83,-9.2
54,85,124,788,2,24,4294967295,25.47,1018.11,20.91,167.12,-9.12
54,84,124,789,2,23,4294967295,25.47,1018.1,20.88,166.29,-9.12
54,85,125,790,2,24,4294967295,25.47,1018.1,20.87,166.29,-9.12
54,85,124,791,2,24,4294967295,25.47,1018.1,20.86,166.29,-9.2
54,85,125,792,3,26,4294967295,25.47,1018.11,20.86,165.31,-9.2
54,86,126,794,2,25,4294967295,25.48,1018.11,20.85,166.13,-9.29
54,86,126,796,2,24,4294967295,25.48,1018.12,20.84,166.13,-9.29
54,86,126,797,2,25,4294967295,25.48,1018.12,20.84,166.29,-9.29
54,86,125,798,2,25,4294967295,25.48,1018.12,20.82,165.97,-9.29
54,86,125,799,2,24,4294967295,25.48,1018.12,20.81,166.29,-9.2
54,85,125,799,2,24,4294967295,25.48,1018.11,20.81,166.29,-9.29
54,86,124,799,2,25,4294967295,25.48,1018.12,20.81,166.29,-9.29
54,85,124,799,2,25,4294967295,25.49,1018.12,20.8,167.46,-9.29
54,85,124,799,2,25,4294967295,25.49,1018.12,20.79,166.29,-9.29
53,85,124,799,2,26,4294967295,25.49,1018.12,20.78,166.96,-9.29
54,85,125,800,2,24,4294967295,25.49,1018.12,20.79,165.8,-9.37
54,85,124,801,2,26,4294967295,25.49,1018.13,20.8,166.46,-9.37
54,86,123,802,2,25,4294967295,25.49,1018.13,20.8,166.62,-9.37
54,85,124,801,2,25,4294967295,25.49,1018.13,20.81,166.62,-9.54
54,85,124,803,2,25,4294967295,25.49,1018.15,20.8,166.29,-9.54
54,85,124,802,2,25,4294967295,25.5,1018.15,20.81,166.13,-9.62
54,86,124,804,2,25,4294967295,25.5,1018.16,20.83,166.96,-9.62
53,85,125,805,2,26,4294967295,25.5,1018.16,20.84,165.97,-9.7
54,86,125,805,2,25,4294967295,25.5,1018.17,20.86,166.29,-9.78
54,85,125,806,2,25,4294967295,25.5,1018.18,20.87,166.13,-9.87
54,86,124,806,2,24,4294967295,25.5,1018.19,20.88,167.29,-9.87
54,85,125,806,2,24,4294967295,25.51,1018.19,20.89,165.8,-9.87
54,86,125,807,2,25,4294967295,25.51,1018.19,20.89,166.29,-9.78
55,85,125,808,2,25,4294967295,25.51,1018.18,20.9,165.97,-9.78
54,85,125,809,2,25,4294967295,25.51,1018.18,20.91,166.62,-9.78
54,86,125,809,2,25,4294967295,25.51,1018.18,20.9,165.8,-9.7
54,86,125,809,2,25,4294967295,25.51,1018.17,20.9,165.64,-9.54
55,86,125,810,2,25,4294967295,25.52,1018.15,20.9,167.29,-9.54
54,85,125,811,2,25,4294967295,25.52,1018.15,20.89,166.13,-9.54
55,86,125,812,2,26,4294967295,25.52,1018.15,20.89,167.46,-9.45
55,85,126,811,2,25,4294967295,25.52,1018.14,20.9,166.29,-9.37
55,86,126,812,2,25,4294967295,25.52,1018.13,20.9,166.29,-9.37
55,86,126,812,2,25,4294967295,25.52,1018.13,20.93,166.13,-9.37
54,85,124,812,2,25,4294967295,25.52,1018.13,20.94,165.31,-9.45
55,85,125,812,2,25,4294967295,25.52,1018.14,20.98,165.97,-9.54
55,85,125,812,2,25,4294967295,25.53,1018.15,20.99,165.64,-9.54
55,86,124,811,2,25,4294967295,25.53,1018.15,21.0,165.8,-9.62
55,85,124,811,2,26,4294967295,25.53,1018.16,21.0,165.48,-9.7
55,85,124,811,2,26,4294967295,25.53,1018.17,21.02,165.8,-9.78
55,85,124,809,2,25,4294967295,25.53,1018.18,21.03,165.97,-9.87
55,85,124,809,2,26,4294967295,25.53,1018.19,21.07,165.48,-9.87
54,85,124,808,2,26,4294967295,25.53,1018.19,21.09,164.99,-9.87
55,85,124,809,2,25,4294967295,25.53,1018.19,21.11,164.34,-9.87
54,84,124,810,2,26,4294967295,25.53,1018.19,21.15,163.7,-9.7
54,85,124,809,3,26,4294967295,25.53,1018.17,21.18,164.02,-9.62
54,84,124,811,2,26,4294967295,25.53,1018.16,21.24,162.75,-9.62
54,85,124,810,2,26,4294967295,25.54,1018.16,21.28,163.39,-9.54
55,85,124,810,2,27,4294967295,25.54,1018.15,21.31,163.07,-9.45
55,85,125,812,2,26,4294967295,25.54,1018.14,21.36,162.6,-9.45
