NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
48,77,112,750,2,13,0,33.59,688.6,100.0,0.0,3170.54
48,77,112,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,77,110,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,77,110,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
48,77,110,747,2,12,0,33.59,688.6,100.0,0.0,3170.54
47,77,110,747,2,14,0,33.59,688.6,100.0,0.0,3170.54
47,77,110,747,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,77,110,747,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,110,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,747,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,109,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,747,2,12,0,33.59,688.6,100.0,0.0,3170.54
47,76,109,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,77,108,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,109,747,2,12,0,33.59,688.6,100.0,0.0,3170.54
46,76,109,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,75,108,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,108,748,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,75,108,748,2,12,0,33.59,688.6,100.0,0.0,3170.54
46,75,108,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,108,748,3,13,0,33.59,688.6,100.0,0.0,3170.54
46,75,108,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,108,748,2,14,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,75,107,748,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
46,76,108,749,2,12,0,33.59,688.6,100.0,0.0,3170.54
46,76,108,749,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,749,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,750,2,14,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,750,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,750,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,75,107,751,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,76,107,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
44,76,106,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,75,106,752,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,107,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
44,76,106,751,2,12,0,33.59,688.6,100.0,0.0,3170.54
45,76,106,751,2,13,0,33.59,688.6,100.0,0.0,3170.54
