NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
46,63,88,727,0,12,0,25.26,1020.75,21.97,276.97,-31.06
45,64,89,726,0,13,0,25.27,1020.75,22.01,276.5,-31.06
45,64,89,727,0,13,0,25.27,1020.75,22.03,276.97,-30.98
45,64,89,727,1,13,0,25.28,1020.74,22.06,276.27,-30.98
45,63,88,727,0,13,0,25.29,1020.74,22.07,277.43,-30.98
45,64,88,727,0,13,0,25.29,1020.74,22.09,277.43,-30.98
45,64,88,728,0,13,0,25.3,1020.74,22.11,277.9,-30.98
45,64,88,727,1,13,0,25.3,1020.74,22.11,280.25,-31.06
45,63,88,727,0,15,0,25.31,1020.75,22.1,279.54,-31.06
44,64,88,728,0,13,0,25.31,1020.75,22.11,279.07,-31.06
45,64,88,727,0,13,0,25.32,1020.75,22.11,279.54,-30.98
45,64,88,727,1,13,0,25.32,1020.74,22.1,281.21,-30.98
44,64,87,728,0,14,0,25.32,1020.74,22.1,281.69,-30.98
45,64,88,728,0,13,0,25.32,1020.74,22.1,282.17,-31.06
45,64,88,728,1,13,0,25.32,1020.75,22.09,280.97,-30.98
45,64,88,729,1,13,0,25.32,1020.74,22.1,282.41,-30.98
44,63,87,728,1,15,0,25.33,1020.74,22.09,282.65,-30.98
44,64,88,729,0,13,0,25.33,1020.74,22.1,282.65,-30.98
45,64,87,729,1,13,0,25.33,1020.74,22.1,282.65,-31.06
44,64,87,729,0,13,0,25.33,1020.75,22.09,284.11,-30.98
44,64,87,730,1,14,0,25.33,1020.74,22.08,284.11,-30.98
44,64,88,730,0,14,0,25.33,1020.74,22.09,282.41,-30.89
44,63,88,730,1,13,0,25.33,1020.73,22.08,283.13,-30.89
44,64,88,731,0,13,0,25.33,1020.73,22.08,283.13,-30.89
44,64,88,731,0,13,0,25.33,1020.73,22.1,286.82,-30.89
44,64,88,732,0,13,0,25.34,1020.73,22.09,284.6,-30.89
44,65,88,732,0,14,0,25.33,1020.73,22.09,285.09,-30.89
43,64,88,732,0,15,0,25.34,1020.73,22.09,285.09,-30.98
44,64,88,733,0,13,0,25.34,1020.74,22.09,283.62,-30.89
44,65,88,733,1,13,0,25.33,1020.73,22.12,284.11,-30.89
44,64,88,733,0,13,0,25.34,1020.73,22.11,285.58,-30.89
44,64,88,733,1,13,0,25.34,1020.73,22.12,287.32,-30.89
43,64,88,732,1,14,0,25.34,1020.73,22.12,287.57,-30.81
44,65,88,733,0,13,0,25.34,1020.72,22.13,284.35,-30.81
44,64,88,733,0,13,0,25.34,1020.72,22.13,286.07,-30.81
44,65,88,733,1,12,0,25.34,1020.72,22.13,287.57,-30.81
44,65,87,732,0,15,0,25.34,1020.72,22.14,287.57,-30.89
44,65,88,733,0,14,0,25.34,1020.73,22.13,287.57,-30.89
44,64,88,733,0,13,0,25.34,1020.73,22.12,286.57,-30.98
44,65,88,733,1,13,0,25.34,1020.74,22.13,286.82,-30.98
44,65,88,734,0,13,0,25.34,1020.74,22.12,288.07,-30.98
44,65,88,734,1,13,0,25.34,1020.74,22.1,287.82,-30.89
44,64,88,734,0,13,0,25.35,1020.73,22.08,288.32,-30.98
45,65,88,734,0,14,0,25.35,1020.74,22.08,287.57,-30.98
44,65,88,734,0,13,0,25.35,1020.74,22.08,291.11,-30.89
44,65,88,734,0,13,0,25.35,1020.73,22.08,288.82,-30.89
45,65,89,735,0,15,0,25.35,1020.73,22.07,289.08,-30.89
45,64,88,736,0,13,0,25.35,1020.73,22.07,288.07,-30.89
44,65,89,735,1,13,0,25.35,1020.73,22.07,290.09,-30.89
44,65,89,736,0,13,0,25.35,1020.73,22.06,289.33,-30.81
45,65,89,736,1,13,0,25.35,1020.72,22.05,288.82,-30.89
44,66,89,736,1,13,0,25.35,1020.73,22.06,289.33,-30.89
44,65,89,736,0,12,0,25.36,1020.73,22.06,289.58,-30.89
45,65,89,736,0,13,0,25.36,1020.73,22.06,290.35,-30.89
45,65,89,736,0,14,0,25.36,1020.73,22.07,291.11,-30.89
45,65,89,737,0,13,0,25.36,1020.73,22.06,290.86,-30.81
44,66,89,736,0,12,0,25.36,1020.72,22.07,292.92,-30.81
45,65,89,736,0,12,0,25.36,1020.72,22.06,291.88,-30.81
45,66,89,737,0,13,0,25.36,1020.72,22.06,291.11,-30.81
44,66,89,738,0,13,0,25.36,1020.72,22.07,293.18,-30.81
45,65,89,737,0,12,0,25.36,1020.72,22.09,292.4,-30.73
44,65,89,738,0,12,0,25.36,1020.71,22.09,290.09,-30.73
45,65,89,738,0,12,0,25.36,1020.71,22.07,293.18,-30.73
45,66,89,738,0,12,0,25.36,1020.71,22.09,292.14,-30.73
45,66,89,738,0,12,0,25.36,1020.71,22.08,292.4,-30.73
45,65,90,737,1,14,0,25.36,1020.71,22.08,293.7,-30.73
45,66,89,738,0,13,0,25.36,1020.71,22.08,292.66,-30.73
45,66,89,738,0,12,0,25.36,1020.71,22.06,292.92,-30.81
45,66,90,737,0,12,0,25.36,1020.72,22.08,293.18,-30.73
45,65,89,737,0,12,0,25.36,1020.71,22.08,293.18,-30.73
45,65,90,738,0,13,0,25.36,1020.71,22.08,296.33,-30.81
45,66,89,738,0,13,0,25.36,1020.72,22.06,292.92,-30.73
46,66,89,738,0,12,0,25.36,1020.71,22.05,292.92,-30.73
46,65,89,737,0,12,0,25.36,1020.71,22.06,294.48,-30.65
45,65,89,738,0,12,0,25.36,1020.7,22.06,295.27,-30.73
46,65,90,738,0,12,0,25.37,1020.71,22.06,296.07,-30.65
45,66,90,738,0,12,0,25.37,1020.7,22.07,294.22,-30.65
45,65,90,737,0,12,0,25.37,1020.7,22.08,294.22,-30.65
45,66,89,737,0,12,0,25.37,1020.7,22.08,296.07,-30.73
45,65,90,738,0,12,0,25.37,1020.71,22.1,295.27,-30.65
46,66,90,738,0,11,0,25.37,1020.7,22.08,296.07,-30.65
45,65,89,737,0,13,0,25.37,1020.7,22.08,295.27,-30.56
46,66,90,738,0,13,0,25.37,1020.69,22.1,295.27,-30.56
46,66,90,738,0,13,0,25.37,1020.69,22.1,297.93,-30.56
45,66,90,737,0,13,0,25.37,1020.69,22.1,295.8,-30.65
46,66,90,738,0,13,0,25.37,1020.7,22.11,297.13,-30.56
46,66,90,738,1,12,0,25.37,1020.69,22.1,297.13,-30.56
