NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
64,81,150,735,0,12,0,25.36,1020.6,22.15,413.18,-29.82
64,81,149,736,0,11,0,25.36,1020.6,22.15,414.71,-29.82
64,80,149,736,0,12,0,25.36,1020.6,22.16,412.92,-29.74
64,81,149,735,0,11,0,25.36,1020.59,22.18,415.22,-29.74
63,81,149,736,0,11,0,25.36,1020.59,22.19,411.15,-29.74
63,80,149,736,0,11,0,25.36,1020.59,22.21,413.43,-29.82
63,81,149,737,0,12,0,25.36,1020.6,22.24,412.67,-29.82
63,80,148,737,0,11,0,25.37,1020.6,22.25,410.4,-29.9
63,80,149,737,0,11,0,25.37,1020.61,22.26,410.4,-29.82
63,81,149,738,0,11,0,25.37,1020.6,22.27,414.45,-29.82
63,81,150,739,0,11,0,25.37,1020.6,22.27,411.41,-29.82
62,81,150,741,0,11,0,25.37,1020.6,22.28,413.69,-29.82
63,81,150,741,0,11,0,25.37,1020.6,22.29,412.42,-29.9
63,82,149,742,0,11,0,25.37,1020.61,22.3,412.67,-29.9
63,81,149,741,0,11,0,25.37,1020.61,22.31,412.42,-29.9
63,81,148,740,0,11,0,25.37,1020.61,22.31,413.43,-29.9
63,81,149,740,1,11,0,25.37,1020.61,22.32,410.4,-29.82
62,81,149,740,0,11,0,25.37,1020.6,22.3,414.45,-29.82
62,81,148,741,0,11,0,25.37,1020.6,22.28,414.71,-29.74
62,81,148,741,0,11,0,25.38,1020.59,22.26,417.54,-29.74
62,81,147,739,0,12,0,25.38,1020.59,22.25,410.4,-29.74
62,81,147,739,0,11,0,25.38,1020.59,22.24,414.45,-29.74
62,80,147,739,0,12,0,25.38,1020.59,22.22,414.45,-29.65
62,80,146,740,0,12,0,25.38,1020.58,22.19,414.45,-29.65
62,81,147,739,0,12,0,25.38,1020.58,22.19,415.48,-29.57
61,81,146,739,0,12,0,25.38,1020.57,22.17,414.45,-29.65
61,80,146,739,0,12,0,25.38,1020.58,22.17,414.45,-29.57
61,80,146,739,0,11,0,25.38,1020.57,22.18,412.67,-29.57
62,80,146,739,0,12,0,25.38,1020.57,22.17,413.43,-29.65
62,80,146,739,0,12,0,25.38,1020.58,22.17,414.96,-29.65
61,80,147,739,0,12,0,25.38,1020.58,22.17,415.22,-29.65
61,81,146,739,0,11,0,25.38,1020.58,22.16,413.18,-29.74
61,81,145,740,0,12,0,25.38,1020.59,22.16,412.67,-29.74
61,80,146,740,0,12,0,25.39,1020.59,22.16,417.02,-29.82
61,81,145,740,0,12,0,25.39,1020.6,22.16,416.25,-29.74
61,80,146,740,0,12,0,25.39,1020.59,22.17,413.43,-29.82
61,80,146,741,0,12,0,25.39,1020.6,22.18,412.92,-29.82
61,80,145,741,0,12,0,25.39,1020.6,22.18,412.92,-29.82
60,81,146,741,0,12,0,25.39,1020.6,22.19,414.45,-29.82
60,81,145,743,0,12,0,25.39,1020.6,22.18,413.94,-29.82
60,81,145,744,0,13,0,25.31,1020.6,22.2,406.68,-29.82
60,80,146,744,0,12,0,25.3,1020.6,22.23,406.92,-29.9
61,81,145,743,0,12,0,25.31,1020.61,22.24,406.68,-29.82
61,81,144,743,0,12,0,25.32,1020.6,22.23,410.15,-29.9
61,81,145,743,0,12,0,25.33,1020.61,22.23,409.65,-29.9
61,81,145,744,0,12,0,25.34,1020.61,22.23,407.91,-29.98
60,81,145,743,0,12,0,25.35,1020.62,22.25,412.16,-29.9
60,81,145,744,0,12,0,25.35,1020.61,22.27,409.9,-29.9
61,81,145,744,0,12,0,25.36,1020.61,22.27,409.4,-29.9
