NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
29,64,63,750,1,11,0,24.92,1010.1,48.25,227.58,57.39
29,65,62,750,1,10,0,24.92,1010.1,48.25,229.16,57.48
29,65,62,750,1,10,0,24.93,1010.09,48.25,228.37,57.48
29,65,62,750,1,11,0,24.93,1010.09,48.24,227.74,57.48
29,65,63,750,1,11,0,24.93,1010.09,48.26,228.21,57.56
29,65,63,750,1,11,0,24.93,1010.08,48.25,227.58,57.56
28,65,62,750,1,11,0,24.93,1010.08,48.25,228.84,57.56
29,64,63,750,1,11,0,24.93,1010.08,48.25,227.42,57.64
29,65,62,749,1,11,0,24.93,1010.07,48.24,227.9,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.24,229.16,57.56
29,65,63,750,1,11,0,24.94,1010.08,48.25,227.9,57.56
29,65,63,750,1,11,0,24.94,1010.08,48.24,226.8,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.24,226.33,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.22,228.05,57.56
29,65,62,751,1,11,0,24.94,1010.08,48.24,226.65,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.24,227.58,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.22,227.74,57.56
29,65,62,750,1,11,0,24.94,1010.08,48.22,226.18,57.48
29,65,62,751,1,12,0,24.94,1010.09,48.24,227.74,57.48
29,65,62,751,1,11,0,24.94,1010.09,48.22,226.8,57.39
29,65,62,751,1,11,0,24.94,1010.1,48.23,226.96,57.39
29,65,62,750,1,12,0,24.93,1010.1,48.24,226.49,57.31
29,65,62,750,1,11,0,24.93,1010.11,48.22,226.96,57.31
28,65,62,750,1,11,0,24.93,1010.11,48.23,225.25,57.31
28,65,62,750,1,11,0,24.93,1010.11,48.24,226.96,57.39
29,65,62,750,1,11,0,24.93,1010.1,48.23,226.65,57.31
29,65,62,750,1,11,0,24.93,1010.11,48.23,226.96,57.23
29,65,62,750,1,11,0,24.93,1010.12,48.23,224.95,57.23
29,65,62,751,1,11,0,24.93,1010.12,48.24,225.1,57.31
28,65,62,751,1,10,0,24.93,1010.11,48.24,225.72,57.23
29,65,62,750,1,11,0,24.93,1010.12,48.24,226.65,57.23
28,65,62,751,1,11,0,24.93,1010.12,48.23,225.56,57.31
29,65,62,750,1,11,0,24.93,1010.11,48.23,227.11,57.31
29,65,62,751,1,11,0,24.93,1010.11,48.24,226.18,57.39
28,65,62,750,1,11,0,24.93,1010.1,48.23,226.8,57.39
29,65,62,751,1,11,0,24.93,1010.1,48.23,225.87,57.39
28,65,61,751,1,11,0,24.93,1010.1,48.23,224.49,57.39
28,65,62,751,1,10,0,24.93,1010.1,48.23,226.33,57.39
29,65,62,751,1,11,0,24.93,1010.1,48.24,224.19,57.39
29,65,61,751,1,11,0,24.93,1010.1,48.23,226.49,57.39
29,64,62,751,1,11,0,24.93,1010.1,48.23,224.19,57.48
29,65,62,751,1,11,0,24.93,1010.09,48.22,225.25,57.56
29,65,62,751,1,11,0,24.93,1010.08,48.24,224.34,57.56
28,65,61,751,1,11,0,24.93,1010.08,48.23,223.73,57.56
29,65,62,750,1,11,0,24.93,1010.08,48.24,224.95,57.56
29,65,62,750,1,10,0,24.93,1010.08,48.22,225.25,57.56
29,65,62,751,1,11,0,24.93,1010.08,48.23,225.25,57.56
29,65,61,751,1,11,0,24.93,1010.08,48.23,225.87,57.48
28,65,62,751,1,11,0,24.93,1010.09,48.23,225.41,57.48
29,65,61,751,1,11,0,24.93,1010.09,48.21,223.43,57.48
29,65,62,751,1,11,0,24.93,1010.09,48.22,224.95,57.48
28,65,62,751,1,11,0,24.93,1010.09,48.22,224.34,57.48
29,65,62,752,1,11,0,24.93,1010.09,48.22,223.73,57.48
29,65,61,751,1,11,0,24.93,1010.09,48.22,225.25,57.39
28,65,62,751,1,10,0,24.93,1010.1,48.2,225.1,57.48
