NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
51,114,172,885,5,235,4294967295,25.56,1019.08,24.97,231.73,-17.16
51,114,172,884,4,236,4294967295,25.56,1019.07,24.98,234.19,-17.24
50,114,172,883,4,230,4294967295,25.56,1019.08,25.0,236.54,-17.24
50,114,171,881,5,229,4294967295,25.56,1019.08,25.03,238.24,-17.24
50,114,171,880,4,233,4294967295,25.56,1019.08,25.05,240.85,-17.16
50,113,170,878,4,228,4294967295,25.56,1019.07,25.08,243.15,-17.16
50,113,170,877,4,227,4294967295,25.56,1019.07,25.1,245.13,-17.16
49,113,170,876,6,229,4294967295,25.56,1019.07,25.11,246.59,-17.16
50,112,169,876,5,227,4294967295,25.56,1019.07,25.14,248.82,-17.16
49,113,169,874,5,228,4294967295,25.56,1019.07,25.14,250.71,-17.24
49,112,168,873,5,222,4294967295,25.56,1019.08,25.15,252.43,-17.16
49,111,168,873,5,222,4294967295,25.57,1019.07,25.17,253.01,-17.16
49,112,167,872,5,221,4294967295,25.57,1019.07,25.16,254.57,-17.16
49,112,167,872,5,222,4294967295,25.57,1019.07,25.18,256.35,-17.16
48,112,167,871,5,220,4294967295,25.57,1019.07,25.17,257.55,-17.24
48,112,167,870,5,220,4294967295,25.57,1019.08,25.18,258.75,-17.24
48,111,166,869,4,220,4294967295,25.57,1019.08,25.18,259.98,-17.32
48,111,166,869,5,216,4294967295,25.57,1019.09,25.19,260.8,-17.32
48,111,166,868,5,214,4294967295,25.57,1019.09,25.2,262.45,-17.32
47,111,165,867,5,208,4294967295,25.57,1019.09,25.2,262.45,-17.32
47,110,165,866,5,213,4294967295,25.58,1019.09,25.22,263.71,-17.4
47,111,164,865,5,212,4294967295,25.58,1019.1,25.2,264.13,-17.32
47,110,164,865,5,211,4294967295,25.58,1019.09,25.21,264.13,-17.32
47,110,164,865,5,246,4294967295,25.58,1019.09,25.21,266.26,-17.32
48,109,163,864,5,208,4294967295,25.58,1019.09,25.2,267.33,-17.32
47,110,163,863,5,209,4294967295,25.58,1019.09,25.2,268.42,-17.24
47,110,163,863,5,210,4294967295,25.58,1019.08,25.19,269.08,-17.24
47,109,163,863,5,206,4294967295,25.58,1019.08,25.18,270.62,-17.24
47,109,163,863,4,216,4294967295,25.58,1019.08,25.19,270.84,-17.24
47,109,162,865,5,210,4294967295,25.58,1019.08,25.2,271.51,-17.24
47,109,162,866,4,203,4294967295,25.58,1019.08,25.2,270.84,-17.24
46,109,161,868,5,199,4294967295,25.59,1019.08,25.2,271.06,-17.32
47,109,161,869,5,202,4294967295,25.59,1019.09,25.21,271.28,-17.24
46,109,161,872,5,203,4294967295,25.59,1019.08,25.21,271.51,-17.24
47,109,161,875,4,198,4294967295,25.59,1019.08,25.2,271.95,-17.32
46,109,161,878,4,198,4294967295,25.59,1019.09,25.21,272.18,-17.32
46,109,161,882,5,202,4294967295,25.59,1019.09,25.21,272.85,-17.32
46,109,161,885,5,202,4294967295,25.59,1019.09,25.21,272.4,-17.32
46,110,161,887,5,199,4294967295,25.59,1019.09,25.21,273.08,-17.4
46,110,161,890,5,202,4294967295,25.6,1019.1,25.22,272.85,-17.4
46,110,161,893,5,183,4294967295,25.6,1019.1,25.21,273.3,-17.32
45,110,161,896,5,200,4294967295,25.6,1019.09,25.22,272.4,-17.32
46,110,161,899,4,198,4294967295,25.6,1019.09,25.23,272.85,-17.24
46,110,161,901,5,203,4294967295,25.6,1019.08,25.23,271.28,-17.32
46,110,161,903,4,195,4294967295,25.6,1019.09,25.25,267.77,-17.32
46,110,161,906,5,198,4294967295,25.6,1019.09,25.25,265.4,-17.32
45,110,161,908,4,199,4294967295,25.6,1019.09,25.28,263.29,-17.32
45,110,161,911,5,203,4294967295,25.61,1019.09,25.29,262.87,-17.24
46,110,160,913,5,214,4294967295,25.61,1019.08,25.3,259.98,-17.24
45,110,161,915,5,207,4294967295,25.61,1019.08,25.33,257.55,-17.24
46,111,161,919,5,209,4294967295,25.61,1019.08,25.35,255.95,-17.24
