NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
41,67,104,783,2,16,0,33.59,688.6,100.0,0.0,3170.54
41,67,104,783,2,17,0,33.59,688.6,100.0,0.0,3170.54
41,67,104,782,2,16,0,33.59,688.6,100.0,0.0,3170.54
41,67,104,782,2,15,0,33.59,688.6,100.0,0.0,3170.54
41,67,104,782,2,15,0,33.59,688.6,100.0,0.0,3170.54
41,67,103,781,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,104,781,2,16,0,33.59,688.6,100.0,0.0,3170.54
41,67,103,780,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,103,780,2,16,0,33.59,688.6,100.0,0.0,3170.54
41,67,103,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,103,779,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,103,778,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,66,103,778,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,103,777,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,778,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,103,778,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,102,777,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,777,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,777,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,778,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,778,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,101,779,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,779,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,102,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,102,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
40,67,101,779,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,102,779,2,17,0,33.59,688.6,100.0,0.0,3170.54
39,67,102,780,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,780,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,102,780,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,102,780,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,780,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,780,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,781,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,781,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,781,2,15,0,33.59,688.6,100.0,0.0,3170.54
39,67,101,781,2,15,0,33.59,688.6,100.0,0.0,3170.54
