NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,54,63,727,6,42,0,25.14,1021.75,25.98,500.99,-39.33
33,54,62,727,5,38,0,25.14,1021.75,26.02,503.62,-39.33
33,54,62,727,5,37,0,25.14,1021.75,26.04,501.36,-39.33
32,54,62,728,5,37,0,25.14,1021.75,26.09,498.02,-39.33
32,54,62,728,5,38,0,25.14,1021.75,26.11,499.13,-39.33
33,54,62,727,5,38,0,25.14,1021.75,26.16,499.5,-39.33
32,54,62,728,5,38,0,25.14,1021.75,26.17,500.62,-39.41
32,54,62,728,5,38,0,25.14,1021.76,26.21,500.62,-39.33
32,54,62,728,5,38,0,25.13,1021.75,26.22,503.62,-39.24
32,54,62,728,5,38,0,25.13,1021.74,26.22,502.49,-39.33
32,54,62,728,5,38,0,25.13,1021.75,26.24,502.49,-39.33
32,54,62,728,5,38,0,25.13,1021.75,26.24,503.24,-39.24
32,54,62,728,5,38,0,25.13,1021.74,26.27,502.49,-39.33
32,54,62,728,5,38,0,25.13,1021.75,26.28,504.0,-39.41
32,54,62,728,5,38,0,25.13,1021.76,26.31,502.49,-39.41
32,54,62,728,5,38,0,25.13,1021.76,26.32,504.37,-39.41
32,54,62,729,5,38,0,25.13,1021.76,26.35,504.0,-39.41
32,54,62,729,5,40,0,25.13,1021.76,26.36,504.37,-39.41
31,54,62,729,5,38,0,25.13,1021.76,26.37,502.49,-39.41
32,54,62,729,5,38,0,25.13,1021.76,26.37,504.0,-39.33
32,54,62,730,5,39,0,25.13,1021.75,26.37,504.75,-39.41
32,54,62,730,5,38,0,25.14,1021.76,26.39,504.37,-39.41
32,54,62,731,5,38,0,25.14,1021.76,26.38,507.04,-39.41
32,54,62,731,5,38,0,25.14,1021.76,26.4,505.13,-39.41
31,54,62,732,5,38,0,25.14,1021.76,26.41,502.49,-39.33
32,54,61,733,4,39,0,25.14,1021.75,26.39,506.66,-39.41
32,54,62,734,6,39,0,25.14,1021.76,26.39,509.73,-39.41
31,55,62,734,5,38,0,25.14,1021.76,26.39,506.66,-39.33
31,55,62,735,5,39,0,25.14,1021.75,26.4,504.0,-39.41
32,54,62,735,5,39,0,25.14,1021.76,26.37,504.37,-39.33
31,55,62,736,5,38,0,25.14,1021.75,26.36,506.66,-39.33
