NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
95,136,195,756,2,22,4294967295,25.65,1004.38,45.49,68.55,105.21
94,136,195,757,2,22,4294967295,25.65,1004.38,45.54,68.67,105.3
94,136,194,756,2,22,4294967295,25.65,1004.37,45.54,68.55,105.3
95,136,194,756,2,22,4294967295,25.65,1004.37,45.56,68.67,105.3
94,135,194,756,2,22,4294967295,25.66,1004.37,45.57,68.44,105.38
94,135,194,756,2,22,4294967295,25.66,1004.36,45.59,68.44,105.38
93,135,194,756,2,22,4294967295,25.66,1004.36,45.58,68.44,105.38
93,135,193,756,2,22,4294967295,25.66,1004.36,45.6,68.22,105.38
93,135,193,756,2,23,4294967295,25.66,1004.36,45.61,68.44,105.38
93,135,193,756,2,22,4294967295,25.66,1004.36,45.61,68.33,105.38
92,135,192,756,2,22,4294967295,25.66,1004.36,45.64,68.44,105.46
92,135,192,756,2,22,4294967295,25.66,1004.35,45.63,68.5,105.38
92,135,192,756,2,23,4294967295,25.66,1004.36,45.65,68.44,105.38
92,135,192,755,3,23,4294967295,25.66,1004.36,45.65,68.44,105.46
91,135,191,756,2,22,4294967295,25.66,1004.35,45.67,68.22,105.38
91,134,191,757,2,23,4294967295,25.67,1004.36,45.67,68.22,105.38
91,134,190,756,2,22,4294967295,25.67,1004.36,45.67,68.33,105.38
91,134,190,756,2,22,4294967295,25.67,1004.36,45.66,68.22,105.46
90,134,190,756,2,22,4294967295,25.67,1004.35,45.66,68.27,105.46
91,134,190,756,2,22,4294967295,25.67,1004.35,45.64,68.33,105.46
90,134,189,756,2,22,4294967295,25.67,1004.35,45.64,68.27,105.46
90,134,189,756,2,23,4294967295,25.67,1004.35,45.64,68.33,105.46
90,134,189,756,2,23,4294967295,25.67,1004.35,45.63,68.33,105.46
90,133,189,756,2,23,4294967295,25.67,1004.35,45.61,68.55,105.3
89,133,189,756,2,25,4294967295,25.67,1004.37,45.61,68.27,105.3
89,133,188,756,2,22,4294967295,25.67,1004.37,45.62,68.33,105.3
89,133,188,756,2,22,4294967295,25.67,1004.37,45.61,68.39,105.21
90,133,188,756,2,22,4294967295,25.67,1004.38,45.59,68.39,105.21
89,133,188,756,2,21,4294967295,25.67,1004.38,45.59,68.39,105.3
89,133,188,756,2,23,4294967295,25.67,1004.37,45.59,68.27,105.3
89,133,188,756,2,23,4294967295,25.67,1004.37,45.59,68.44,105.3
88,133,188,756,2,23,4294967295,25.67,1004.37,45.59,68.5,105.3
88,133,188,756,2,23,4294967295,25.67,1004.37,45.61,68.5,105.21
89,132,187,756,2,22,4294967295,25.67,1004.38,45.6,68.44,105.3
88,132,187,756,2,22,4294967295,25.68,1004.37,45.6,68.27,105.3
88,133,187,756,2,22,4294967295,25.68,1004.37,45.61,68.33,105.3
88,132,187,756,2,22,4294967295,25.68,1004.37,45.61,68.22,105.3
88,132,187,756,2,22,4294967295,25.68,1004.37,45.6,68.27,105.3
88,132,186,756,2,22,4294967295,25.68,1004.37,45.6,68.22,105.3
88,132,186,756,2,22,4294967295,25.68,1004.37,45.6,68.27,105.3
88,132,186,756,2,23,4294967295,25.68,1004.37,45.58,68.39,105.3
88,132,185,756,2,22,4294967295,25.68,1004.37,45.6,68.44,105.38
88,132,186,756,2,22,4294967295,25.68,1004.36,45.6,68.22,105.38
88,132,186,756,3,22,4294967295,25.68,1004.36,45.59,68.33,105.38
88,131,185,756,2,22,4294967295,25.68,1004.36,45.6,68.55,105.38
88,132,186,756,2,23,4294967295,25.68,1004.36,45.6,68.33,105.38
87,132,185,756,2,22,4294967295,25.68,1004.36,45.59,68.55,105.3
87,131,185,756,2,23,4294967295,25.68,1004.37,45.57,68.39,105.38
87,131,185,756,2,22,4294967295,25.68,1004.36,45.58,68.27,105.38
87,131,185,756,2,22,4294967295,25.68,1004.36,45.55,68.33,105.38
87,131,185,756,2,21,4294967295,25.68,1004.36,45.57,68.39,105.46
87,131,184,756,2,22,4294967295,25.68,1004.35,45.55,68.39,105.38
87,131,184,756,2,22,4294967295,25.69,1004.36,45.55,68.5,105.38
87,131,185,756,2,22,4294967295,25.69,1004.36,45.55,68.39,105.46
87,131,184,756,2,22,4294967295,25.69,1004.35,45.55,68.39,105.46
87,131,184,756,2,22,4294967295,25.69,1004.35,45.55,68.61,105.46
87,131,184,756,2,22,4294967295,25.69,1004.35,45.55,68.39,105.46
87,131,184,756,2,21,4294967295,25.69,1004.35,45.55,68.44,105.55
87,131,184,756,2,21,4294967295,25.69,1004.34,45.55,68.61,105.55
87,131,183,756,2,22,4294967295,25.69,1004.34,45.54,68.61,105.46
87,131,184,756,2,23,4294967295,25.69,1004.35,45.54,68.61,105.46
87,130,184,755,2,22,4294967295,25.69,1004.35,45.55,68.67,105.38
87,130,184,756,2,22,4294967295,25.69,1004.36,45.54,68.78,105.38
87,131,184,756,2,22,4294967295,25.69,1004.36,45.54,68.61,105.38
86,130,183,756,2,22,4294967295,25.69,1004.36,45.52,68.78,105.38
86,131,183,756,2,23,4294967295,25.69,1004.36,45.53,68.61,105.38
86,130,183,756,2,22,4294967295,25.69,1004.36,45.53,68.5,105.38
87,131,184,755,2,22,4294967295,25.69,1004.36,45.52,68.55,105.38
86,130,183,755,2,22,4294967295,25.69,1004.36,45.52,68.78,105.38
87,131,183,756,2,22,4294967295,25.69,1004.36,45.53,68.78,105.38
86,130,183,756,2,24,4294967295,25.69,1004.36,45.54,68.78,105.38
86,131,182,756,2,23,4294967295,25.69,1004.36,45.52,68.5,105.38
86,130,182,756,2,23,4294967295,25.69,1004.36,45.52,68.67,105.38
86,130,183,756,2,22,4294967295,25.69,1004.36,45.52,68.78,105.38
86,130,183,756,2,22,4294967295,25.69,1004.36,45.52,68.61,105.38
86,131,182,756,2,23,4294967295,25.69,1004.36,45.51,68.78,105.38
86,130,182,755,2,22,4294967295,25.69,1004.36,45.5,68.72,105.38
86,130,183,756,2,23,4294967295,25.69,1004.36,45.51,68.78,105.3
86,130,182,756,2,22,4294967295,25.69,1004.37,45.49,68.61,105.3
86,130,182,756,2,23,4294967295,25.69,1004.37,45.5,68.67,105.3
87,130,182,755,2,23,4294967295,25.69,1004.37,45.51,68.78,105.3
87,130,182,756,2,22,4294967295,25.69,1004.37,45.49,68.78,105.3
86,130,182,755,2,22,4294967295,25.69,1004.37,45.49,68.83,105.3
86,130,182,755,2,23,4294967295,25.69,1004.37,45.49,68.83,105.3
86,130,182,755,2,22,4294967295,25.69,1004.37,45.51,68.67,105.3
87,130,182,756,2,22,4294967295,25.69,1004.37,45.51,68.83,105.3
87,130,181,756,2,22,4294967295,25.69,1004.37,45.51,68.72,105.3
87,129,182,755,2,21,4294967295,25.69,1004.37,45.5,68.67,105.3
86,130,182,755,2,22,4294967295,25.69,1004.37,45.49,68.83,105.3
86,130,181,756,2,22,4294967295,25.7,1004.37,45.49,68.89,105.21
87,130,182,755,2,22,4294967295,25.7,1004.38,45.49,68.89,105.21
86,130,182,756,2,25,4294967295,25.7,1004.38,45.5,68.61,105.3
