NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,73,89,788,1,23,0,25.54,1013.96,38.53,223.43,25.25
37,72,88,788,1,23,0,25.54,1013.96,38.54,222.83,25.25
36,73,89,788,1,23,0,25.54,1013.96,38.55,223.73,25.16
36,73,88,788,1,22,0,25.54,1013.97,38.56,224.19,25.25
36,73,88,787,1,22,0,25.54,1013.96,38.57,223.73,25.25
36,73,89,788,1,23,0,25.54,1013.96,38.61,224.19,25.16
36,73,88,788,2,23,0,25.54,1013.97,38.63,224.34,25.25
36,73,88,788,1,23,0,25.54,1013.96,38.64,225.87,25.25
36,73,88,788,1,21,0,25.54,1013.96,38.66,226.03,25.25
36,73,88,787,1,22,0,25.54,1013.96,38.67,226.49,25.25
36,72,88,787,2,23,0,25.54,1013.96,38.7,227.11,25.25
36,72,88,787,2,23,0,25.54,1013.96,38.7,228.05,25.33
36,73,87,787,2,23,0,25.54,1013.95,38.7,228.21,25.33
36,73,88,787,1,22,0,25.55,1013.95,38.7,228.21,25.25
36,73,88,787,2,23,0,25.55,1013.96,38.7,227.42,25.25
36,72,88,787,2,23,0,25.55,1013.96,38.67,228.37,25.33
35,72,88,787,2,23,0,25.55,1013.95,38.67,229.96,25.25
35,72,88,787,1,22,0,25.55,1013.96,38.65,230.12,25.25
35,72,88,786,1,23,0,25.55,1013.96,38.65,229.32,25.33
35,72,87,787,2,23,0,25.55,1013.95,38.66,229.8,25.33
35,73,87,787,1,22,0,25.55,1013.95,38.66,229.96,25.33
35,72,87,787,1,23,0,25.55,1013.95,38.66,231.57,25.33
35,72,87,787,1,23,0,25.55,1013.95,38.65,230.76,25.33
34,72,87,788,2,23,0,25.55,1013.95,38.65,230.28,25.33
35,72,87,788,2,23,0,25.47,1013.95,38.74,225.87,25.16
35,72,87,788,2,22,0,25.46,1013.97,38.8,225.72,25.16
35,72,87,790,1,22,0,25.47,1013.97,38.82,225.41,25.25
35,72,87,790,1,21,0,25.48,1013.96,38.82,226.8,25.25
34,72,87,791,2,22,0,25.49,1013.96,38.81,227.9,25.25
34,72,87,791,2,23,0,25.5,1013.96,38.8,228.68,25.25
35,72,87,791,2,22,0,25.51,1013.96,38.81,228.84,25.33
35,72,87,791,2,23,0,25.51,1013.95,38.81,230.44,25.25
34,72,86,791,1,22,0,25.52,1013.96,38.79,229.8,25.25
35,72,86,792,2,23,0,25.52,1013.96,38.79,231.08,25.25
35,73,87,792,1,22,0,25.53,1013.96,38.77,231.73,25.25
35,72,87,793,1,23,0,25.53,1013.96,38.73,231.73,25.33
35,72,86,793,1,23,0,25.54,1013.95,38.72,231.73,25.25
34,72,87,794,2,22,0,25.54,1013.96,38.7,232.87,25.25
35,72,86,793,1,22,0,25.54,1013.96,38.71,232.87,25.25
35,72,86,794,1,22,0,25.54,1013.96,38.71,231.57,25.25
35,73,86,794,1,22,0,25.54,1013.96,38.72,233.2,25.25
34,73,86,795,1,22,0,25.55,1013.96,38.73,233.86,25.25
34,73,86,794,1,22,0,25.55,1013.96,38.73,233.53,25.25
35,72,86,795,1,22,0,25.55,1013.96,38.74,234.03,25.25
35,73,86,794,2,22,0,25.55,1013.96,38.72,234.19,25.33
34,73,86,795,2,22,0,25.55,1013.95,38.7,234.69,25.33
34,72,86,794,2,22,0,25.55,1013.95,38.7,234.52,25.25
34,72,85,795,2,23,0,25.55,1013.96,38.69,235.36,25.25
34,73,86,795,2,22,0,25.55,1013.96,38.68,234.03,25.25
34,72,86,795,1,22,0,25.55,1013.96,38.69,235.36,25.25
34,73,86,796,1,22,0,25.56,1013.96,38.7,236.71,25.33
34,72,86,796,1,23,0,25.56,1013.95,38.71,235.69,25.33
34,72,86,796,2,22,0,25.56,1013.95,38.72,235.86,25.33
35,73,86,796,2,23,0,25.56,1013.95,38.72,236.88,25.33
34,73,85,796,1,23,0,25.56,1013.95,38.73,236.71,25.33
34,72,86,796,1,23,0,25.56,1013.95,38.73,236.2,25.41
34,72,85,796,1,22,0,25.56,1013.94,38.75,236.37,25.33
34,73,85,797,2,23,0,25.56,1013.95,38.76,237.22,25.33
34,73,86,797,1,22,0,25.56,1013.95,38.77,236.71,25.33
34,72,85,797,1,22,0,25.56,1013.95,38.8,235.86,25.25
