NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
34,67,78,765,2,24,0,25.99,1011.52,38.0,249.2,45.47
34,68,78,765,2,24,0,25.99,1011.53,38.07,248.63,45.56
34,68,78,765,1,24,0,25.99,1011.52,38.16,249.2,45.47
34,67,78,765,1,24,0,25.99,1011.53,38.24,248.63,45.47
33,68,77,765,2,24,0,25.99,1011.53,38.26,248.26,45.39
34,68,78,764,2,24,0,25.99,1011.54,38.33,248.82,45.39
34,68,78,765,1,24,0,25.99,1011.54,38.38,248.26,45.39
34,68,78,766,2,24,0,25.99,1011.54,38.45,247.52,45.47
33,68,78,766,1,24,0,25.99,1011.53,38.51,247.7,45.39
34,68,78,765,2,25,0,25.99,1011.54,38.57,247.89,45.39
34,68,78,765,2,23,0,25.99,1011.54,38.62,246.78,45.39
34,68,78,765,2,25,0,25.99,1011.54,38.68,245.13,45.39
33,68,78,766,1,25,0,25.99,1011.54,38.7,246.78,45.39
33,68,78,766,1,24,0,25.99,1011.54,38.71,246.04,45.31
33,68,78,766,2,24,0,25.99,1011.55,38.71,246.41,45.31
33,68,78,766,2,25,0,25.99,1011.55,38.72,246.41,45.39
33,68,78,766,2,24,0,25.99,1011.54,38.73,246.96,45.31
34,68,78,766,1,25,0,25.99,1011.55,38.72,245.86,45.31
33,68,78,767,2,27,0,25.99,1011.55,38.71,246.04,45.31
33,68,78,766,2,24,0,25.99,1011.55,38.71,245.68,45.31
33,68,78,766,2,24,0,25.99,1011.55,38.7,245.31,45.31
34,68,78,766,2,24,0,25.99,1011.55,38.7,245.5,45.39
33,68,78,767,2,24,0,25.99,1011.54,38.7,244.77,45.47
34,68,77,766,1,26,0,25.99,1011.53,38.68,245.31,45.39
34,68,78,767,1,25,0,25.99,1011.54,38.66,243.87,45.47
33,68,78,767,1,24,0,25.99,1011.53,38.67,244.95,45.39
34,68,78,766,1,25,0,25.99,1011.54,38.67,244.59,45.47
34,68,77,767,2,24,0,25.99,1011.53,38.66,245.13,45.47
33,67,78,767,1,25,0,25.99,1011.53,38.65,244.95,45.39
34,68,77,767,2,24,0,25.99,1011.54,38.63,245.31,45.39
34,68,78,767,2,24,0,25.99,1011.54,38.65,245.13,45.47
34,68,77,767,2,24,0,25.99,1011.53,38.66,244.95,45.47
34,68,78,768,2,26,0,25.99,1011.53,38.7,244.95,45.39
33,68,77,767,2,24,0,25.99,1011.54,38.72,244.23,45.31
34,68,78,767,2,24,0,25.99,1011.55,38.74,244.41,45.22
33,68,77,768,1,25,0,25.99,1011.56,38.76,244.95,45.22
34,68,78,768,2,24,0,25.99,1011.56,38.76,244.41,45.31
34,68,78,768,1,23,0,25.99,1011.55,38.76,242.97,45.22
33,68,78,767,1,24,0,25.99,1011.56,38.76,244.05,45.31
34,68,77,768,1,24,0,25.99,1011.55,38.76,244.23,45.22
34,68,78,768,1,24,0,25.99,1011.56,38.75,243.87,45.31
33,68,78,768,2,25,0,25.99,1011.55,38.77,243.33,45.31
34,68,77,768,1,24,0,25.99,1011.55,38.78,242.97,45.31
34,68,78,767,1,25,0,25.99,1011.55,38.78,243.69,45.39
34,68,78,768,2,24,0,25.99,1011.54,38.78,242.97,45.39
34,68,77,768,2,24,0,25.99,1011.54,38.77,243.87,45.31
34,68,78,768,2,24,0,25.99,1011.55,38.74,244.05,45.39
33,68,77,768,2,26,0,25.99,1011.54,38.76,242.79,45.39
34,69,77,769,2,25,0,25.99,1011.54,38.76,244.05,45.47
34,68,77,768,3,25,0,25.99,1011.53,38.78,243.15,45.47
34,68,77,768,2,25,0,26.0,1011.53,38.8,242.79,45.47
33,68,77,769,2,25,0,26.0,1011.53,38.78,242.79,45.39
34,68,78,768,2,25,0,26.0,1011.54,38.77,241.55,45.31
34,68,78,768,2,25,0,26.0,1011.55,38.78,243.15,45.39
33,68,77,768,2,25,0,26.0,1011.54,38.77,244.05,45.39
34,68,77,769,2,25,0,26.0,1011.54,38.76,243.33,45.39
34,68,77,769,1,25,0,26.0,1011.54,38.74,243.69,45.39
34,68,77,768,2,25,0,26.0,1011.54,38.74,242.43,45.31
34,69,77,769,2,25,0,26.0,1011.55,38.73,243.15,45.22
