NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
205,306,452,817,1,18,4294967295,25.59,1018.0,20.15,153.96,-8.21
206,306,451,816,1,19,4294967295,25.58,1017.99,20.15,155.67,-8.29
206,305,448,815,1,19,4294967295,25.58,1018.0,20.15,156.4,-8.29
204,304,446,814,1,19,4294967295,25.58,1018.0,20.15,156.98,-8.29
203,303,445,815,1,19,4294967295,25.58,1018.0,20.19,157.42,-8.37
203,302,445,816,1,19,4294967295,25.58,1018.01,20.23,159.06,-8.29
201,302,444,815,1,19,4294967295,25.58,1018.0,20.3,159.97,-8.37
201,301,443,815,1,19,4294967295,25.58,1018.01,20.37,160.58,-8.37
200,302,444,815,1,19,4294967295,25.58,1018.01,20.45,162.44,-8.37
199,301,444,815,1,19,4294967295,25.58,1018.01,20.52,161.81,-8.37
198,300,443,814,1,18,4294967295,25.58,1018.01,20.6,162.91,-8.37
197,299,441,814,2,18,4294967295,25.58,1018.01,20.66,163.39,-8.37
196,299,440,814,1,20,4294967295,25.58,1018.01,20.71,165.15,-8.46
195,298,438,813,2,19,4294967295,25.58,1018.02,20.77,165.31,-8.46
194,298,437,814,1,18,4294967295,25.58,1018.02,20.82,166.29,-8.37
193,297,435,813,1,19,4294967295,25.58,1018.01,20.86,166.96,-8.37
192,297,433,813,2,19,4294967295,25.58,1018.01,20.9,168.12,-8.37
190,295,432,813,1,20,4294967295,25.58,1018.01,20.95,167.62,-8.37
189,295,430,813,1,19,4294967295,25.58,1018.01,20.97,169.14,-8.46
188,295,428,812,1,19,4294967295,25.59,1018.02,20.99,171.03,-8.46
187,294,426,812,1,18,4294967295,25.59,1018.02,21.01,170.34,-8.54
186,294,424,812,1,19,4294967295,25.59,1018.03,21.0,172.43,-8.62
185,293,423,811,2,19,4294967295,25.59,1018.04,20.99,172.79,-8.54
183,292,421,810,1,20,4294967295,25.59,1018.03,20.96,174.22,-8.54
183,292,419,811,1,19,4294967295,25.59,1018.03,20.96,174.22,-8.62
181,291,417,810,1,19,4294967295,25.59,1018.04,20.95,174.77,-8.54
180,291,416,811,1,19,4294967295,25.6,1018.03,20.95,175.5,-8.62
179,290,415,811,1,20,4294967295,25.6,1018.04,20.94,176.23,-8.54
179,289,413,810,1,19,4294967295,25.6,1018.03,20.95,176.42,-8.54
177,289,411,810,1,20,4294967295,25.6,1018.03,20.95,176.79,-8.54
177,288,409,811,1,19,4294967295,25.6,1018.03,20.95,177.53,-8.54
176,288,408,810,1,19,4294967295,25.6,1018.03,20.94,178.29,-8.54
