NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
48,85,122,786,6,26,0,25.55,1018.36,25.59,301.19,-11.28
48,85,121,787,7,26,0,25.55,1018.36,25.62,302.57,-11.28
48,86,121,786,6,25,0,25.55,1018.36,25.66,305.93,-11.28
48,86,121,787,6,28,0,25.55,1018.36,25.67,305.08,-11.28
48,86,121,786,8,25,0,25.55,1018.36,25.7,307.35,-11.28
48,85,120,786,6,25,0,25.55,1018.36,25.72,305.37,-11.36
48,85,120,786,7,25,0,25.56,1018.37,25.75,306.5,-11.36
47,85,119,785,6,26,0,25.56,1018.37,25.75,307.93,-11.28
48,85,120,786,7,26,0,25.56,1018.36,25.75,309.37,-11.36
47,85,120,786,6,26,0,25.56,1018.37,25.78,309.37,-11.44
47,85,119,786,6,25,0,25.56,1018.38,25.78,306.5,-11.44
48,85,119,786,6,26,0,25.56,1018.38,25.78,311.11,-11.52
47,85,119,785,7,26,0,25.56,1018.39,25.77,309.95,-11.44
48,85,119,785,6,26,0,25.56,1018.38,25.78,310.82,-11.44
47,85,119,785,6,26,0,25.57,1018.38,25.79,309.37,-11.52
47,85,118,785,6,26,0,25.57,1018.39,25.79,312.88,-11.52
47,85,118,786,8,26,0,25.57,1018.39,25.8,311.11,-11.52
47,85,118,786,7,26,0,25.57,1018.39,25.8,312.58,-11.52
47,85,118,786,7,26,0,25.57,1018.39,25.79,314.07,-11.52
46,85,118,787,7,25,0,25.57,1018.39,25.8,314.97,-11.52
47,85,118,787,6,26,0,25.57,1018.39,25.8,315.57,-11.44
47,85,119,789,7,26,0,25.57,1018.38,25.8,317.39,-11.44
47,86,119,789,7,25,0,25.57,1018.38,25.81,317.08,-11.52
48,87,120,790,6,26,0,25.57,1018.39,25.81,318.3,-11.44
51,88,121,791,7,26,0,25.57,1018.38,25.81,316.47,-11.52
55,90,124,792,7,26,0,25.57,1018.39,25.8,318.61,-11.52
60,93,129,793,7,26,0,25.57,1018.39,25.81,318.92,-11.52
64,96,133,794,7,26,0,25.57,1018.39,25.8,318.61,-11.61
65,98,135,794,7,26,0,25.57,1018.4,25.8,319.23,-11.69
65,100,136,795,7,26,0,25.57,1018.41,25.81,318.61,-11.61
