NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
108,152,279,782,1,18,4294967295,25.77,1020.64,37.26,148.52,-30.15
108,152,278,783,1,18,4294967295,25.77,1020.64,37.35,148.13,-30.15
108,152,277,783,1,18,4294967295,25.77,1020.64,37.44,148.39,-30.23
106,152,276,783,1,18,4294967295,25.78,1020.65,37.54,147.61,-30.23
106,152,275,784,1,18,4294967295,25.78,1020.65,37.62,147.22,-30.23
106,151,275,784,1,18,4294967295,25.78,1020.65,37.68,147.09,-30.23
106,151,274,783,1,18,4294967295,25.78,1020.65,37.75,146.96,-30.23
104,152,273,784,1,18,4294967295,25.78,1020.65,37.79,147.48,-30.32
104,152,272,783,1,18,4294967295,25.78,1020.66,37.81,147.61,-30.23
104,151,271,784,1,19,4294967295,25.78,1020.65,37.85,148.65,-30.32
104,151,271,784,1,18,4294967295,25.78,1020.66,37.89,147.09,-30.32
104,150,270,784,1,18,4294967295,25.78,1020.66,37.91,146.32,-30.32
104,151,268,784,1,18,4294967295,25.79,1020.66,37.95,146.83,-30.32
103,151,268,784,1,18,4294967295,25.79,1020.66,37.97,146.58,-30.32
102,150,268,784,1,18,4294967295,25.79,1020.66,38.01,146.83,-30.32
102,150,267,785,1,19,4294967295,25.79,1020.66,38.01,146.58,-30.32
102,150,266,784,1,18,4294967295,25.79,1020.66,38.0,146.45,-30.32
101,150,265,784,1,18,4294967295,25.79,1020.66,38.01,146.58,-30.4
102,150,265,785,1,18,4294967295,25.8,1020.67,38.02,147.09,-30.4
101,150,263,785,1,18,4294967295,25.8,1020.67,38.03,147.09,-30.4
101,149,263,784,1,18,4294967295,25.8,1020.67,38.04,147.22,-30.32
100,149,262,785,1,18,4294967295,25.8,1020.66,38.05,146.96,-30.4
100,150,261,785,1,18,4294967295,25.81,1020.67,38.06,146.71,-30.32
99,149,262,784,1,18,4294967295,25.81,1020.66,38.05,146.58,-30.32
99,150,261,786,1,18,4294967295,25.81,1020.66,38.03,146.96,-30.4
99,149,260,785,1,18,4294967295,25.82,1020.67,38.01,146.96,-30.4
99,149,259,785,1,18,4294967295,25.82,1020.67,38.0,147.09,-30.4
99,149,259,785,1,18,4294967295,25.82,1020.67,37.99,146.83,-30.4
99,149,259,785,1,18,4294967295,25.82,1020.67,37.97,146.83,-30.4
