NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
40,67,96,768,2,17,0,33.59,688.6,100.0,0.0,3170.54
39,67,94,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
40,67,95,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,94,767,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,95,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,95,766,3,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,94,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,94,767,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,66,94,765,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,94,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,94,765,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,94,766,2,15,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,93,765,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,93,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
39,67,94,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,766,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,766,2,15,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,767,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,767,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,93,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,93,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,768,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,93,768,2,15,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,93,769,2,17,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,769,2,15,0,33.59,688.6,100.0,0.0,3170.54
37,67,93,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,93,770,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,770,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,769,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,770,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,771,2,15,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,771,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,770,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,771,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,771,3,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,771,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,91,772,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,772,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,773,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,68,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,68,92,775,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,68,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,68,92,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
38,67,92,774,2,15,0,33.59,688.6,100.0,0.0,3170.54
37,67,91,774,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,68,92,775,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,68,91,775,2,16,0,33.59,688.6,100.0,0.0,3170.54
37,67,91,775,2,15,0,33.59,688.6,100.0,0.0,3170.54
