NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
24,47,40,724,8,35,0,24.95,1023.84,27.12,554.77,-56.58
24,46,40,725,7,34,0,24.95,1023.84,27.12,552.94,-56.58
24,47,40,724,7,34,0,24.95,1023.84,27.1,556.61,-56.67
24,47,40,724,6,30,0,24.95,1023.85,27.1,555.23,-56.67
24,47,40,724,5,30,0,24.95,1023.85,27.1,552.04,-56.67
24,47,40,724,6,30,0,24.94,1023.85,27.09,543.11,-56.75
24,47,40,724,6,30,0,24.94,1023.86,27.11,545.76,-56.67
24,47,40,724,6,30,0,24.93,1023.85,27.12,546.65,-56.67
24,47,40,724,6,30,0,24.92,1023.85,27.14,546.65,-56.67
24,47,40,724,6,30,0,24.92,1023.85,27.15,549.33,-56.58
23,47,40,724,6,30,0,24.91,1023.84,27.15,550.23,-56.58
24,47,40,724,5,30,0,24.91,1023.84,27.16,550.23,-56.58
24,47,40,724,6,31,0,24.91,1023.84,27.16,547.98,-56.58
23,47,40,724,6,30,0,24.9,1023.84,27.17,549.33,-56.5
24,46,39,723,6,31,0,24.9,1023.83,27.17,547.98,-56.67
24,47,40,724,6,31,0,24.9,1023.85,27.18,551.13,-56.67
24,47,40,724,8,30,0,24.9,1023.85,27.18,551.13,-56.67
23,46,40,724,7,31,0,24.9,1023.85,27.18,551.13,-56.58
23,47,40,723,7,31,0,24.9,1023.84,27.19,552.94,-56.67
23,47,40,723,7,33,0,24.89,1023.85,27.19,552.94,-56.67
24,47,39,723,6,30,0,24.89,1023.85,27.19,557.53,-56.67
24,47,40,723,8,30,0,24.89,1023.85,27.2,559.39,-56.67
23,46,40,724,6,30,0,24.89,1023.85,27.2,559.86,-56.67
23,47,40,723,7,31,0,24.89,1023.85,27.21,552.49,-56.58
24,47,40,723,7,30,0,24.89,1023.84,27.21,555.23,-56.67
24,47,40,723,7,30,0,24.89,1023.85,27.2,560.79,-56.67
23,47,40,723,7,29,0,24.89,1023.85,27.21,555.69,-56.58
23,47,40,723,7,31,0,24.9,1023.84,27.21,563.14,-56.67
24,47,40,723,6,30,0,24.9,1023.85,27.21,552.94,-56.67
24,47,40,723,7,30,0,24.9,1023.85,27.21,561.73,-56.67
23,47,40,723,7,30,0,24.9,1023.85,27.21,560.79,-56.58
24,47,40,722,6,30,0,24.9,1023.84,27.23,563.61,-56.58
23,47,40,723,6,30,0,24.9,1023.84,27.22,563.61,-56.67
23,47,40,723,6,30,0,24.9,1023.85,27.22,559.86,-56.58
23,46,40,723,6,30,0,24.9,1023.84,27.21,562.67,-56.58
24,47,40,723,6,30,0,24.9,1023.84,27.23,559.86,-56.5
24,47,40,723,8,31,0,24.9,1023.83,27.21,560.32,-56.5
23,47,40,723,7,31,0,24.9,1023.83,27.22,562.67,-56.5
24,47,40,723,7,31,0,24.9,1023.83,27.2,562.2,-56.58
23,47,40,723,7,31,0,24.9,1023.84,27.22,564.09,-56.5
23,46,40,723,6,30,0,24.9,1023.83,27.23,563.61,-56.58
23,47,40,723,6,30,0,24.9,1023.84,27.21,564.09,-56.5
23,47,39,723,6,29,0,24.9,1023.83,27.21,563.61,-56.5
24,47,40,723,6,29,0,24.9,1023.83,27.22,564.56,-56.5
23,47,40,723,7,30,0,24.9,1023.83,27.23,560.79,-56.5
23,47,40,723,7,30,0,24.9,1023.83,27.23,563.14,-56.5
24,47,39,723,7,30,0,24.9,1023.83,27.22,562.67,-56.58
24,47,40,722,6,29,0,24.9,1023.84,27.21,563.14,-56.58
23,47,40,723,6,30,0,24.9,1023.84,27.22,560.79,-56.58
23,47,39,723,6,30,0,24.9,1023.84,27.22,564.56,-56.58
24,47,40,723,7,30,0,24.9,1023.84,27.22,565.04,-56.5
24,48,41,723,6,29,0,24.9,1023.83,27.23,562.2,-56.5
24,47,40,723,6,30,0,24.9,1023.83,27.23,563.14,-56.5
23,47,40,723,6,30,0,24.9,1023.83,27.21,570.8,-56.42
23,47,40,723,5,30,0,24.9,1023.82,27.23,558.46,-56.42
24,47,40,724,6,30,0,24.9,1023.82,27.24,569.83,-56.42
24,47,40,723,6,30,0,24.9,1023.82,27.24,562.67,-56.42
23,47,40,724,7,30,0,24.9,1023.82,27.24,564.09,-56.42
23,47,40,724,7,31,0,24.9,1023.82,27.24,555.69,-56.42
23,47,40,724,7,33,0,24.9,1023.82,27.25,559.39,-56.42
23,47,40,725,7,30,0,24.9,1023.82,27.25,560.79,-56.5
23,47,40,725,6,30,0,24.89,1023.83,27.25,564.09,-56.42
24,47,40,725,6,30,0,24.89,1023.82,27.24,560.32,-56.5
24,47,40,725,6,30,0,24.9,1023.83,27.25,566.94,-56.42
23,48,41,726,6,30,0,24.89,1023.82,27.24,571.28,-56.5
23,47,40,726,7,30,0,24.9,1023.83,27.26,567.9,-56.5
24,47,40,726,6,30,0,24.9,1023.83,27.25,556.61,-56.5
23,47,40,725,7,31,0,24.9,1023.83,27.25,564.09,-56.5
23,47,41,726,7,30,0,24.89,1023.83,27.25,569.83,-56.5
23,48,40,726,6,29,0,24.89,1023.83,27.26,559.86,-56.5
23,48,40,726,6,30,0,24.89,1023.83,27.25,566.94,-56.42
23,47,40,727,6,30,0,24.89,1023.82,27.25,567.9,-56.5
23,47,40,727,6,30,0,24.89,1023.83,27.26,569.83,-56.5
23,47,40,727,6,30,0,24.89,1023.83,27.25,568.38,-56.42
24,47,41,727,6,31,0,24.89,1023.82,27.26,561.73,-56.5
23,47,40,727,7,30,0,24.89,1023.83,27.26,566.47,-56.5
23,48,40,728,6,30,0,24.89,1023.83,27.26,559.86,-56.58
24,47,41,727,6,30,0,24.89,1023.84,27.25,558.46,-56.58
23,48,40,728,5,30,0,24.89,1023.84,27.27,562.67,-56.58
23,48,40,728,7,31,0,24.89,1023.84,27.26,568.86,-56.58
23,48,40,728,6,31,0,24.89,1023.84,27.27,558.46,-56.58
24,48,40,728,7,30,0,24.89,1023.84,27.27,563.61,-56.5
23,47,41,728,7,31,0,24.89,1023.83,27.29,567.42,-56.58
23,47,41,728,4,25,0,24.89,1023.84,27.27,567.42,-56.58
23,47,40,728,5,28,0,24.9,1023.84,27.27,567.9,-56.58
23,47,40,727,5,29,0,24.9,1023.84,27.26,565.04,-56.5
23,48,41,727,5,28,0,24.9,1023.83,27.26,568.86,-56.58
23,47,40,727,4,28,0,24.9,1023.84,27.27,568.38,-56.42
23,47,40,726,5,28,0,24.9,1023.82,27.27,569.83,-56.42
23,47,40,726,5,29,0,24.9,1023.82,27.26,565.99,-56.42
24,48,41,726,5,29,0,24.91,1023.82,27.25,567.9,-56.42
24,47,40,727,5,30,0,24.91,1023.82,27.25,565.04,-56.34
23,47,41,726,4,29,0,24.91,1023.81,27.25,565.99,-56.42
24,48,41,726,4,29,0,24.91,1023.82,27.25,565.99,-56.42
24,48,41,726,5,30,0,24.91,1023.82,27.24,566.47,-56.34
24,47,41,726,5,30,0,24.91,1023.81,27.23,567.42,-56.34
24,47,41,726,4,30,0,24.91,1023.81,27.24,564.56,-56.34
23,47,41,727,5,31,0,24.91,1023.81,27.25,564.09,-56.34
24,48,41,726,4,30,0,24.91,1023.81,27.24,562.2,-56.25
24,47,41,727,4,30,0,24.91,1023.8,27.24,565.99,-56.42
24,47,41,726,6,31,0,24.91,1023.82,27.24,563.14,-56.42
24,48,41,726,5,30,0,24.92,1023.82,27.23,565.04,-56.5
24,47,40,726,5,31,0,24.92,1023.83,27.23,564.56,-56.42
24,48,41,726,5,31,0,24.92,1023.82,27.24,564.56,-56.42
24,47,41,726,4,31,0,24.92,1023.82,27.25,565.99,-56.34
24,47,41,727,6,31,0,24.92,1023.81,27.23,561.26,-56.42
24,48,41,727,5,31,0,24.92,1023.82,27.23,563.14,-56.42
24,48,41,727,4,31,0,24.92,1023.82,27.23,562.2,-56.42
23,47,40,727,5,31,0,24.92,1023.82,27.24,565.99,-56.34
24,48,41,726,5,31,0,24.92,1023.81,27.23,565.04,-56.42
24,47,41,726,4,31,0,24.92,1023.82,27.23,565.99,-56.42
24,47,41,726,5,31,0,24.92,1023.82,27.23,559.86,-56.5
24,47,40,726,5,31,0,24.92,1023.83,27.24,565.99,-56.5
24,48,41,726,5,31,0,24.92,1023.83,27.23,563.61,-56.42
24,48,41,726,5,31,0,24.92,1023.82,27.23,564.09,-56.5
24,47,41,726,5,31,0,24.92,1023.83,27.24,569.35,-56.5
24,47,41,726,5,31,0,24.92,1023.83,27.24,562.67,-56.58
24,48,41,726,5,30,0,24.92,1023.84,27.23,564.09,-56.58
24,48,41,726,5,31,0,24.92,1023.84,27.24,564.56,-56.58
24,48,41,726,5,30,0,24.92,1023.84,27.24,563.61,-56.5
24,47,41,726,5,31,0,24.92,1023.83,27.24,563.14,-56.5
24,48,41,726,4,30,0,24.92,1023.83,27.24,563.61,-56.42
24,47,41,726,5,31,0,24.92,1023.82,27.24,564.09,-56.34
24,47,41,727,5,31,0,24.92,1023.81,27.24,564.09,-56.42
24,47,42,727,5,31,0,24.92,1023.82,27.24,559.39,-56.42
24,47,42,726,5,31,0,24.92,1023.82,27.24,565.04,-56.5
24,47,41,726,4,32,0,24.92,1023.83,27.24,565.04,-56.5
24,47,41,727,5,32,0,24.92,1023.83,27.23,561.73,-56.42
25,48,42,727,5,31,0,24.92,1023.82,27.23,563.14,-56.58
24,48,42,727,6,34,0,24.92,1023.84,27.26,565.04,-56.42
24,48,41,727,5,32,0,24.92,1023.82,27.24,561.26,-56.58
24,48,42,727,5,31,0,24.92,1023.84,27.24,561.26,-56.58
25,48,42,727,5,31,0,24.92,1023.84,27.25,561.73,-56.58
25,48,42,727,5,29,0,24.92,1023.84,27.25,562.67,-56.58
25,47,42,727,5,32,0,24.92,1023.84,27.24,562.2,-56.58
25,48,42,727,5,31,0,24.92,1023.84,27.25,563.14,-56.58
25,48,41,726,5,32,0,24.92,1023.84,27.26,562.2,-56.58
25,48,42,727,5,31,0,24.92,1023.84,27.25,559.86,-56.58
24,47,41,727,5,29,0,24.92,1023.84,27.25,560.32,-56.58
24,48,42,726,5,31,0,24.92,1023.84,27.26,562.67,-56.5
25,48,42,726,5,32,0,24.92,1023.83,27.24,562.67,-56.58
24,48,42,726,5,32,0,24.92,1023.84,27.25,560.79,-56.58
25,47,42,726,5,32,0,24.92,1023.84,27.24,561.73,-56.67
25,48,42,726,5,32,0,24.92,1023.85,27.24,561.26,-56.58
24,47,41,726,5,32,0,24.92,1023.84,27.25,559.39,-56.58
24,48,42,726,5,32,0,24.92,1023.84,27.25,564.09,-56.58
24,48,42,726,5,32,0,24.92,1023.84,27.25,560.32,-56.58
25,48,42,725,5,32,0,24.92,1023.84,27.27,560.79,-56.42
25,48,42,726,5,32,0,24.92,1023.82,27.27,561.26,-56.42
25,48,41,726,6,32,0,24.92,1023.82,27.26,559.39,-56.34
25,47,42,726,4,33,0,24.92,1023.81,27.25,559.39,-56.34
25,48,42,727,5,33,0,24.92,1023.81,27.25,559.86,-56.25
25,47,42,727,6,33,0,24.92,1023.8,27.26,559.86,-56.25
25,47,42,726,5,33,0,24.92,1023.8,27.25,559.39,-56.17
24,48,42,727,7,32,0,24.92,1023.79,27.26,562.2,-56.25
25,47,42,727,5,33,0,24.92,1023.8,27.28,560.32,-56.25
24,47,42,727,5,33,0,24.92,1023.8,27.27,560.32,-56.25
24,48,42,726,7,34,0,24.92,1023.8,27.27,560.32,-56.25
24,48,42,725,6,34,0,24.92,1023.8,27.26,560.79,-56.25
25,48,42,726,5,33,0,24.92,1023.8,27.27,560.79,-56.34
25,48,42,726,6,33,0,24.92,1023.81,27.25,560.32,-56.34
25,47,42,726,5,32,0,24.92,1023.81,27.27,562.2,-56.25
25,47,42,725,6,34,0,24.92,1023.8,27.27,559.39,-56.34
24,48,42,725,6,33,0,24.92,1023.81,27.27,558.46,-56.25
25,47,42,725,6,31,0,24.92,1023.8,27.27,562.2,-56.25
25,48,42,726,6,34,0,24.92,1023.8,27.26,560.32,-56.25
24,48,42,726,5,32,0,24.92,1023.8,27.26,559.39,-56.25
25,48,42,725,5,32,0,24.92,1023.8,27.26,560.32,-56.25
25,48,43,726,5,32,0,24.92,1023.8,27.25,558.46,-56.25
25,47,43,726,7,33,0,24.92,1023.8,27.25,558.46,-56.17
25,48,42,727,6,35,0,24.92,1023.79,27.25,558.0,-56.25
25,47,42,727,6,35,0,24.92,1023.8,27.25,562.2,-56.34
24,48,42,727,7,36,0,24.92,1023.81,27.25,560.79,-56.5
24,48,43,727,7,35,0,24.92,1023.83,27.25,558.46,-56.5
25,48,43,728,6,35,0,24.92,1023.83,27.25,560.32,-56.42
25,48,42,728,6,34,0,24.92,1023.82,27.24,557.07,-56.42
25,48,43,729,6,32,0,24.92,1023.82,27.25,559.39,-56.5
25,48,43,730,5,31,0,24.92,1023.83,27.26,558.46,-56.42
25,48,42,731,4,30,0,24.92,1023.82,27.25,559.39,-56.42
25,47,42,732,4,30,0,24.92,1023.82,27.25,561.26,-56.42
25,48,43,731,4,30,0,24.93,1023.82,27.25,564.56,-56.42
25,47,43,732,5,30,0,24.93,1023.82,27.25,559.39,-56.34
25,48,43,732,4,30,0,24.93,1023.81,27.25,559.86,-56.42
25,48,43,732,5,33,0,24.93,1023.82,27.24,559.39,-56.34
25,48,42,731,4,31,0,24.93,1023.81,27.25,559.39,-56.34
25,48,43,731,5,31,0,24.93,1023.81,27.27,559.86,-56.34
25,48,43,731,5,31,0,24.93,1023.81,27.24,560.79,-56.42
25,48,43,731,4,31,0,24.93,1023.82,27.26,557.53,-56.34
25,48,43,730,5,31,0,24.93,1023.81,27.25,559.39,-56.25
25,48,43,730,5,33,0,24.93,1023.8,27.27,559.39,-56.34
25,48,43,730,5,32,0,24.93,1023.81,27.25,555.69,-56.34
25,48,43,731,5,32,0,24.93,1023.81,27.26,562.2,-56.34
25,48,43,731,5,32,0,24.93,1023.81,27.28,558.0,-56.34
26,48,43,731,5,29,0,24.93,1023.81,27.26,556.61,-56.34
25,48,43,730,5,30,0,24.93,1023.81,27.26,558.92,-56.42
26,48,43,730,4,31,0,24.93,1023.82,27.27,560.32,-56.5
26,48,43,730,5,32,0,24.93,1023.83,27.26,563.14,-56.42
25,48,43,730,4,32,0,24.94,1023.82,27.26,553.86,-56.42
25,48,43,730,5,31,0,24.94,1023.82,27.26,558.46,-56.42
25,48,43,731,5,32,0,24.94,1023.82,27.26,556.61,-56.42
25,48,43,730,5,31,0,24.94,1023.82,27.26,560.32,-56.42
25,48,43,730,5,32,0,24.94,1023.82,27.25,561.26,-56.5
25,48,43,730,5,31,0,24.94,1023.83,27.25,558.46,-56.5
26,48,44,730,4,32,0,24.94,1023.83,27.24,557.53,-56.5
26,48,43,730,5,31,0,24.94,1023.83,27.25,557.53,-56.42
26,48,43,730,5,32,0,24.94,1023.82,27.24,555.69,-56.42
26,48,43,730,5,32,0,24.94,1023.82,27.24,555.69,-56.42
26,48,43,730,5,32,0,24.94,1023.82,27.24,558.46,-56.34
26,48,44,730,5,32,0,24.94,1023.81,27.24,553.86,-56.42
26,48,43,730,5,32,0,24.94,1023.82,27.25,555.69,-56.42
26,48,43,730,6,33,0,24.94,1023.82,27.25,557.53,-56.34
25,48,43,729,6,34,0,24.94,1023.81,27.24,551.13,-56.34
26,48,43,729,5,32,0,24.94,1023.81,27.24,561.73,-56.34
25,48,44,729,6,35,0,24.94,1023.81,27.25,557.07,-56.25
25,49,44,729,6,34,0,24.94,1023.8,27.26,552.94,-56.34
