NO2,C2H5OH,VOC,CO
58,116,175,738
59,116,174,738
58,116,174,738
58,116,174,738
58,116,174,738
58,116,174,738
58,116,174,738
58,116,174,739
57,116,173,739
57,116,173,739
58,116,173,739
58,116,173,739
57,116,172,739
57,116,172,739
57,116,172,739
57,115,172,739
57,116,172,739
57,116,171,739
57,116,171,738
57,116,171,739
57,116,171,739
57,116,171,739
57,116,171,739
57,116,170,739
56,116,170,739
56,116,170,739
56,116,170,739
56,115,170,739
56,115,170,738
56,116,169,739
56,116,169,739
56,116,169,739
56,115,169,739
55,116,168,738
56,116,169,739
55,116,168,739
55,115,168,739
56,115,168,739
56,115,168,739
55,115,168,738
55,115,167,738
56,115,167,739
55,115,167,739
55,115,167,739
55,115,166,739
55,115,167,739
55,115,167,738
55,115,166,738
55,115,166,739
55,115,166,739
54,115,166,738
55,115,166,739
55,115,166,738
55,114,166,738
55,115,165,738
55,114,165,738
55,115,165,738
55,115,165,738
55,115,165,738
54,115,165,738
54,114,165,738
54,114,164,738
55,114,164,738
54,115,164,738
54,115,164,738
54,114,164,738
54,114,164,738
54,114,164,738
54,114,163,738
54,114,164,738
54,114,163,738
54,114,163,738
54,114,163,738
53,114,163,739
54,114,163,738
54,114,163,739
54,114,162,738
54,114,163,738
53,114,163,738
54,114,162,738
53,114,163,738
54,114,161,737
54,114,162,739
54,114,162,738
54,114,161,738
54,114,161,738
53,114,162,738
54,113,162,738
54,113,161,738
54,114,161,738
54,113,161,738
54,113,160,738
53,114,161,738
53,114,161,738
53,114,161,738
53,114,160,738
53,114,161,737
53,114,160,738
54,113,160,739
53,113,160,738
53,113,160,738
53,113,160,738
53,113,160,738
53,113,159,738
53,113,160,738
53,113,160,738
53,113,159,738
53,113,160,738
53,113,160,738
54,113,159,738
53,113,159,738
53,113,159,738
53,113,160,738
53,113,159,738
53,113,159,738
53,113,159,738
53,113,159,738
53,113,159,737
53,113,159,737
53,113,158,738
53,113,159,738
53,113,158,738
53,113,158,738
53,113,158,737
53,113,158,738
53,112,159,738
53,113,158,737
53,113,158,738
53,112,158,738
53,113,158,738
53,113,157,738
53,112,157,738
53,113,158,737
53,113,157,737
53,112,158,737
52,113,157,737
53,112,157,737
53,112,157,738
53,113,157,737
53,112,157,738
53,112,157,738
53,112,157,737
53,112,157,738
53,112,157,738
53,112,156,737
53,112,157,737
53,112,157,737
53,112,156,738
53,112,156,738
53,113,156,738
53,112,157,737
53,112,157,738
53,112,156,738
53,112,156,738
53,112,156,738
53,111,156,738
53,112,156,738
53,111,156,738
53,112,156,738
53,112,155,738
53,112,156,738
53,112,156,738
53,112,156,738
53,112,156,738
53,111,155,737
53,112,156,738
53,112,156,738
53,111,155,737
53,112,155,738
53,112,156,737
53,112,155,738
53,111,155,737
53,112,155,738
53,112,155,738
53,112,155,737
53,111,155,738
53,111,155,737
53,111,155,738
53,112,155,738
53,112,155,738
53,111,155,737
53,112,155,738
53,112,155,737
53,112,155,737
53,112,155,738
53,111,155,738
54,111,155,738
53,111,155,738
53,111,155,738
53,111,155,737
53,111,154,738
53,111,155,738
53,112,155,738
54,111,155,738
53,111,154,738
53,111,154,737
53,111,154,738
53,111,154,737
53,111,154,737
53,111,155,738
53,111,154,737
54,111,154,737
54,111,154,738
53,111,154,738
53,111,155,738
53,111,154,737
53,111,153,737
53,111,154,737
53,111,154,737
54,111,154,738
54,111,154,738
53,111,154,738
54,111,154,738
53,111,154,737
54,111,154,737
53,111,154,738
53,111,154,737
54,110,154,737
54,111,154,737
54,111,154,737
54,111,153,738
53,111,154,738
54,111,154,737
54,111,154,738
53,111,154,737
53,111,154,737
54,111,154,737
54,111,154,737
54,110,154,738
54,111,153,737
54,111,153,737
54,110,154,737
54,111,153,737
53,110,153,737
54,110,154,737
54,110,154,737
54,111,154,738
54,110,153,737
53,111,154,737
54,111,153,737
54,110,153,737
54,110,153,737
54,110,153,737
54,111,153,737
54,110,153,737
54,110,153,737
54,110,153,737
54,110,153,737
54,110,153,737
54,110,154,737
54,110,153,737
54,110,153,737
