NO2,C2H5OH,VOC,CO
72,140,214,746
71,140,213,747
71,140,213,745
71,140,213,746
71,140,213,746
71,140,212,746
70,140,212,746
71,140,212,746
70,139,211,746
70,139,211,746
70,140,211,746
70,140,210,746
69,139,210,746
70,139,210,746
69,139,209,747
69,139,209,746
69,139,209,746
69,139,209,746
68,139,209,746
68,139,208,746
69,139,208,746
68,139,207,746
68,139,207,746
68,139,207,746
68,139,207,745
68,138,207,746
68,138,206,746
68,139,206,746
68,138,206,746
68,138,206,746
67,138,205,746
67,138,205,746
67,138,205,746
67,138,205,745
67,138,204,745
67,138,204,746
67,138,205,745
67,137,204,746
66,137,204,746
67,138,203,746
67,137,203,746
66,138,203,746
66,137,202,746
66,137,203,746
66,138,202,746
66,137,202,745
66,137,202,746
66,137,202,745
65,137,201,746
66,137,202,746
66,137,201,745
66,137,201,745
66,137,201,745
65,137,202,746
65,136,201,745
66,136,201,746
65,136,200,746
65,137,200,745
65,137,200,745
66,137,199,746
65,137,199,746
65,136,200,746
65,136,200,745
65,136,199,745
65,136,199,746
65,136,199,746
65,136,199,746
65,135,199,746
64,136,199,746
65,136,198,746
64,136,198,745
65,136,198,746
65,136,198,745
64,135,197,746
65,136,197,745
65,135,197,745
65,135,197,746
65,135,197,745
65,136,197,745
64,135,197,745
64,135,197,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,196,745
64,135,195,745
64,135,195,745
64,135,195,745
64,135,195,745
63,135,195,745
64,135,194,745
64,135,195,745
63,134,194,745
64,135,195,745
63,134,194,745
63,134,194,745
64,134,194,745
63,134,194,745
63,134,194,744
63,134,193,745
64,134,193,745
63,134,194,745
64,134,193,745
63,134,193,745
63,134,193,745
64,134,193,745
63,133,193,745
63,134,193,745
64,134,192,744
64,134,192,745
63,133,193,745
63,134,192,745
63,134,192,745
63,134,192,745
63,133,191,745
63,134,192,745
63,134,192,745
63,133,192,745
63,133,192,745
63,133,191,745
63,133,191,745
63,133,191,745
63,133,191,745
63,133,191,745
63,133,191,744
63,133,191,744
63,133,190,744
63,133,191,745
63,133,190,745
63,133,191,745
63,133,190,745
63,133,190,745
63,133,190,745
63,133,190,744
63,132,190,744
62,132,190,744
63,133,189,745
63,133,189,745
63,132,190,745
63,132,190,744
63,132,190,744
63,132,189,745
63,132,189,745
63,132,189,744
63,132,189,745
63,132,189,745
63,132,189,744
63,132,189,745
63,132,189,744
63,132,188,745
62,131,188,745
63,132,189,745
63,131,189,745
63,132,188,745
63,132,189,745
63,132,188,745
63,131,188,745
63,131,187,745
62,132,188,745
63,132,188,744
63,132,188,745
63,131,188,745
62,131,188,745
63,131,188,745
63,131,187,745
63,131,188,745
63,132,188,744
63,131,188,744
63,131,187,744
63,131,187,744
63,131,187,745
63,131,188,744
62,131,187,745
63,131,187,744
62,131,187,744
63,131,187,744
63,131,187,744
63,131,187,744
63,131,187,745
63,131,186,744
63,131,186,745
63,130,186,744
63,131,186,744
63,131,187,744
63,131,187,744
63,131,187,744
63,131,186,745
63,131,186,744
63,131,186,744
63,131,186,745
63,130,186,744
63,130,186,744
63,130,186,744
62,130,185,745
63,130,186,744
63,130,185,744
63,130,185,744
63,129,186,744
63,130,185,744
63,130,185,745
62,130,185,744
63,130,185,744
63,130,186,744
63,130,185,744
63,130,185,744
63,130,185,745
62,130,185,744
63,130,185,744
63,130,185,744
63,130,185,744
63,130,185,744
63,129,185,744
63,130,185,745
63,130,185,744
63,130,185,744
63,129,185,745
63,130,185,744
63,129,185,744
63,129,185,744
63,129,184,744
63,130,185,744
63,129,185,744
62,129,184,744
63,129,184,744
63,129,184,744
63,129,185,744
63,129,185,744
63,129,184,744
63,129,184,744
63,129,184,744
63,129,185,744
63,129,185,745
63,128,184,744
63,129,184,744
