NO2,C2H5OH,VOC,CO
743.0,901.0,834.0,906.0
754.0,909.0,840.0,959.0
783.0,919.0,854.0,973.0
801.0,926.0,864.0,971.0
811.0,929.0,870.0,959.0
820.0,932.0,874.0,947.0
825.0,935.0,876.0,952.0
830.0,936.0,878.0,961.0
834.0,936.0,881.0,969.0
835.0,938.0,884.0,973.0
836.0,939.0,885.0,974.0
838.0,940.0,886.0,976.0
839.0,940.0,887.0,976.0
840.0,941.0,888.0,975.0
841.0,942.0,889.0,974.0
841.0,941.0,889.0,972.0
843.0,941.0,889.0,972.0
842.0,941.0,890.0,973.0
843.0,941.0,890.0,970.0
844.0,942.0,890.0,966.0
844.0,943.0,890.0,959.0
844.0,942.0,889.0,957.0
844.0,942.0,890.0,958.0
845.0,942.0,890.0,959.0
846.0,942.0,890.0,950.0
846.0,941.0,889.0,931.0
847.0,941.0,887.0,912.0
847.0,941.0,885.0,901.0
847.0,940.0,885.0,900.0
848.0,941.0,885.0,908.0
848.0,941.0,886.0,919.0
848.0,942.0,887.0,928.0
848.0,942.0,888.0,934.0
848.0,942.0,889.0,936.0
848.0,942.0,889.0,938.0
847.0,943.0,889.0,941.0
847.0,942.0,890.0,946.0
847.0,943.0,891.0,954.0
847.0,942.0,891.0,959.0
846.0,943.0,891.0,957.0
846.0,942.0,892.0,950.0
846.0,943.0,891.0,946.0
845.0,942.0,890.0,942.0
846.0,942.0,891.0,941.0
845.0,941.0,890.0,937.0
845.0,941.0,889.0,932.0
845.0,941.0,889.0,928.0
845.0,941.0,889.0,925.0
845.0,942.0,889.0,924.0
845.0,940.0,888.0,923.0
846.0,940.0,888.0,918.0
845.0,941.0,888.0,919.0
845.0,940.0,888.0,926.0
843.0,940.0,888.0,933.0
844.0,940.0,890.0,934.0
844.0,940.0,889.0,927.0
844.0,940.0,889.0,921.0
843.0,940.0,888.0,923.0
844.0,940.0,888.0,926.0
843.0,940.0,888.0,927.0
