NO2,C2H5OH,VOC,CO
834.0,932.0,879.0,922.0
834.0,932.0,878.0,920.0
832.0,931.0,877.0,917.0
832.0,931.0,876.0,916.0
832.0,930.0,876.0,916.0
832.0,930.0,876.0,917.0
831.0,931.0,876.0,917.0
832.0,930.0,876.0,918.0
832.0,931.0,876.0,920.0
832.0,930.0,876.0,923.0
832.0,931.0,876.0,925.0
833.0,931.0,876.0,927.0
832.0,932.0,876.0,929.0
833.0,932.0,876.0,932.0
833.0,932.0,876.0,937.0
834.0,933.0,878.0,941.0
834.0,933.0,879.0,945.0
835.0,933.0,879.0,949.0
835.0,934.0,879.0,952.0
836.0,935.0,880.0,956.0
836.0,935.0,881.0,958.0
835.0,935.0,882.0,959.0
835.0,935.0,883.0,960.0
836.0,936.0,882.0,959.0
836.0,935.0,882.0,957.0
835.0,935.0,883.0,954.0
835.0,935.0,882.0,950.0
835.0,935.0,882.0,947.0
834.0,934.0,881.0,945.0
834.0,934.0,881.0,944.0
834.0,933.0,881.0,943.0
834.0,934.0,879.0,942.0
835.0,934.0,880.0,942.0
834.0,934.0,880.0,944.0
834.0,934.0,880.0,946.0
835.0,934.0,880.0,948.0
834.0,935.0,880.0,948.0
834.0,935.0,880.0,948.0
836.0,934.0,880.0,945.0
834.0,934.0,881.0,943.0
834.0,933.0,880.0,941.0
834.0,933.0,880.0,939.0
834.0,933.0,878.0,940.0
834.0,933.0,879.0,938.0
834.0,933.0,879.0,936.0
834.0,932.0,878.0,933.0
834.0,932.0,877.0,931.0
832.0,932.0,877.0,931.0
832.0,931.0,876.0,930.0
833.0,930.0,877.0,930.0
832.0,930.0,876.0,932.0
832.0,931.0,875.0,930.0
831.0,931.0,876.0,930.0
831.0,930.0,874.0,928.0
831.0,929.0,874.0,929.0
830.0,929.0,875.0,930.0
829.0,930.0,875.0,932.0
830.0,930.0,874.0,936.0
831.0,930.0,875.0,938.0
832.0,931.0,875.0,943.0
