NO2,C2H5OH,VOC,CO
634.0,747.0,629.0,693.0
638.0,751.0,635.0,690.0
640.0,753.0,638.0,679.0
643.0,754.0,641.0,673.0
645.0,756.0,644.0,674.0
648.0,758.0,647.0,678.0
650.0,760.0,649.0,679.0
653.0,761.0,651.0,682.0
654.0,764.0,655.0,685.0
656.0,766.0,658.0,687.0
657.0,768.0,659.0,690.0
659.0,770.0,662.0,691.0
661.0,771.0,663.0,692.0
662.0,772.0,665.0,694.0
663.0,774.0,668.0,695.0
664.0,776.0,669.0,697.0
666.0,777.0,673.0,698.0
666.0,779.0,674.0,699.0
667.0,780.0,677.0,702.0
668.0,782.0,679.0,705.0
670.0,783.0,681.0,708.0
671.0,785.0,682.0,711.0
672.0,786.0,685.0,715.0
673.0,789.0,687.0,716.0
674.0,790.0,689.0,719.0
676.0,792.0,690.0,723.0
676.0,792.0,693.0,724.0
678.0,794.0,693.0,726.0
679.0,796.0,696.0,729.0
680.0,797.0,698.0,731.0
681.0,799.0,700.0,732.0
681.0,800.0,702.0,733.0
683.0,801.0,704.0,734.0
683.0,803.0,705.0,737.0
685.0,804.0,707.0,737.0
685.0,806.0,709.0,739.0
686.0,807.0,711.0,739.0
687.0,809.0,712.0,740.0
689.0,810.0,714.0,740.0
689.0,812.0,716.0,740.0
691.0,813.0,718.0,740.0
692.0,814.0,720.0,741.0
693.0,815.0,721.0,741.0
694.0,816.0,722.0,742.0
695.0,817.0,723.0,742.0
696.0,818.0,725.0,742.0
696.0,820.0,726.0,743.0
697.0,819.0,728.0,743.0
699.0,821.0,728.0,744.0
699.0,821.0,730.0,743.0
699.0,823.0,731.0,744.0
700.0,823.0,732.0,745.0
700.0,824.0,734.0,745.0
703.0,825.0,734.0,746.0
703.0,825.0,734.0,747.0
702.0,827.0,736.0,747.0
704.0,827.0,737.0,749.0
704.0,828.0,738.0,750.0
705.0,828.0,739.0,749.0
705.0,829.0,739.0,750.0
