NO2,C2H5OH,VOC,CO
724.0,853.0,774.0,775.0
724.0,852.0,774.0,775.0
725.0,853.0,774.0,776.0
725.0,852.0,774.0,776.0
726.0,853.0,775.0,776.0
725.0,853.0,775.0,778.0
725.0,853.0,775.0,778.0
726.0,853.0,774.0,779.0
725.0,854.0,775.0,778.0
725.0,853.0,775.0,779.0
726.0,853.0,776.0,779.0
726.0,853.0,776.0,778.0
726.0,853.0,776.0,780.0
726.0,854.0,776.0,779.0
725.0,853.0,776.0,779.0
725.0,854.0,776.0,779.0
726.0,854.0,776.0,777.0
726.0,854.0,776.0,777.0
726.0,854.0,776.0,779.0
727.0,854.0,777.0,778.0
727.0,854.0,777.0,778.0
727.0,855.0,776.0,779.0
727.0,855.0,777.0,778.0
727.0,855.0,777.0,778.0
727.0,855.0,777.0,777.0
727.0,855.0,777.0,777.0
728.0,856.0,777.0,777.0
728.0,855.0,777.0,777.0
728.0,855.0,776.0,778.0
727.0,855.0,776.0,778.0
728.0,854.0,776.0,779.0
727.0,855.0,777.0,779.0
727.0,855.0,777.0,778.0
727.0,855.0,778.0,777.0
728.0,854.0,777.0,777.0
727.0,855.0,777.0,779.0
728.0,855.0,777.0,781.0
729.0,854.0,778.0,779.0
729.0,855.0,777.0,778.0
728.0,856.0,777.0,778.0
729.0,855.0,778.0,778.0
728.0,855.0,778.0,780.0
728.0,855.0,778.0,781.0
728.0,855.0,779.0,782.0
728.0,856.0,778.0,781.0
729.0,856.0,779.0,782.0
729.0,856.0,779.0,783.0
729.0,856.0,779.0,783.0
728.0,856.0,779.0,782.0
730.0,856.0,779.0,779.0
729.0,856.0,779.0,779.0
730.0,856.0,779.0,780.0
729.0,856.0,779.0,780.0
730.0,856.0,779.0,780.0
730.0,856.0,779.0,782.0
729.0,855.0,780.0,781.0
731.0,856.0,780.0,779.0
730.0,856.0,779.0,780.0
731.0,856.0,780.0,781.0
730.0,856.0,779.0,781.0
