NO2,C2H5OH,VOC,CO
859.0,955.0,904.0,979.0
858.0,954.0,904.0,980.0
859.0,954.0,904.0,979.0
859.0,955.0,904.0,978.0
859.0,954.0,903.0,978.0
859.0,954.0,903.0,975.0
859.0,955.0,903.0,975.0
859.0,954.0,904.0,974.0
859.0,954.0,903.0,973.0
859.0,955.0,904.0,972.0
859.0,953.0,903.0,971.0
859.0,954.0,903.0,972.0
858.0,954.0,903.0,972.0
859.0,954.0,903.0,975.0
858.0,953.0,904.0,978.0
859.0,954.0,904.0,979.0
859.0,954.0,904.0,980.0
859.0,953.0,904.0,980.0
859.0,954.0,904.0,980.0
859.0,953.0,904.0,979.0
858.0,954.0,904.0,978.0
859.0,953.0,904.0,980.0
859.0,955.0,904.0,982.0
859.0,954.0,905.0,982.0
859.0,954.0,904.0,981.0
859.0,954.0,904.0,977.0
858.0,954.0,905.0,978.0
858.0,954.0,904.0,978.0
858.0,954.0,904.0,975.0
858.0,954.0,903.0,972.0
859.0,954.0,903.0,965.0
858.0,953.0,902.0,960.0
857.0,954.0,902.0,958.0
859.0,953.0,902.0,958.0
858.0,952.0,901.0,959.0
858.0,953.0,901.0,960.0
859.0,952.0,902.0,962.0
858.0,952.0,902.0,964.0
859.0,953.0,902.0,969.0
859.0,954.0,902.0,973.0
859.0,954.0,903.0,978.0
858.0,954.0,904.0,980.0
858.0,954.0,904.0,980.0
859.0,955.0,905.0,981.0
858.0,954.0,904.0,981.0
858.0,954.0,905.0,983.0
859.0,954.0,906.0,985.0
858.0,954.0,906.0,986.0
859.0,954.0,906.0,986.0
858.0,955.0,906.0,988.0
858.0,955.0,906.0,989.0
858.0,955.0,907.0,988.0
858.0,955.0,907.0,989.0
857.0,954.0,907.0,991.0
858.0,956.0,908.0,990.0
858.0,955.0,908.0,990.0
858.0,954.0,908.0,990.0
858.0,954.0,908.0,990.0
857.0,955.0,908.0,989.0
857.0,954.0,908.0,989.0
