NO2,C2H5OH,VOC,CO
851.0,948.0,894.0,953.0
852.0,948.0,894.0,955.0
852.0,947.0,895.0,955.0
853.0,948.0,895.0,955.0
852.0,949.0,895.0,956.0
853.0,949.0,896.0,956.0
854.0,948.0,895.0,957.0
854.0,948.0,896.0,958.0
853.0,948.0,897.0,957.0
853.0,949.0,896.0,958.0
853.0,949.0,897.0,957.0
853.0,949.0,896.0,958.0
854.0,949.0,897.0,960.0
854.0,950.0,897.0,961.0
854.0,949.0,898.0,962.0
854.0,950.0,897.0,960.0
854.0,949.0,897.0,959.0
853.0,949.0,897.0,957.0
854.0,948.0,897.0,956.0
854.0,948.0,896.0,956.0
852.0,949.0,897.0,956.0
853.0,949.0,897.0,955.0
852.0,948.0,896.0,956.0
853.0,948.0,895.0,954.0
853.0,947.0,895.0,950.0
852.0,947.0,895.0,951.0
851.0,948.0,895.0,950.0
852.0,946.0,894.0,951.0
851.0,948.0,895.0,950.0
851.0,947.0,894.0,951.0
852.0,947.0,894.0,949.0
851.0,947.0,893.0,950.0
851.0,947.0,894.0,950.0
852.0,947.0,894.0,952.0
851.0,947.0,894.0,953.0
851.0,947.0,894.0,952.0
852.0,946.0,894.0,951.0
851.0,948.0,894.0,950.0
850.0,946.0,894.0,950.0
849.0,947.0,892.0,949.0
849.0,946.0,894.0,948.0
850.0,946.0,893.0,950.0
850.0,946.0,893.0,950.0
849.0,946.0,893.0,951.0
851.0,947.0,894.0,952.0
851.0,948.0,893.0,952.0
851.0,947.0,893.0,952.0
850.0,947.0,894.0,952.0
849.0,946.0,894.0,952.0
850.0,947.0,893.0,951.0
850.0,946.0,894.0,952.0
850.0,947.0,894.0,952.0
850.0,946.0,894.0,953.0
851.0,947.0,894.0,953.0
851.0,947.0,894.0,953.0
850.0,946.0,893.0,955.0
850.0,947.0,894.0,954.0
851.0,947.0,894.0,956.0
852.0,947.0,895.0,955.0
852.0,947.0,894.0,956.0
