NO2,C2H5OH,VOC,CO
801.0,920.0,868.0,914.0
801.0,920.0,869.0,917.0
802.0,922.0,869.0,917.0
802.0,921.0,869.0,919.0
803.0,922.0,869.0,920.0
803.0,921.0,869.0,919.0
803.0,921.0,869.0,916.0
803.0,922.0,869.0,918.0
803.0,922.0,869.0,922.0
804.0,923.0,870.0,923.0
804.0,923.0,870.0,924.0
804.0,922.0,869.0,926.0
804.0,923.0,871.0,926.0
804.0,923.0,870.0,926.0
805.0,923.0,870.0,926.0
805.0,923.0,871.0,927.0
805.0,923.0,871.0,926.0
806.0,924.0,870.0,925.0
805.0,924.0,871.0,926.0
806.0,924.0,871.0,928.0
806.0,924.0,871.0,931.0
807.0,925.0,872.0,933.0
807.0,924.0,872.0,934.0
807.0,925.0,872.0,935.0
807.0,925.0,873.0,936.0
807.0,926.0,873.0,935.0
807.0,925.0,874.0,935.0
807.0,925.0,873.0,937.0
808.0,925.0,873.0,937.0
808.0,925.0,873.0,938.0
808.0,926.0,874.0,941.0
808.0,925.0,873.0,941.0
808.0,925.0,874.0,942.0
808.0,925.0,874.0,944.0
808.0,926.0,875.0,946.0
808.0,927.0,875.0,947.0
807.0,926.0,875.0,948.0
807.0,927.0,876.0,950.0
807.0,927.0,875.0,952.0
806.0,927.0,875.0,952.0
806.0,927.0,876.0,952.0
807.0,927.0,876.0,951.0
807.0,925.0,875.0,948.0
806.0,926.0,875.0,946.0
805.0,926.0,876.0,943.0
805.0,925.0,875.0,941.0
804.0,925.0,874.0,940.0
805.0,924.0,874.0,939.0
804.0,925.0,874.0,938.0
803.0,923.0,874.0,936.0
804.0,923.0,874.0,935.0
803.0,924.0,873.0,932.0
802.0,923.0,872.0,931.0
801.0,923.0,871.0,929.0
802.0,923.0,871.0,929.0
801.0,922.0,871.0,929.0
801.0,922.0,871.0,930.0
802.0,923.0,870.0,931.0
802.0,922.0,870.0,932.0
802.0,922.0,871.0,930.0
