NO2,C2H5OH,VOC,CO
350.0,473.0,308.0,388.0
350.0,474.0,309.0,388.0
350.0,474.0,309.0,387.0
350.0,474.0,309.0,383.0
351.0,475.0,310.0,385.0
350.0,476.0,311.0,387.0
346.0,476.0,312.0,389.0
347.0,477.0,311.0,392.0
348.0,478.0,313.0,391.0
348.0,478.0,313.0,391.0
349.0,478.0,312.0,388.0
350.0,479.0,313.0,386.0
349.0,480.0,314.0,386.0
350.0,479.0,314.0,384.0
351.0,480.0,314.0,384.0
351.0,480.0,315.0,384.0
350.0,480.0,315.0,384.0
350.0,481.0,316.0,385.0
351.0,482.0,316.0,389.0
352.0,482.0,316.0,391.0
352.0,482.0,317.0,390.0
352.0,483.0,318.0,384.0
353.0,483.0,317.0,378.0
355.0,483.0,317.0,377.0
355.0,482.0,317.0,379.0
354.0,483.0,318.0,383.0
355.0,484.0,317.0,386.0
355.0,485.0,318.0,388.0
353.0,485.0,318.0,391.0
351.0,485.0,319.0,393.0
352.0,486.0,319.0,392.0
352.0,486.0,320.0,391.0
352.0,487.0,320.0,389.0
353.0,487.0,320.0,385.0
352.0,487.0,321.0,383.0
353.0,487.0,321.0,385.0
352.0,488.0,321.0,381.0
353.0,488.0,321.0,382.0
353.0,488.0,321.0,389.0
353.0,489.0,322.0,394.0
356.0,490.0,322.0,396.0
357.0,489.0,323.0,396.0
358.0,490.0,323.0,394.0
358.0,490.0,323.0,390.0
358.0,491.0,324.0,389.0
358.0,491.0,324.0,388.0
358.0,490.0,323.0,387.0
358.0,491.0,324.0,386.0
358.0,491.0,323.0,380.0
358.0,491.0,324.0,378.0
358.0,491.0,324.0,378.0
354.0,491.0,323.0,380.0
355.0,492.0,324.0,385.0
354.0,492.0,324.0,385.0
354.0,492.0,325.0,383.0
355.0,492.0,325.0,386.0
355.0,493.0,325.0,385.0
356.0,493.0,325.0,384.0
355.0,494.0,326.0,380.0
356.0,494.0,326.0,383.0
356.0,494.0,326.0,387.0
356.0,494.0,326.0,390.0
358.0,495.0,327.0,392.0
360.0,495.0,328.0,394.0
361.0,496.0,328.0,393.0
361.0,497.0,328.0,394.0
361.0,497.0,329.0,394.0
361.0,497.0,329.0,394.0
362.0,497.0,329.0,392.0
362.0,497.0,330.0,389.0
361.0,497.0,329.0,386.0
362.0,497.0,329.0,382.0
362.0,497.0,329.0,379.0
362.0,497.0,329.0,380.0
362.0,496.0,329.0,374.0
362.0,497.0,328.0,374.0
361.0,496.0,329.0,376.0
357.0,496.0,328.0,380.0
357.0,497.0,329.0,384.0
356.0,499.0,329.0,387.0
356.0,499.0,329.0,391.0
358.0,499.0,330.0,390.0
358.0,499.0,330.0,389.0
358.0,500.0,331.0,389.0
359.0,500.0,331.0,390.0
358.0,501.0,331.0,391.0
359.0,501.0,332.0,391.0
359.0,501.0,331.0,388.0
360.0,502.0,332.0,386.0
360.0,502.0,331.0,387.0
