NO2,C2H5OH,VOC,CO
723.0,854.0,776.0,782.0
723.0,854.0,776.0,783.0
722.0,855.0,776.0,782.0
722.0,854.0,775.0,784.0
723.0,855.0,775.0,784.0
724.0,854.0,776.0,784.0
723.0,855.0,776.0,785.0
723.0,855.0,776.0,785.0
723.0,855.0,777.0,786.0
723.0,855.0,776.0,786.0
723.0,855.0,776.0,787.0
724.0,855.0,777.0,786.0
724.0,855.0,777.0,786.0
724.0,855.0,777.0,786.0
724.0,855.0,776.0,785.0
725.0,856.0,778.0,784.0
724.0,856.0,777.0,784.0
724.0,855.0,777.0,786.0
723.0,855.0,777.0,786.0
724.0,855.0,777.0,786.0
725.0,855.0,777.0,788.0
724.0,855.0,777.0,788.0
724.0,856.0,777.0,788.0
724.0,856.0,778.0,790.0
724.0,857.0,778.0,790.0
725.0,856.0,778.0,791.0
725.0,856.0,779.0,790.0
725.0,856.0,779.0,791.0
724.0,857.0,779.0,791.0
725.0,857.0,778.0,790.0
724.0,856.0,779.0,792.0
724.0,857.0,778.0,790.0
725.0,857.0,779.0,792.0
726.0,857.0,779.0,793.0
725.0,857.0,779.0,793.0
725.0,858.0,780.0,793.0
725.0,857.0,779.0,792.0
725.0,857.0,779.0,792.0
725.0,858.0,779.0,793.0
726.0,858.0,779.0,792.0
725.0,857.0,779.0,791.0
726.0,857.0,780.0,790.0
726.0,857.0,780.0,790.0
726.0,857.0,779.0,790.0
725.0,857.0,779.0,790.0
726.0,858.0,779.0,791.0
724.0,856.0,780.0,791.0
726.0,857.0,779.0,791.0
726.0,857.0,779.0,791.0
726.0,857.0,780.0,791.0
726.0,856.0,779.0,791.0
726.0,857.0,779.0,792.0
725.0,857.0,780.0,791.0
725.0,856.0,779.0,791.0
725.0,857.0,780.0,790.0
726.0,856.0,779.0,790.0
725.0,857.0,779.0,791.0
725.0,856.0,780.0,791.0
725.0,857.0,779.0,790.0
725.0,857.0,779.0,791.0
