NO2,C2H5OH,VOC,CO
192.0,338.0,181.0,153.0
192.0,338.0,180.0,152.0
192.0,338.0,180.0,153.0
193.0,338.0,180.0,152.0
193.0,339.0,180.0,153.0
193.0,339.0,180.0,154.0
193.0,338.0,180.0,154.0
194.0,339.0,180.0,154.0
195.0,339.0,181.0,155.0
195.0,340.0,181.0,155.0
196.0,340.0,181.0,157.0
198.0,340.0,181.0,156.0
198.0,341.0,181.0,158.0
199.0,341.0,181.0,157.0
198.0,341.0,180.0,158.0
198.0,341.0,181.0,157.0
198.0,340.0,181.0,156.0
197.0,340.0,182.0,156.0
197.0,342.0,181.0,156.0
197.0,341.0,181.0,157.0
197.0,341.0,181.0,156.0
197.0,341.0,181.0,155.0
195.0,340.0,180.0,154.0
194.0,340.0,180.0,153.0
193.0,340.0,181.0,154.0
193.0,339.0,180.0,152.0
193.0,340.0,180.0,153.0
193.0,340.0,180.0,153.0
194.0,341.0,179.0,154.0
194.0,341.0,181.0,155.0
195.0,341.0,180.0,155.0
196.0,341.0,181.0,155.0
196.0,341.0,181.0,156.0
196.0,342.0,180.0,157.0
199.0,343.0,181.0,158.0
201.0,343.0,182.0,161.0
203.0,344.0,182.0,162.0
203.0,344.0,182.0,164.0
204.0,344.0,181.0,164.0
205.0,345.0,182.0,163.0
205.0,345.0,182.0,164.0
205.0,345.0,182.0,163.0
206.0,345.0,183.0,164.0
206.0,346.0,183.0,164.0
207.0,346.0,183.0,164.0
207.0,346.0,182.0,165.0
207.0,347.0,183.0,165.0
206.0,346.0,182.0,165.0
205.0,346.0,183.0,163.0
204.0,347.0,183.0,161.0
202.0,346.0,182.0,160.0
202.0,346.0,183.0,160.0
200.0,345.0,183.0,160.0
201.0,346.0,183.0,159.0
200.0,345.0,183.0,159.0
200.0,347.0,182.0,159.0
201.0,346.0,182.0,160.0
201.0,345.0,183.0,159.0
200.0,345.0,183.0,158.0
199.0,345.0,183.0,158.0
200.0,345.0,182.0,159.0
200.0,345.0,183.0,159.0
199.0,345.0,183.0,158.0
200.0,346.0,182.0,160.0
200.0,346.0,182.0,161.0
200.0,347.0,183.0,161.0
203.0,348.0,183.0,162.0
202.0,347.0,183.0,162.0
203.0,347.0,182.0,161.0
202.0,346.0,183.0,161.0
201.0,346.0,183.0,161.0
201.0,346.0,183.0,161.0
201.0,347.0,183.0,160.0
201.0,348.0,184.0,161.0
202.0,347.0,183.0,161.0
202.0,348.0,183.0,163.0
204.0,349.0,183.0,164.0
206.0,348.0,183.0,165.0
208.0,349.0,184.0,167.0
209.0,351.0,185.0,168.0
211.0,351.0,184.0,168.0
211.0,351.0,184.0,169.0
211.0,352.0,185.0,170.0
213.0,353.0,185.0,171.0
213.0,353.0,185.0,171.0
214.0,354.0,184.0,171.0
214.0,353.0,185.0,172.0
215.0,355.0,186.0,172.0
215.0,355.0,186.0,172.0
215.0,354.0,186.0,173.0
