NO2,C2H5OH,VOC,CO
175.0,347.0,187.0,153.0
178.0,348.0,188.0,155.0
181.0,349.0,188.0,156.0
182.0,349.0,188.0,157.0
183.0,350.0,187.0,156.0
183.0,350.0,187.0,155.0
184.0,350.0,187.0,154.0
184.0,352.0,187.0,153.0
184.0,352.0,186.0,153.0
183.0,352.0,186.0,152.0
182.0,351.0,186.0,149.0
180.0,351.0,186.0,148.0
177.0,350.0,185.0,146.0
174.0,349.0,184.0,143.0
173.0,348.0,185.0,143.0
173.0,348.0,185.0,143.0
173.0,348.0,184.0,142.0
172.0,348.0,184.0,143.0
172.0,348.0,184.0,143.0
172.0,349.0,184.0,145.0
175.0,349.0,184.0,147.0
178.0,350.0,185.0,149.0
181.0,351.0,185.0,151.0
183.0,352.0,185.0,151.0
185.0,352.0,185.0,152.0
185.0,353.0,185.0,152.0
185.0,353.0,185.0,152.0
184.0,353.0,185.0,152.0
182.0,352.0,185.0,150.0
180.0,351.0,185.0,149.0
178.0,351.0,185.0,145.0
175.0,350.0,184.0,144.0
173.0,349.0,185.0,143.0
171.0,348.0,184.0,141.0
170.0,347.0,184.0,141.0
169.0,347.0,184.0,142.0
170.0,347.0,184.0,144.0
172.0,347.0,184.0,146.0
174.0,348.0,185.0,148.0
177.0,349.0,184.0,151.0
181.0,350.0,186.0,153.0
184.0,350.0,186.0,155.0
186.0,352.0,185.0,155.0
186.0,351.0,185.0,153.0
185.0,351.0,186.0,153.0
183.0,351.0,185.0,153.0
182.0,350.0,186.0,152.0
181.0,350.0,185.0,152.0
180.0,350.0,185.0,153.0
180.0,350.0,186.0,154.0
182.0,350.0,187.0,156.0
185.0,351.0,187.0,158.0
187.0,352.0,187.0,160.0
190.0,353.0,187.0,161.0
193.0,354.0,188.0,162.0
194.0,355.0,188.0,162.0
194.0,355.0,187.0,161.0
193.0,354.0,188.0,160.0
191.0,355.0,187.0,158.0
188.0,353.0,186.0,156.0
185.0,352.0,186.0,153.0
182.0,350.0,186.0,149.0
179.0,349.0,186.0,147.0
175.0,348.0,186.0,144.0
174.0,347.0,186.0,143.0
170.0,347.0,185.0,142.0
171.0,346.0,184.0,143.0
173.0,346.0,185.0,146.0
175.0,347.0,186.0,148.0
178.0,347.0,185.0,151.0
180.0,347.0,186.0,152.0
182.0,348.0,186.0,154.0
183.0,349.0,186.0,154.0
185.0,348.0,187.0,154.0
185.0,348.0,187.0,155.0
184.0,349.0,186.0,155.0
184.0,349.0,186.0,154.0
184.0,349.0,187.0,155.0
184.0,349.0,186.0,154.0
184.0,348.0,186.0,153.0
181.0,349.0,186.0,151.0
179.0,347.0,186.0,149.0
177.0,347.0,186.0,147.0
176.0,346.0,185.0,146.0
174.0,346.0,184.0,147.0
175.0,346.0,185.0,147.0
176.0,346.0,185.0,149.0
178.0,346.0,184.0,147.0
177.0,346.0,185.0,146.0
176.0,345.0,184.0,146.0
