NO2,C2H5OH,VOC,CO
720.0,881.0,803.0,866.0
720.0,881.0,802.0,867.0
720.0,881.0,802.0,866.0
720.0,882.0,803.0,867.0
720.0,881.0,803.0,867.0
720.0,881.0,803.0,868.0
721.0,881.0,803.0,868.0
720.0,880.0,803.0,868.0
721.0,881.0,802.0,867.0
721.0,882.0,802.0,868.0
721.0,881.0,803.0,869.0
720.0,881.0,803.0,870.0
720.0,881.0,802.0,869.0
720.0,882.0,803.0,868.0
721.0,882.0,803.0,868.0
720.0,881.0,802.0,867.0
721.0,882.0,803.0,866.0
721.0,881.0,802.0,865.0
721.0,881.0,803.0,864.0
721.0,882.0,803.0,863.0
720.0,881.0,801.0,861.0
721.0,882.0,802.0,861.0
720.0,882.0,803.0,860.0
720.0,881.0,802.0,860.0
720.0,881.0,801.0,860.0
720.0,881.0,801.0,859.0
720.0,881.0,802.0,859.0
720.0,880.0,802.0,861.0
720.0,880.0,801.0,860.0
720.0,881.0,801.0,862.0
720.0,881.0,801.0,862.0
720.0,881.0,801.0,863.0
720.0,880.0,800.0,864.0
719.0,881.0,800.0,866.0
719.0,881.0,801.0,866.0
720.0,881.0,801.0,866.0
720.0,881.0,802.0,867.0
720.0,881.0,801.0,866.0
720.0,882.0,800.0,865.0
720.0,881.0,801.0,864.0
719.0,881.0,801.0,864.0
720.0,881.0,800.0,863.0
719.0,882.0,800.0,862.0
720.0,881.0,801.0,861.0
720.0,880.0,801.0,861.0
719.0,880.0,800.0,860.0
719.0,881.0,800.0,860.0
719.0,881.0,800.0,860.0
719.0,881.0,800.0,859.0
719.0,880.0,800.0,858.0
719.0,880.0,799.0,857.0
719.0,880.0,799.0,855.0
719.0,880.0,798.0,854.0
718.0,880.0,798.0,854.0
718.0,880.0,798.0,852.0
719.0,880.0,797.0,852.0
717.0,880.0,798.0,853.0
718.0,879.0,797.0,853.0
718.0,880.0,798.0,854.0
717.0,879.0,796.0,854.0
