NO2,C2H5OH,VOC,CO
815.0,941.0,893.0,982.0
814.0,940.0,893.0,983.0
814.0,940.0,893.0,984.0
813.0,940.0,893.0,984.0
812.0,939.0,894.0,984.0
812.0,940.0,892.0,984.0
812.0,940.0,893.0,982.0
813.0,940.0,892.0,982.0
814.0,939.0,892.0,981.0
814.0,940.0,891.0,980.0
815.0,939.0,890.0,980.0
815.0,939.0,890.0,980.0
815.0,939.0,890.0,979.0
815.0,939.0,889.0,979.0
816.0,938.0,890.0,978.0
816.0,938.0,890.0,979.0
816.0,940.0,889.0,981.0
817.0,940.0,890.0,981.0
818.0,939.0,891.0,980.0
817.0,940.0,890.0,980.0
817.0,940.0,890.0,979.0
816.0,939.0,891.0,977.0
815.0,939.0,890.0,976.0
814.0,939.0,889.0,975.0
814.0,938.0,889.0,975.0
814.0,938.0,889.0,976.0
814.0,939.0,888.0,975.0
814.0,937.0,889.0,976.0
814.0,937.0,888.0,978.0
814.0,937.0,888.0,976.0
813.0,938.0,888.0,974.0
814.0,938.0,888.0,973.0
812.0,938.0,888.0,972.0
813.0,937.0,887.0,972.0
812.0,936.0,887.0,972.0
812.0,937.0,887.0,974.0
811.0,936.0,886.0,976.0
812.0,936.0,887.0,975.0
812.0,936.0,886.0,975.0
812.0,936.0,886.0,974.0
811.0,937.0,886.0,972.0
812.0,937.0,886.0,970.0
811.0,936.0,886.0,971.0
812.0,936.0,886.0,974.0
812.0,936.0,887.0,975.0
812.0,937.0,886.0,975.0
812.0,937.0,887.0,974.0
813.0,937.0,887.0,972.0
814.0,938.0,887.0,972.0
813.0,938.0,887.0,970.0
813.0,938.0,888.0,971.0
812.0,937.0,888.0,971.0
812.0,937.0,887.0,972.0
812.0,938.0,887.0,973.0
811.0,938.0,887.0,975.0
812.0,938.0,887.0,975.0
811.0,938.0,887.0,974.0
811.0,938.0,887.0,973.0
811.0,936.0,888.0,975.0
810.0,936.0,887.0,975.0
