NO2,C2H5OH,VOC,CO
811.0,938.0,890.0,978.0
810.0,938.0,891.0,979.0
810.0,937.0,890.0,978.0
809.0,937.0,890.0,978.0
809.0,937.0,889.0,976.0
809.0,936.0,888.0,976.0
809.0,937.0,889.0,977.0
810.0,936.0,890.0,977.0
810.0,938.0,890.0,977.0
810.0,938.0,889.0,976.0
810.0,936.0,889.0,975.0
809.0,936.0,889.0,972.0
811.0,936.0,888.0,971.0
811.0,936.0,889.0,972.0
812.0,937.0,888.0,972.0
811.0,937.0,888.0,971.0
812.0,937.0,888.0,970.0
813.0,937.0,888.0,970.0
813.0,936.0,888.0,970.0
813.0,938.0,887.0,971.0
812.0,936.0,887.0,971.0
812.0,937.0,887.0,968.0
812.0,937.0,887.0,968.0
812.0,937.0,887.0,968.0
812.0,937.0,887.0,968.0
811.0,937.0,887.0,969.0
810.0,937.0,887.0,969.0
809.0,936.0,887.0,969.0
808.0,935.0,888.0,968.0
808.0,936.0,887.0,966.0
808.0,935.0,886.0,967.0
808.0,935.0,887.0,966.0
808.0,935.0,886.0,967.0
809.0,935.0,886.0,968.0
809.0,935.0,887.0,969.0
809.0,936.0,887.0,969.0
808.0,936.0,887.0,972.0
808.0,935.0,887.0,971.0
807.0,936.0,887.0,971.0
808.0,935.0,887.0,971.0
808.0,936.0,887.0,972.0
810.0,936.0,887.0,971.0
810.0,936.0,887.0,971.0
811.0,937.0,887.0,971.0
811.0,937.0,887.0,971.0
812.0,938.0,887.0,971.0
812.0,937.0,888.0,970.0
812.0,936.0,887.0,969.0
811.0,937.0,886.0,970.0
811.0,936.0,887.0,970.0
810.0,936.0,886.0,971.0
809.0,936.0,887.0,973.0
808.0,936.0,888.0,972.0
809.0,937.0,888.0,972.0
809.0,936.0,888.0,973.0
810.0,936.0,888.0,973.0
809.0,936.0,888.0,973.0
809.0,936.0,888.0,973.0
809.0,936.0,888.0,970.0
808.0,936.0,886.0,969.0
