NO2,C2H5OH,VOC,CO
627.0,596.0,423.0,486.0
627.0,597.0,424.0,481.0
627.0,597.0,423.0,481.0
626.0,597.0,423.0,482.0
627.0,597.0,424.0,485.0
626.0,597.0,424.0,485.0
626.0,597.0,425.0,483.0
625.0,597.0,425.0,481.0
624.0,597.0,424.0,482.0
622.0,597.0,424.0,479.0
620.0,596.0,424.0,471.0
618.0,596.0,423.0,471.0
620.0,596.0,422.0,476.0
622.0,596.0,423.0,482.0
622.0,597.0,422.0,482.0
622.0,597.0,422.0,480.0
621.0,595.0,422.0,475.0
617.0,595.0,421.0,470.0
616.0,595.0,421.0,468.0
615.0,594.0,420.0,470.0
615.0,593.0,419.0,473.0
617.0,594.0,420.0,475.0
619.0,594.0,421.0,477.0
619.0,595.0,421.0,474.0
618.0,595.0,421.0,474.0
617.0,594.0,420.0,473.0
617.0,594.0,421.0,472.0
617.0,594.0,420.0,474.0
617.0,594.0,420.0,474.0
616.0,594.0,420.0,474.0
617.0,594.0,421.0,476.0
618.0,595.0,420.0,478.0
617.0,594.0,422.0,478.0
617.0,594.0,422.0,477.0
615.0,594.0,420.0,471.0
613.0,593.0,420.0,469.0
613.0,593.0,419.0,471.0
615.0,593.0,419.0,474.0
616.0,594.0,420.0,479.0
618.0,594.0,422.0,481.0
618.0,594.0,422.0,481.0
618.0,594.0,423.0,480.0
617.0,595.0,422.0,477.0
614.0,595.0,421.0,472.0
614.0,594.0,421.0,473.0
615.0,594.0,422.0,478.0
618.0,595.0,422.0,483.0
620.0,595.0,424.0,483.0
620.0,597.0,424.0,482.0
619.0,596.0,423.0,480.0
618.0,597.0,423.0,479.0
620.0,597.0,425.0,482.0
621.0,597.0,425.0,485.0
622.0,598.0,425.0,483.0
621.0,597.0,425.0,477.0
620.0,598.0,424.0,475.0
619.0,598.0,424.0,480.0
620.0,598.0,424.0,482.0
621.0,598.0,425.0,482.0
623.0,599.0,426.0,483.0
624.0,599.0,426.0,483.0
623.0,599.0,427.0,483.0
622.0,599.0,427.0,484.0
622.0,599.0,427.0,482.0
622.0,599.0,426.0,481.0
619.0,599.0,427.0,479.0
620.0,599.0,427.0,483.0
621.0,600.0,428.0,488.0
623.0,600.0,429.0,492.0
624.0,600.0,430.0,494.0
626.0,602.0,431.0,495.0
627.0,602.0,431.0,494.0
628.0,604.0,433.0,496.0
629.0,603.0,434.0,496.0
630.0,604.0,435.0,497.0
632.0,605.0,436.0,498.0
632.0,605.0,436.0,497.0
634.0,607.0,438.0,498.0
634.0,607.0,438.0,498.0
634.0,607.0,437.0,497.0
634.0,608.0,439.0,497.0
635.0,608.0,439.0,495.0
634.0,609.0,440.0,495.0
634.0,608.0,439.0,493.0
633.0,610.0,439.0,494.0
634.0,609.0,440.0,495.0
636.0,610.0,440.0,498.0
637.0,610.0,442.0,499.0
636.0,611.0,442.0,497.0
637.0,611.0,443.0,496.0
