NO2,C2H5OH,VOC,CO
400.0,485.0,311.0,341.0
400.0,485.0,312.0,364.0
403.0,486.0,312.0,383.0
402.0,486.0,312.0,398.0
405.0,487.0,314.0,405.0
407.0,488.0,315.0,409.0
409.0,488.0,314.0,413.0
411.0,489.0,316.0,413.0
415.0,489.0,316.0,415.0
417.0,490.0,316.0,422.0
419.0,491.0,317.0,428.0
422.0,492.0,318.0,432.0
423.0,492.0,319.0,432.0
426.0,493.0,320.0,431.0
432.0,493.0,321.0,433.0
434.0,495.0,322.0,439.0
437.0,495.0,323.0,441.0
440.0,496.0,324.0,445.0
442.0,497.0,325.0,446.0
444.0,498.0,326.0,447.0
449.0,499.0,327.0,449.0
451.0,500.0,327.0,452.0
454.0,501.0,329.0,453.0
456.0,502.0,329.0,455.0
458.0,503.0,330.0,456.0
459.0,504.0,330.0,455.0
459.0,504.0,331.0,454.0
463.0,505.0,333.0,457.0
465.0,506.0,333.0,457.0
466.0,506.0,333.0,454.0
468.0,508.0,335.0,454.0
471.0,508.0,336.0,456.0
472.0,508.0,336.0,461.0
475.0,511.0,337.0,463.0
476.0,510.0,339.0,465.0
478.0,512.0,340.0,465.0
479.0,513.0,341.0,465.0
481.0,513.0,342.0,464.0
484.0,514.0,342.0,464.0
486.0,516.0,343.0,465.0
486.0,516.0,344.0,462.0
487.0,516.0,344.0,463.0
489.0,518.0,346.0,468.0
492.0,518.0,346.0,471.0
494.0,518.0,348.0,472.0
497.0,521.0,348.0,473.0
498.0,521.0,349.0,471.0
500.0,522.0,349.0,473.0
502.0,522.0,351.0,476.0
505.0,524.0,353.0,478.0
507.0,524.0,353.0,475.0
507.0,525.0,353.0,473.0
507.0,527.0,354.0,472.0
509.0,527.0,355.0,477.0
513.0,528.0,357.0,480.0
517.0,530.0,358.0,482.0
518.0,531.0,358.0,485.0
520.0,533.0,360.0,484.0
520.0,533.0,360.0,482.0
521.0,534.0,361.0,480.0
524.0,535.0,363.0,482.0
527.0,536.0,363.0,486.0
528.0,538.0,365.0,489.0
530.0,538.0,366.0,489.0
531.0,540.0,367.0,490.0
532.0,540.0,368.0,490.0
534.0,542.0,369.0,490.0
537.0,542.0,370.0,493.0
540.0,544.0,372.0,493.0
540.0,544.0,373.0,493.0
543.0,546.0,374.0,493.0
545.0,548.0,374.0,494.0
546.0,549.0,375.0,494.0
549.0,550.0,377.0,496.0
550.0,551.0,379.0,496.0
551.0,551.0,379.0,496.0
551.0,552.0,380.0,494.0
552.0,553.0,381.0,493.0
552.0,554.0,381.0,490.0
552.0,554.0,381.0,488.0
554.0,555.0,382.0,489.0
555.0,555.0,382.0,492.0
556.0,556.0,384.0,492.0
557.0,557.0,384.0,491.0
557.0,559.0,385.0,494.0
558.0,559.0,386.0,495.0
559.0,559.0,387.0,496.0
562.0,560.0,388.0,498.0
563.0,561.0,389.0,498.0
564.0,562.0,390.0,497.0
