NO2,C2H5OH,VOC,CO
636.0,665.0,511.0,536.0
636.0,666.0,511.0,536.0
635.0,665.0,510.0,532.0
634.0,664.0,509.0,531.0
633.0,664.0,509.0,535.0
635.0,664.0,510.0,537.0
637.0,664.0,511.0,539.0
637.0,665.0,510.0,538.0
636.0,666.0,511.0,535.0
636.0,665.0,511.0,534.0
635.0,664.0,510.0,533.0
635.0,664.0,510.0,530.0
631.0,662.0,509.0,524.0
630.0,661.0,507.0,526.0
630.0,661.0,508.0,532.0
632.0,662.0,508.0,535.0
634.0,662.0,508.0,534.0
632.0,662.0,508.0,532.0
632.0,661.0,508.0,530.0
630.0,661.0,508.0,530.0
631.0,660.0,508.0,531.0
632.0,661.0,508.0,534.0
634.0,662.0,508.0,535.0
635.0,662.0,508.0,536.0
635.0,663.0,509.0,536.0
634.0,663.0,509.0,536.0
635.0,663.0,509.0,536.0
635.0,664.0,509.0,536.0
635.0,664.0,510.0,536.0
636.0,664.0,510.0,537.0
636.0,664.0,510.0,537.0
635.0,665.0,510.0,536.0
636.0,665.0,510.0,536.0
635.0,664.0,510.0,537.0
636.0,665.0,510.0,537.0
635.0,665.0,511.0,538.0
635.0,665.0,510.0,537.0
636.0,665.0,510.0,537.0
635.0,665.0,510.0,538.0
636.0,666.0,510.0,538.0
636.0,666.0,510.0,539.0
635.0,666.0,511.0,539.0
636.0,667.0,510.0,539.0
635.0,666.0,511.0,538.0
636.0,665.0,511.0,538.0
636.0,666.0,511.0,538.0
636.0,666.0,512.0,540.0
636.0,667.0,511.0,539.0
636.0,666.0,512.0,539.0
635.0,667.0,512.0,539.0
634.0,666.0,512.0,538.0
635.0,666.0,511.0,538.0
635.0,666.0,512.0,538.0
634.0,667.0,512.0,537.0
635.0,667.0,511.0,537.0
635.0,666.0,512.0,540.0
635.0,666.0,511.0,539.0
634.0,667.0,512.0,539.0
634.0,667.0,511.0,538.0
634.0,666.0,511.0,537.0
634.0,667.0,511.0,538.0
634.0,665.0,512.0,540.0
635.0,666.0,511.0,538.0
634.0,667.0,512.0,539.0
635.0,667.0,511.0,538.0
633.0,666.0,512.0,536.0
632.0,666.0,511.0,536.0
632.0,665.0,510.0,536.0
633.0,665.0,510.0,538.0
632.0,665.0,511.0,538.0
632.0,665.0,511.0,535.0
631.0,664.0,510.0,532.0
629.0,664.0,509.0,533.0
629.0,663.0,508.0,535.0
630.0,664.0,509.0,537.0
631.0,664.0,508.0,538.0
632.0,665.0,510.0,538.0
632.0,665.0,510.0,538.0
631.0,665.0,510.0,537.0
631.0,664.0,510.0,536.0
630.0,664.0,509.0,537.0
631.0,664.0,510.0,538.0
631.0,664.0,509.0,538.0
632.0,665.0,510.0,538.0
633.0,665.0,511.0,539.0
632.0,665.0,511.0,540.0
633.0,666.0,511.0,539.0
632.0,665.0,510.0,538.0
632.0,665.0,510.0,538.0
632.0,664.0,511.0,538.0
