NO2,C2H5OH,VOC,CO
525.0,561.0,394.0,521.0
526.0,562.0,396.0,521.0
528.0,562.0,395.0,522.0
528.0,563.0,396.0,523.0
529.0,565.0,398.0,524.0
530.0,565.0,399.0,525.0
531.0,565.0,400.0,525.0
531.0,567.0,400.0,525.0
531.0,567.0,401.0,526.0
532.0,568.0,401.0,526.0
533.0,568.0,402.0,527.0
534.0,570.0,404.0,527.0
534.0,570.0,404.0,527.0
535.0,571.0,405.0,525.0
535.0,572.0,406.0,526.0
536.0,573.0,407.0,526.0
537.0,573.0,407.0,525.0
537.0,573.0,408.0,527.0
538.0,575.0,408.0,527.0
539.0,575.0,409.0,526.0
540.0,576.0,410.0,528.0
541.0,576.0,411.0,527.0
541.0,577.0,412.0,527.0
541.0,578.0,411.0,528.0
542.0,579.0,412.0,527.0
543.0,580.0,414.0,528.0
544.0,580.0,414.0,529.0
544.0,580.0,416.0,529.0
546.0,582.0,416.0,529.0
547.0,582.0,416.0,530.0
548.0,582.0,418.0,532.0
547.0,583.0,419.0,531.0
548.0,584.0,419.0,531.0
549.0,585.0,420.0,530.0
548.0,585.0,419.0,532.0
549.0,587.0,421.0,531.0
550.0,586.0,421.0,531.0
550.0,587.0,422.0,531.0
551.0,588.0,423.0,532.0
551.0,588.0,423.0,532.0
551.0,589.0,423.0,532.0
551.0,589.0,424.0,531.0
551.0,590.0,425.0,530.0
551.0,589.0,425.0,530.0
551.0,590.0,424.0,530.0
551.0,590.0,425.0,530.0
552.0,591.0,426.0,529.0
550.0,590.0,425.0,526.0
551.0,590.0,426.0,526.0
551.0,590.0,426.0,528.0
551.0,591.0,426.0,529.0
552.0,592.0,426.0,530.0
552.0,592.0,428.0,529.0
552.0,592.0,427.0,525.0
551.0,592.0,427.0,523.0
550.0,592.0,427.0,526.0
551.0,592.0,428.0,529.0
554.0,593.0,428.0,534.0
555.0,594.0,430.0,534.0
556.0,594.0,431.0,533.0
556.0,596.0,431.0,533.0
557.0,596.0,431.0,535.0
558.0,596.0,433.0,534.0
558.0,597.0,434.0,534.0
560.0,598.0,435.0,536.0
561.0,599.0,436.0,537.0
561.0,600.0,435.0,537.0
562.0,600.0,437.0,536.0
562.0,601.0,437.0,535.0
561.0,602.0,438.0,535.0
562.0,602.0,438.0,535.0
563.0,602.0,439.0,535.0
564.0,603.0,440.0,536.0
564.0,604.0,441.0,533.0
565.0,605.0,441.0,535.0
566.0,605.0,441.0,536.0
567.0,606.0,442.0,536.0
565.0,606.0,443.0,536.0
567.0,606.0,444.0,536.0
567.0,607.0,444.0,536.0
567.0,608.0,445.0,537.0
568.0,608.0,445.0,538.0
568.0,609.0,445.0,539.0
568.0,609.0,446.0,537.0
568.0,609.0,446.0,535.0
568.0,610.0,446.0,533.0
568.0,609.0,445.0,531.0
568.0,609.0,447.0,532.0
566.0,610.0,446.0,531.0
567.0,609.0,447.0,531.0
