NO2,C2H5OH,VOC,CO
586.0,630.0,471.0,543.0
585.0,630.0,470.0,543.0
587.0,630.0,472.0,543.0
586.0,630.0,471.0,542.0
586.0,630.0,471.0,541.0
585.0,631.0,472.0,543.0
587.0,632.0,472.0,545.0
586.0,632.0,473.0,545.0
586.0,632.0,473.0,543.0
585.0,632.0,473.0,539.0
584.0,631.0,473.0,538.0
585.0,632.0,473.0,540.0
584.0,631.0,472.0,541.0
585.0,631.0,473.0,542.0
587.0,633.0,473.0,542.0
587.0,633.0,473.0,542.0
587.0,633.0,474.0,541.0
588.0,634.0,473.0,541.0
589.0,634.0,474.0,542.0
589.0,634.0,475.0,545.0
589.0,634.0,475.0,544.0
589.0,635.0,476.0,543.0
590.0,635.0,477.0,544.0
590.0,635.0,477.0,544.0
591.0,636.0,477.0,545.0
590.0,636.0,478.0,542.0
590.0,635.0,478.0,541.0
589.0,636.0,477.0,540.0
589.0,635.0,478.0,540.0
588.0,635.0,477.0,539.0
587.0,634.0,476.0,538.0
586.0,634.0,477.0,538.0
587.0,634.0,475.0,538.0
587.0,634.0,476.0,540.0
587.0,634.0,476.0,538.0
586.0,634.0,476.0,538.0
586.0,633.0,475.0,540.0
587.0,635.0,476.0,543.0
589.0,635.0,477.0,545.0
589.0,636.0,477.0,545.0
589.0,636.0,478.0,544.0
590.0,636.0,478.0,544.0
589.0,636.0,479.0,542.0
589.0,637.0,478.0,543.0
591.0,637.0,479.0,545.0
591.0,637.0,479.0,543.0
590.0,637.0,480.0,540.0
590.0,637.0,479.0,541.0
590.0,638.0,480.0,543.0
591.0,639.0,480.0,544.0
591.0,639.0,480.0,545.0
592.0,639.0,480.0,544.0
591.0,639.0,480.0,544.0
592.0,639.0,481.0,543.0
592.0,639.0,480.0,544.0
592.0,639.0,482.0,543.0
591.0,640.0,480.0,542.0
592.0,639.0,481.0,543.0
592.0,639.0,481.0,544.0
592.0,640.0,482.0,544.0
593.0,640.0,482.0,544.0
592.0,640.0,481.0,543.0
593.0,641.0,482.0,544.0
594.0,641.0,483.0,546.0
593.0,641.0,483.0,544.0
594.0,642.0,483.0,546.0
594.0,642.0,483.0,546.0
594.0,642.0,484.0,544.0
594.0,642.0,484.0,544.0
594.0,642.0,484.0,543.0
595.0,641.0,484.0,544.0
594.0,642.0,485.0,544.0
594.0,642.0,484.0,544.0
594.0,642.0,485.0,544.0
594.0,642.0,485.0,545.0
594.0,643.0,486.0,544.0
595.0,643.0,485.0,544.0
595.0,643.0,485.0,544.0
595.0,643.0,485.0,545.0
596.0,643.0,485.0,544.0
596.0,644.0,486.0,544.0
596.0,644.0,487.0,545.0
596.0,644.0,487.0,544.0
596.0,644.0,486.0,545.0
597.0,645.0,487.0,545.0
595.0,645.0,486.0,544.0
595.0,644.0,487.0,544.0
596.0,644.0,487.0,543.0
595.0,644.0,486.0,543.0
596.0,644.0,487.0,544.0
