NO2,C2H5OH,VOC,CO
288.0,334.0,202.0,370.0
291.0,336.0,204.0,394.0
297.0,340.0,207.0,417.0
302.0,344.0,210.0,430.0
308.0,348.0,213.0,436.0
312.0,352.0,215.0,432.0
316.0,356.0,219.0,431.0
322.0,358.0,221.0,437.0
326.0,363.0,223.0,447.0
333.0,368.0,227.0,460.0
338.0,373.0,230.0,470.0
344.0,378.0,235.0,476.0
349.0,383.0,238.0,479.0
355.0,387.0,242.0,482.0
359.0,392.0,245.0,486.0
365.0,397.0,249.0,495.0
369.0,401.0,252.0,497.0
374.0,406.0,256.0,498.0
378.0,410.0,259.0,498.0
383.0,414.0,263.0,497.0
387.0,418.0,267.0,497.0
391.0,422.0,269.0,500.0
394.0,426.0,273.0,504.0
398.0,431.0,276.0,506.0
402.0,434.0,279.0,506.0
405.0,438.0,282.0,506.0
409.0,442.0,285.0,507.0
411.0,445.0,288.0,507.0
415.0,449.0,291.0,506.0
419.0,452.0,294.0,505.0
420.0,455.0,297.0,507.0
423.0,458.0,299.0,510.0
427.0,461.0,302.0,513.0
429.0,465.0,304.0,515.0
432.0,467.0,307.0,513.0
433.0,470.0,309.0,513.0
435.0,473.0,311.0,512.0
438.0,475.0,314.0,515.0
440.0,476.0,316.0,517.0
443.0,479.0,319.0,520.0
444.0,483.0,321.0,522.0
446.0,485.0,324.0,523.0
449.0,487.0,325.0,523.0
451.0,489.0,328.0,524.0
453.0,491.0,331.0,527.0
456.0,493.0,333.0,529.0
458.0,496.0,335.0,531.0
460.0,498.0,337.0,532.0
462.0,500.0,340.0,532.0
463.0,502.0,342.0,534.0
466.0,504.0,344.0,533.0
467.0,505.0,345.0,535.0
470.0,508.0,349.0,536.0
471.0,509.0,350.0,537.0
472.0,512.0,353.0,536.0
473.0,514.0,355.0,536.0
475.0,515.0,356.0,538.0
475.0,516.0,359.0,538.0
478.0,518.0,360.0,538.0
479.0,520.0,362.0,538.0
481.0,521.0,364.0,538.0
482.0,523.0,365.0,538.0
484.0,524.0,367.0,539.0
482.0,526.0,369.0,538.0
483.0,527.0,370.0,539.0
484.0,528.0,371.0,540.0
485.0,530.0,373.0,539.0
486.0,531.0,375.0,541.0
488.0,532.0,376.0,541.0
488.0,535.0,378.0,541.0
490.0,535.0,379.0,542.0
491.0,537.0,381.0,543.0
492.0,538.0,381.0,542.0
493.0,539.0,383.0,543.0
494.0,540.0,384.0,544.0
496.0,541.0,386.0,543.0
496.0,543.0,387.0,544.0
497.0,544.0,389.0,544.0
498.0,546.0,390.0,544.0
499.0,547.0,390.0,545.0
501.0,547.0,392.0,546.0
502.0,548.0,394.0,545.0
503.0,550.0,395.0,545.0
503.0,551.0,396.0,545.0
505.0,552.0,397.0,544.0
505.0,552.0,398.0,544.0
506.0,553.0,399.0,545.0
508.0,555.0,400.0,546.0
508.0,557.0,401.0,548.0
509.0,557.0,402.0,547.0
