NO2,C2H5OH,VOC,CO
529.0,616.0,466.0,543.0
530.0,617.0,466.0,543.0
529.0,617.0,468.0,543.0
530.0,618.0,468.0,543.0
530.0,618.0,468.0,543.0
531.0,618.0,469.0,544.0
533.0,619.0,470.0,544.0
532.0,619.0,471.0,544.0
533.0,620.0,470.0,544.0
533.0,620.0,471.0,544.0
533.0,620.0,472.0,544.0
533.0,620.0,472.0,544.0
534.0,621.0,473.0,544.0
535.0,622.0,474.0,545.0
535.0,622.0,473.0,544.0
535.0,622.0,474.0,546.0
537.0,623.0,474.0,547.0
538.0,623.0,475.0,546.0
538.0,623.0,476.0,546.0
538.0,624.0,476.0,548.0
539.0,624.0,477.0,547.0
539.0,624.0,477.0,546.0
539.0,625.0,477.0,547.0
541.0,626.0,478.0,547.0
540.0,626.0,478.0,546.0
541.0,627.0,477.0,547.0
542.0,626.0,478.0,548.0
540.0,626.0,479.0,547.0
539.0,626.0,479.0,548.0
540.0,628.0,479.0,548.0
541.0,627.0,481.0,549.0
541.0,628.0,480.0,549.0
542.0,629.0,482.0,549.0
542.0,628.0,482.0,550.0
542.0,630.0,482.0,549.0
542.0,629.0,482.0,549.0
543.0,629.0,482.0,548.0
543.0,630.0,483.0,548.0
543.0,630.0,483.0,549.0
544.0,631.0,483.0,549.0
544.0,631.0,483.0,549.0
544.0,631.0,483.0,550.0
544.0,631.0,485.0,550.0
545.0,632.0,484.0,549.0
545.0,631.0,485.0,549.0
546.0,632.0,486.0,551.0
546.0,632.0,486.0,550.0
546.0,633.0,485.0,551.0
547.0,632.0,486.0,551.0
547.0,633.0,487.0,551.0
546.0,633.0,487.0,551.0
547.0,634.0,486.0,552.0
548.0,634.0,487.0,552.0
548.0,634.0,487.0,551.0
548.0,634.0,488.0,551.0
548.0,635.0,488.0,552.0
549.0,634.0,488.0,551.0
549.0,635.0,489.0,551.0
549.0,635.0,489.0,551.0
549.0,635.0,490.0,551.0
549.0,635.0,489.0,550.0
550.0,636.0,490.0,552.0
551.0,636.0,491.0,551.0
550.0,637.0,491.0,552.0
550.0,637.0,490.0,551.0
551.0,637.0,491.0,552.0
551.0,637.0,491.0,552.0
551.0,637.0,491.0,553.0
550.0,638.0,491.0,552.0
552.0,637.0,492.0,552.0
552.0,638.0,492.0,553.0
552.0,638.0,492.0,553.0
553.0,638.0,493.0,553.0
552.0,638.0,493.0,551.0
553.0,638.0,493.0,552.0
553.0,639.0,493.0,553.0
553.0,638.0,494.0,552.0
554.0,639.0,494.0,552.0
554.0,639.0,495.0,552.0
554.0,639.0,494.0,553.0
554.0,640.0,494.0,554.0
555.0,640.0,494.0,553.0
555.0,640.0,495.0,555.0
555.0,641.0,495.0,553.0
555.0,641.0,495.0,554.0
555.0,641.0,495.0,554.0
556.0,641.0,496.0,555.0
555.0,642.0,497.0,555.0
555.0,641.0,497.0,555.0
556.0,642.0,497.0,554.0
