NO2,C2H5OH,VOC,CO
572.0,656.0,514.0,561.0
573.0,656.0,515.0,561.0
573.0,657.0,514.0,561.0
573.0,656.0,515.0,562.0
574.0,656.0,515.0,562.0
574.0,657.0,515.0,562.0
573.0,656.0,515.0,562.0
573.0,657.0,516.0,561.0
573.0,657.0,515.0,561.0
573.0,656.0,516.0,563.0
574.0,656.0,516.0,562.0
573.0,656.0,516.0,563.0
574.0,657.0,516.0,563.0
574.0,657.0,516.0,563.0
574.0,657.0,515.0,562.0
574.0,658.0,516.0,562.0
574.0,657.0,516.0,562.0
573.0,658.0,516.0,563.0
574.0,658.0,516.0,562.0
574.0,657.0,516.0,562.0
574.0,657.0,516.0,563.0
575.0,657.0,517.0,562.0
574.0,658.0,517.0,563.0
575.0,657.0,517.0,562.0
575.0,657.0,517.0,562.0
575.0,658.0,518.0,563.0
576.0,658.0,517.0,563.0
575.0,658.0,517.0,564.0
575.0,658.0,518.0,563.0
576.0,658.0,518.0,563.0
575.0,658.0,518.0,563.0
576.0,658.0,517.0,563.0
576.0,658.0,518.0,563.0
575.0,658.0,518.0,563.0
576.0,659.0,518.0,564.0
576.0,659.0,518.0,563.0
577.0,658.0,517.0,563.0
577.0,658.0,518.0,563.0
577.0,659.0,518.0,563.0
578.0,659.0,518.0,563.0
577.0,659.0,519.0,565.0
576.0,660.0,519.0,565.0
577.0,660.0,518.0,565.0
578.0,659.0,518.0,564.0
578.0,660.0,518.0,564.0
577.0,659.0,519.0,564.0
577.0,659.0,520.0,564.0
578.0,659.0,520.0,564.0
577.0,660.0,519.0,564.0
577.0,660.0,519.0,563.0
577.0,660.0,519.0,564.0
577.0,659.0,519.0,563.0
578.0,660.0,519.0,564.0
577.0,660.0,520.0,565.0
578.0,660.0,520.0,564.0
577.0,660.0,520.0,563.0
578.0,660.0,520.0,564.0
578.0,661.0,520.0,564.0
579.0,660.0,520.0,563.0
579.0,660.0,521.0,563.0
579.0,660.0,521.0,564.0
578.0,661.0,520.0,564.0
578.0,660.0,521.0,564.0
578.0,660.0,520.0,564.0
579.0,660.0,520.0,564.0
578.0,662.0,520.0,565.0
578.0,661.0,520.0,565.0
579.0,661.0,521.0,564.0
578.0,660.0,521.0,564.0
578.0,661.0,521.0,565.0
579.0,661.0,521.0,565.0
579.0,661.0,521.0,563.0
580.0,661.0,521.0,564.0
578.0,661.0,522.0,564.0
580.0,661.0,520.0,564.0
580.0,661.0,521.0,563.0
579.0,661.0,521.0,564.0
579.0,662.0,521.0,564.0
579.0,661.0,522.0,564.0
579.0,661.0,521.0,565.0
579.0,662.0,521.0,565.0
579.0,662.0,522.0,565.0
579.0,662.0,522.0,565.0
580.0,662.0,522.0,565.0
580.0,662.0,522.0,564.0
579.0,662.0,522.0,565.0
580.0,662.0,522.0,565.0
579.0,661.0,522.0,566.0
579.0,661.0,522.0,565.0
580.0,661.0,523.0,564.0
