NO2,C2H5OH,VOC,CO
41,62,90,728
42,62,89,728
42,62,89,728
41,62,89,728
41,63,89,729
41,62,89,730
41,62,88,729
40,62,88,729
40,62,88,730
40,62,88,730
40,62,89,730
41,62,88,731
40,62,88,730
40,62,88,730
40,62,88,731
40,63,88,731
40,62,88,731
40,62,88,731
40,62,87,731
39,62,87,731
40,62,87,732
40,63,87,732
40,62,87,731
40,62,87,732
39,62,87,732
39,62,87,733
39,62,87,734
39,62,87,734
40,63,87,734
39,63,87,735
39,63,87,735
39,63,87,736
39,63,87,737
39,63,87,738
39,63,87,738
39,63,87,739
39,63,87,740
39,63,87,742
39,64,88,742
39,64,88,742
39,63,87,742
39,63,87,742
38,64,87,742
39,63,87,743
39,63,87,742
39,64,87,742
39,64,87,743
39,63,87,743
39,63,88,743
39,64,88,744
39,64,87,744
39,64,88,744
39,64,88,745
39,64,87,745
39,64,88,745
39,64,88,745
39,64,88,745
39,64,88,747
39,65,88,747
39,65,88,746
39,64,88,747
39,64,88,747
39,64,88,747
39,65,88,747
39,64,88,747
38,64,88,747
38,64,88,747
39,64,87,747
39,64,88,747
38,65,88,746
39,64,88,747
39,64,88,747
39,64,88,747
39,64,88,748
39,64,88,747
39,64,88,748
39,64,88,748
39,64,88,748
39,65,88,748
39,64,88,748
38,64,88,748
39,64,88,748
39,64,88,747
39,64,88,747
39,64,88,747
39,64,88,747
39,64,88,747
39,65,89,748
38,65,89,749
39,65,88,749
39,65,88,749
39,65,88,749
39,65,88,750
39,65,88,750
39,65,88,751
39,66,89,751
39,65,89,751
39,65,88,751
40,65,89,751
39,65,89,751
39,66,89,751
39,65,89,752
39,66,89,752
39,66,89,752
39,65,89,752
40,65,89,752
40,65,89,752
39,66,89,752
39,65,89,752
39,66,89,752
39,65,90,753
39,65,90,752
40,65,90,753
39,65,89,753
40,66,90,753
39,66,90,753
39,66,90,753
39,66,90,755
39,66,90,754
38,66,89,754
40,66,90,753
40,66,90,754
39,66,90,753
40,66,90,754
40,66,91,754
40,66,91,755
40,66,90,755
40,67,91,755
40,66,91,754
40,66,91,755
40,66,91,755
40,67,90,755
40,66,90,754
40,66,90,754
40,66,90,755
40,67,91,754
40,66,90,755
40,66,91,755
40,66,91,755
40,66,91,755
40,66,91,756
40,66,91,756
40,67,91,756
40,67,91,756
40,67,91,756
41,67,92,756
40,66,91,755
40,66,91,755
41,67,91,755
41,67,92,756
40,67,92,756
41,67,92,757
41,67,92,756
40,67,92,756
40,66,92,756
41,67,92,756
41,67,92,756
40,67,92,755
41,67,92,756
41,67,93,756
41,67,92,756
41,67,92,757
40,67,93,756
41,67,93,756
41,67,93,756
41,67,93,757
40,67,94,757
41,67,93,757
41,67,94,757
41,67,94,757
41,67,94,757
41,67,94,757
41,67,94,756
41,67,94,757
41,67,94,757
41,67,94,757
41,67,94,757
41,67,94,757
41,67,95,758
41,67,95,758
41,67,95,758
41,67,96,759
41,68,95,758
42,68,96,758
41,68,95,758
42,67,95,759
41,67,95,758
41,68,95,758
42,67,96,758
42,67,96,759
42,67,96,759
42,68,97,758
42,67,97,759
42,67,96,759
42,67,97,758
42,67,97,757
42,67,97,758
42,67,96,758
42,67,96,756
42,67,97,757
41,67,97,756
42,67,96,756
42,66,97,756
42,67,97,757
42,67,97,757
42,67,98,757
42,67,97,756
42,67,98,756
42,67,98,758
