NO2,C2H5OH,VOC,CO
51,66,181,736
51,66,181,736
50,66,181,736
49,66,180,737
49,66,180,736
50,66,179,737
50,66,179,736
49,66,178,736
50,66,178,736
49,66,178,736
49,66,178,737
49,65,178,737
49,65,177,737
49,65,177,737
49,65,177,737
49,65,176,738
49,66,177,737
48,66,177,738
49,66,177,739
49,66,176,739
49,66,177,740
49,66,176,741
49,66,177,741
48,66,176,741
48,66,176,742
49,66,176,742
49,66,177,743
48,66,177,744
49,66,177,744
49,66,177,744
48,67,176,744
48,66,176,744
49,66,176,744
49,66,176,744
48,66,176,744
49,67,174,743
48,66,175,744
48,66,174,743
48,66,174,743
48,66,174,743
48,66,173,743
48,66,173,743
48,66,173,743
48,66,173,743
48,66,173,743
48,66,173,743
48,66,173,743
48,66,173,744
48,67,174,744
48,66,173,744
48,66,173,745
48,66,173,744
48,66,172,745
48,66,173,745
48,67,172,745
48,66,172,745
48,67,172,745
48,67,173,745
47,66,173,746
48,67,172,746
48,66,172,746
48,66,172,745
48,67,171,745
48,67,171,744
48,66,170,744
48,66,171,744
48,66,170,744
48,66,170,744
48,66,170,744
47,66,170,744
47,66,169,743
48,66,169,743
48,66,169,743
47,66,169,743
48,66,169,744
47,66,169,744
47,66,169,744
48,67,169,745
47,66,169,745
48,66,169,745
47,66,169,745
48,67,169,744
47,66,169,745
47,66,169,745
48,66,168,745
47,66,169,745
47,66,169,745
47,66,169,746
48,66,168,747
48,66,169,746
47,66,169,746
47,67,169,746
48,66,169,747
48,66,169,747
48,67,169,747
47,66,169,747
47,66,169,748
48,67,168,748
48,67,168,747
47,67,168,747
48,67,168,748
48,67,168,747
48,67,168,747
48,67,168,747
47,67,168,748
48,67,167,747
48,67,167,747
47,66,168,747
48,66,167,747
48,67,167,747
47,67,167,747
47,67,166,747
48,67,166,747
48,67,167,747
47,67,166,747
47,67,166,747
48,67,166,747
48,67,166,747
47,67,167,746
48,66,167,747
48,67,167,747
48,67,167,747
48,67,166,747
48,66,165,746
47,66,165,745
48,66,165,746
48,66,165,745
47,67,164,745
47,67,164,745
48,66,163,745
48,67,164,745
48,67,164,744
48,66,164,745
48,67,163,745
48,66,164,744
48,67,164,745
48,66,163,745
48,67,163,746
48,67,163,745
48,66,163,746
48,66,164,745
48,66,163,745
47,67,163,745
47,67,162,745
47,66,162,745
47,66,162,745
48,67,162,745
48,67,162,745
48,67,163,745
48,67,163,746
48,67,162,746
47,67,163,746
48,66,163,746
47,67,163,745
48,67,163,746
48,66,162,746
48,67,162,746
47,67,162,747
48,67,162,746
48,67,162,747
47,67,162,746
48,67,161,746
48,67,161,746
