NO2,C2H5OH,VOC,CO
44,65,123,729
44,65,122,730
44,65,123,729
44,65,123,730
44,65,123,730
44,65,122,729
43,65,122,729
44,65,122,730
43,65,121,730
43,65,121,730
43,65,121,731
43,65,121,732
43,65,121,731
43,65,121,731
43,65,121,731
42,64,121,731
42,65,121,732
43,65,120,731
43,65,120,732
42,65,120,733
43,65,120,733
43,65,119,732
43,65,119,733
43,64,120,734
42,64,120,734
42,65,119,734
43,65,119,734
42,65,119,735
42,65,119,734
42,65,119,735
42,65,118,735
42,65,119,735
42,65,118,735
42,65,118,736
42,65,118,736
42,65,118,736
41,65,117,736
42,64,118,736
41,65,118,735
42,65,118,735
42,65,118,735
42,66,118,737
42,65,117,736
42,66,117,737
41,65,118,737
42,66,118,738
42,65,117,738
42,65,117,739
42,66,117,739
42,65,118,739
41,66,117,740
42,65,117,740
41,66,117,740
42,66,117,741
42,66,118,742
42,66,117,742
42,66,117,743
41,66,117,743
41,66,117,743
41,66,118,743
41,66,117,743
42,66,117,743
42,66,117,743
41,66,117,743
41,66,117,743
42,66,117,743
41,66,117,742
42,66,117,742
42,66,116,742
42,66,116,742
41,66,116,743
42,66,116,742
42,66,116,742
42,66,116,742
42,66,116,742
42,66,116,742
41,66,116,744
41,66,116,743
41,66,115,743
42,67,116,743
41,67,116,743
41,66,116,743
41,66,115,743
41,66,115,743
42,66,116,743
41,66,115,742
41,66,116,743
41,66,115,743
42,66,115,743
41,66,115,743
42,66,115,743
42,66,115,743
41,66,114,743
42,66,115,743
41,67,115,744
42,66,115,744
42,67,115,744
41,66,115,744
42,66,115,744
41,66,115,744
41,67,114,744
41,66,115,744
42,66,115,745
41,66,115,745
41,66,115,744
42,66,115,745
41,67,114,744
42,66,115,744
41,67,114,744
41,67,115,744
41,67,114,745
41,67,114,744
42,66,114,745
42,67,114,745
41,66,114,746
41,67,115,745
42,66,114,745
41,66,114,746
42,66,114,746
42,67,115,746
41,67,114,747
42,67,115,747
42,67,115,747
41,67,115,748
42,67,115,748
42,67,115,749
42,67,114,748
42,67,115,748
42,67,114,747
42,67,114,748
41,67,114,747
42,67,114,747
42,67,114,746
42,67,115,746
42,67,114,746
42,67,114,746
42,67,114,746
42,67,114,746
42,67,114,746
42,67,114,746
42,67,114,745
42,67,114,746
42,67,113,745
42,66,114,745
42,67,114,745
42,66,114,745
42,66,114,745
42,67,114,745
42,67,114,745
42,66,114,745
42,66,114,746
42,67,114,746
42,67,114,745
42,66,114,745
42,66,113,744
42,67,114,745
42,66,113,745
42,67,113,745
42,67,113,745
43,67,114,746
42,67,113,746
43,67,114,747
43,67,114,747
42,67,113,747
42,67,114,747
42,67,114,748
42,67,114,747
43,67,114,748
42,67,114,748
43,67,114,748
42,68,114,749
42,68,114,750
42,67,115,750
43,67,114,749
42,68,114,750
43,68,114,750
43,68,114,749
42,67,114,749
43,67,114,749
42,67,114,748
43,67,114,749
42,67,114,749
43,67,114,748
42,67,114,749
43,67,114,748
42,67,113,748
43,68,114,748
43,68,114,748
42,67,114,748
43,67,114,748
43,68,114,749
43,68,114,749
43,67,114,750
43,68,114,750
43,68,114,749
43,68,114,749
43,67,114,749
42,67,114,749
42,67,114,749
43,68,114,750
43,68,114,750
43,68,114,750
43,67,114,750
43,67,114,749
43,68,114,749
43,68,114,749
43,67,114,749
43,68,114,749
43,67,114,748
43,67,114,749
43,68,114,748
43,67,114,749
43,67,113,749
43,68,114,749
43,68,114,748
43,68,114,748
43,68,114,749
43,68,114,749
43,68,114,749
43,68,114,750
44,68,115,750
44,68,115,751
43,68,115,751
43,68,114,751
44,67,114,751
44,68,114,751
44,68,115,751
44,68,114,751
44,69,114,751
44,68,114,750
43,68,115,750
44,68,115,751
44,68,114,751
44,68,115,750
43,68,114,751
43,68,114,751
43,68,114,751
44,68,115,751
44,68,114,751
44,68,115,752
44,68,115,752
44,68,115,752
44,68,115,752
44,69,115,753
44,69,116,753
44,69,115,754
44,69,116,755
44,69,116,754
44,69,115,754
44,69,115,754
44,68,115,753
43,68,115,752
44,68,115,751
44,67,114,750
44,68,115,750
44,67,115,750
44,68,115,751
44,68,115,750
44,67,114,750
44,68,114,749
43,67,114,749
43,68,114,749
44,68,114,748
44,68,114,749
44,68,115,751
44,68,115,750
45,68,115,751
44,68,115,752
44,68,116,752
44,69,115,752
44,69,115,752
45,68,116,752
45,68,116,753
44,69,115,752
44,69,116,754
44,69,117,754
45,69,117,755
44,69,117,755
44,69,117,755
45,69,117,755
45,69,116,755
45,69,117,754
44,69,117,754
45,69,117,754
45,70,117,755
45,69,116,754
45,69,116,754
44,69,117,754
45,69,117,753
45,68,116,753
44,69,116,752
45,69,117,752
45,68,116,752
44,69,116,751
45,69,116,751
44,69,117,752
45,68,116,752
44,68,117,752
45,68,116,753
45,69,117,753
45,68,117,754
45,69,117,753
45,69,117,753
45,69,117,754
44,69,117,754
44,69,117,755
45,69,118,755
45,69,117,754
45,69,117,754
45,69,118,754
44,69,117,753
45,69,117,753
45,69,118,754
45,69,117,753
45,69,117,753
45,69,116,752
45,68,116,751
45,68,116,750
45,68,117,751
45,68,117,750
45,68,117,750
45,68,117,750
45,69,117,750
45,68,117,750
45,69,117,751
45,69,117,751
45,69,117,750
45,69,117,750
45,68,117,751
45,68,116,751
45,68,117,750
45,68,117,751
45,68,118,752
45,69,118,753
45,69,118,753
45,69,118,753
45,69,118,754
46,69,118,753
46,69,118,754
45,69,119,754
46,68,118,753
45,68,118,752
45,68,118,752
45,69,118,752
46,68,117,751
45,68,118,751
45,68,118,751
46,69,118,751
46,68,118,751
45,68,117,752
46,68,118,751
46,69,118,752
46,68,118,752
46,69,119,753
46,69,118,752
46,69,119,753
45,69,119,753
46,69,119,753
46,69,118,753
45,69,119,754
46,69,119,754
45,69,119,754
45,70,119,754
46,70,119,755
46,69,120,755
46,69,120,755
46,69,120,756
46,70,120,755
45,70,120,756
46,70,120,756
46,70,120,756
46,70,120,756
46,70,120,756
46,70,121,756
46,70,120,756
46,69,120,755
46,69,120,755
46,70,120,755
46,70,120,756
46,70,121,756
46,70,120,756
46,70,120,756
46,70,120,756
46,70,120,755
46,70,120,755
46,70,121,755
46,70,121,755
46,70,120,755
47,70,120,755
46,70,120,755
47,70,120,755
46,70,120,755
46,70,121,755
47,70,121,756
47,70,121,755
46,70,121,755
46,70,121,755
47,69,120,755
46,70,120,755
46,69,121,754
46,69,121,755
46,70,121,755
46,70,121,755
47,70,121,755
46,70,121,756
47,69,121,755
46,69,120,754
47,70,121,753
46,69,121,753
47,69,121,754
46,69,121,753
46,69,121,753
47,70,121,754
46,69,121,753
46,69,121,752
46,70,121,754
47,70,121,754
46,70,121,754
47,70,122,754
47,69,122,755
47,70,122,755
47,70,121,755
46,70,122,755
47,70,122,754
46,69,121,752
46,69,120,752
47,69,120,750
46,69,120,751
47,69,121,752
47,69,121,752
46,69,121,754
46,70,121,753
46,70,122,754
47,70,122,754
47,70,122,755
47,70,122,756
47,70,122,755
46,70,123,756
47,70,122,756
47,70,122,756
47,70,123,757
47,70,122,756
47,70,122,756
47,70,122,756
47,70,122,757
47,71,123,757
47,70,123,757
47,71,123,758
47,71,123,757
47,70,123,757
47,71,124,758
47,71,123,759
47,71,124,759
47,71,124,759
47,71,124,758
47,71,123,759
48,71,124,758
47,71,124,759
48,71,124,758
47,71,125,758
47,71,124,758
47,71,124,758
48,71,124,757
47,71,125,759
48,70,125,759
48,71,124,758
48,71,125,758
47,71,125,758
48,71,125,759
48,70,126,759
48,71,126,759
48,70,126,759
48,71,126,759
48,71,126,759
48,71,125,758
48,71,126,758
47,71,126,757
48,71,125,757
48,71,126,757
48,70,125,758
48,71,125,757
