NO2,C2H5OH,VOC,CO
347.0,547.0,387.0,516.0
348.0,547.0,387.0,516.0
348.0,547.0,387.0,515.0
348.0,546.0,388.0,515.0
348.0,546.0,387.0,516.0
348.0,547.0,387.0,515.0
348.0,547.0,387.0,515.0
348.0,546.0,387.0,515.0
349.0,547.0,387.0,515.0
348.0,546.0,388.0,515.0
349.0,547.0,387.0,514.0
348.0,547.0,387.0,514.0
348.0,547.0,388.0,515.0
348.0,547.0,387.0,513.0
348.0,547.0,388.0,514.0
348.0,547.0,387.0,513.0
348.0,547.0,388.0,512.0
348.0,547.0,387.0,514.0
348.0,547.0,387.0,514.0
348.0,547.0,387.0,515.0
348.0,547.0,386.0,514.0
348.0,546.0,387.0,514.0
348.0,547.0,387.0,515.0
348.0,546.0,387.0,515.0
348.0,547.0,387.0,516.0
348.0,547.0,387.0,516.0
348.0,547.0,386.0,516.0
347.0,546.0,387.0,516.0
348.0,548.0,387.0,517.0
349.0,547.0,387.0,517.0
349.0,547.0,387.0,517.0
349.0,547.0,388.0,518.0
349.0,547.0,386.0,516.0
348.0,547.0,388.0,517.0
348.0,548.0,388.0,516.0
349.0,547.0,387.0,516.0
349.0,547.0,388.0,516.0
349.0,548.0,388.0,515.0
350.0,548.0,388.0,515.0
349.0,548.0,388.0,515.0
349.0,548.0,388.0,515.0
349.0,548.0,388.0,516.0
349.0,548.0,388.0,516.0
349.0,548.0,388.0,516.0
348.0,548.0,387.0,515.0
348.0,549.0,388.0,516.0
349.0,548.0,387.0,515.0
349.0,548.0,389.0,517.0
349.0,549.0,389.0,516.0
348.0,549.0,388.0,517.0
349.0,548.0,389.0,517.0
349.0,549.0,388.0,515.0
349.0,549.0,388.0,516.0
349.0,549.0,388.0,515.0
349.0,548.0,388.0,517.0
349.0,548.0,387.0,515.0
350.0,548.0,389.0,516.0
350.0,549.0,389.0,516.0
349.0,548.0,389.0,517.0
349.0,549.0,389.0,518.0
349.0,550.0,389.0,518.0
349.0,549.0,388.0,518.0
349.0,549.0,388.0,519.0
349.0,549.0,389.0,519.0
349.0,549.0,390.0,518.0
350.0,550.0,390.0,518.0
349.0,549.0,390.0,518.0
350.0,550.0,390.0,518.0
350.0,550.0,390.0,519.0
349.0,550.0,390.0,518.0
350.0,551.0,390.0,518.0
350.0,551.0,391.0,518.0
350.0,551.0,390.0,517.0
350.0,551.0,391.0,515.0
351.0,550.0,390.0,516.0
349.0,551.0,390.0,515.0
350.0,551.0,391.0,516.0
350.0,551.0,390.0,517.0
350.0,551.0,390.0,516.0
351.0,550.0,391.0,515.0
349.0,551.0,391.0,515.0
351.0,551.0,390.0,514.0
351.0,551.0,391.0,516.0
350.0,551.0,390.0,516.0
351.0,551.0,391.0,516.0
351.0,550.0,391.0,514.0
350.0,551.0,391.0,514.0
350.0,551.0,390.0,516.0
351.0,551.0,391.0,515.0
351.0,551.0,391.0,515.0
