NO2,C2H5OH,VOC,CO
416.0,555.0,338.0,426.0
416.0,556.0,339.0,427.0
417.0,556.0,339.0,426.0
418.0,557.0,340.0,426.0
417.0,559.0,342.0,428.0
418.0,561.0,341.0,428.0
419.0,562.0,342.0,428.0
420.0,562.0,342.0,428.0
420.0,564.0,344.0,430.0
423.0,564.0,345.0,430.0
424.0,566.0,345.0,432.0
426.0,567.0,346.0,432.0
427.0,568.0,347.0,432.0
429.0,569.0,347.0,433.0
430.0,570.0,348.0,432.0
433.0,569.0,349.0,430.0
433.0,571.0,349.0,431.0
435.0,570.0,349.0,429.0
434.0,572.0,349.0,429.0
435.0,572.0,351.0,429.0
435.0,572.0,351.0,430.0
436.0,573.0,351.0,429.0
438.0,574.0,351.0,431.0
437.0,575.0,352.0,434.0
432.0,576.0,352.0,435.0
426.0,577.0,352.0,436.0
423.0,576.0,352.0,437.0
422.0,577.0,352.0,438.0
426.0,578.0,353.0,438.0
428.0,579.0,353.0,437.0
