NO2,C2H5OH,VOC,CO
494.0,639.0,398.0,465.0
495.0,640.0,400.0,464.0
497.0,641.0,401.0,463.0
499.0,642.0,401.0,462.0
498.0,642.0,402.0,460.0
501.0,643.0,403.0,464.0
501.0,644.0,403.0,464.0
501.0,644.0,403.0,463.0
501.0,645.0,404.0,463.0
501.0,646.0,405.0,464.0
503.0,645.0,405.0,462.0
503.0,646.0,406.0,462.0
501.0,646.0,406.0,462.0
497.0,645.0,406.0,460.0
493.0,645.0,406.0,459.0
491.0,644.0,406.0,459.0
491.0,644.0,405.0,456.0
492.0,644.0,406.0,455.0
493.0,644.0,405.0,455.0
494.0,644.0,406.0,454.0
494.0,644.0,405.0,456.0
496.0,644.0,406.0,458.0
495.0,644.0,406.0,460.0
493.0,646.0,407.0,464.0
488.0,645.0,407.0,466.0
481.0,645.0,405.0,465.0
475.0,643.0,405.0,463.0
468.0,642.0,403.0,461.0
463.0,642.0,403.0,461.0
460.0,642.0,402.0,463.0
