NO2,C2H5OH,VOC,CO
512.0,659.0,406.0,451.0
510.0,658.0,405.0,450.0
506.0,658.0,405.0,449.0
504.0,657.0,404.0,447.0
500.0,657.0,403.0,446.0
497.0,656.0,403.0,444.0
494.0,656.0,402.0,444.0
490.0,654.0,400.0,442.0
485.0,654.0,400.0,442.0
481.0,653.0,399.0,440.0
480.0,653.0,398.0,444.0
477.0,652.0,397.0,443.0
477.0,652.0,397.0,446.0
477.0,653.0,398.0,448.0
477.0,654.0,397.0,451.0
477.0,654.0,398.0,454.0
479.0,655.0,399.0,456.0
480.0,656.0,399.0,457.0
481.0,656.0,400.0,456.0
483.0,656.0,401.0,456.0
485.0,656.0,400.0,454.0
487.0,657.0,402.0,452.0
489.0,656.0,401.0,449.0
490.0,656.0,403.0,447.0
492.0,656.0,403.0,445.0
493.0,655.0,402.0,443.0
494.0,654.0,402.0,441.0
495.0,654.0,402.0,438.0
494.0,654.0,402.0,436.0
494.0,653.0,401.0,435.0
