NO2,C2H5OH,VOC,CO
428.0,592.0,352.0,412.0
429.0,592.0,352.0,413.0
428.0,592.0,352.0,411.0
429.0,592.0,352.0,413.0
429.0,593.0,352.0,415.0
429.0,593.0,353.0,416.0
429.0,593.0,352.0,416.0
429.0,592.0,353.0,415.0
430.0,592.0,353.0,414.0
431.0,594.0,353.0,415.0
430.0,593.0,353.0,415.0
432.0,593.0,353.0,415.0
431.0,594.0,354.0,416.0
432.0,593.0,353.0,415.0
432.0,594.0,353.0,416.0
432.0,594.0,353.0,416.0
432.0,594.0,354.0,416.0
433.0,594.0,353.0,418.0
432.0,595.0,354.0,414.0
433.0,595.0,354.0,417.0
434.0,594.0,354.0,418.0
433.0,595.0,354.0,417.0
434.0,595.0,355.0,416.0
433.0,596.0,354.0,418.0
434.0,595.0,355.0,417.0
433.0,596.0,355.0,418.0
434.0,596.0,354.0,418.0
434.0,596.0,355.0,417.0
434.0,596.0,355.0,418.0
434.0,597.0,355.0,417.0
