NO2,C2H5OH,VOC,CO
62,91,170,775
62,91,169,775
61,90,169,775
61,90,169,774
61,90,169,774
61,91,168,774
60,90,167,773
60,90,167,771
60,90,167,772
60,90,166,771
59,90,166,771
58,90,165,771
58,90,164,771
59,90,164,771
58,90,163,771
58,90,163,772
58,90,163,773
57,90,163,773
58,90,163,774
57,90,163,775
57,90,163,775
57,90,162,776
57,90,162,776
57,90,161,776
56,89,161,775
57,89,160,776
56,90,159,775
56,90,161,775
56,90,160,776
55,90,160,777
56,90,160,778
55,90,160,778
56,90,160,779
55,91,160,779
55,90,160,780
55,90,159,781
55,91,160,782
55,91,160,783
55,91,161,785
55,91,161,786
55,91,161,788
56,92,161,788
55,92,160,789
56,92,159,789
55,91,159,788
55,91,159,788
55,91,159,789
55,91,158,788
55,91,158,788
55,91,157,789
55,91,157,788
54,91,157,788
55,91,157,787
54,91,157,787
54,90,157,787
54,91,156,787
55,91,156,787
54,91,157,787
54,91,157,788
55,91,157,789
55,91,158,790
55,91,159,791
55,91,159,792
55,92,159,793
55,92,160,794
55,92,160,794
55,92,159,794
54,92,159,795
55,92,158,795
55,92,159,796
55,92,159,796
55,92,158,797
55,92,158,796
55,92,158,795
54,92,158,796
54,92,157,795
55,92,158,796
55,92,158,796
55,92,157,795
55,91,157,796
54,92,157,795
55,92,157,795
55,92,158,796
54,92,158,795
54,92,157,796
54,92,157,797
55,92,158,796
54,91,158,798
54,92,158,798
54,92,158,798
55,92,158,799
54,92,158,800
55,92,158,800
54,92,158,800
55,92,159,800
55,92,158,801
55,93,159,800
55,92,159,801
55,92,159,801
55,92,159,800
55,92,159,801
55,92,158,800
54,91,159,801
55,92,158,800
55,92,159,800
54,92,159,801
55,92,159,801
55,93,160,802
55,93,160,802
55,92,160,803
55,93,161,803
55,93,160,803
55,93,160,805
55,93,161,805
55,92,161,805
55,93,161,805
55,93,161,805
55,93,162,805
56,93,162,806
55,93,162,806
56,93,162,807
56,94,163,807
56,94,163,808
57,93,164,808
57,93,164,808
57,93,163,809
57,93,164,809
56,94,164,809
57,94,164,810
57,94,163,809
57,93,163,809
57,94,164,809
56,94,164,809
57,94,164,809
57,94,163,809
57,94,163,808
57,94,163,808
57,94,163,808
57,93,162,807
57,93,163,807
57,93,162,806
57,93,163,807
57,93,164,807
57,94,164,808
57,94,164,808
57,94,164,809
57,94,165,808
57,94,165,809
58,94,165,809
58,94,165,809
57,94,165,809
57,94,165,809
58,93,165,810
58,94,166,809
58,94,165,809
58,94,166,809
57,94,166,810
57,94,166,810
58,94,166,810
58,94,166,810
58,94,166,809
58,94,166,810
58,94,166,810
58,94,166,810
58,94,166,810
58,94,166,810
58,94,166,809
58,94,167,811
58,94,167,810
58,94,167,810
58,94,167,811
59,94,168,811
58,94,168,811
59,95,168,811
59,95,168,811
59,95,168,811
59,94,168,812
59,95,169,812
59,94,168,813
59,94,169,812
59,94,169,813
60,94,169,812
59,94,169,812
59,94,169,813
59,95,169,812
60,94,169,812
60,95,169,812
59,94,169,811
60,95,169,811
60,94,169,811
60,94,169,811
60,94,170,812
60,94,170,811
60,94,170,812
60,95,170,812
60,95,171,812
60,95,170,812
60,95,171,812
60,95,171,812
60,94,171,813
60,95,171,812
60,94,171,812
60,95,171,812
60,94,171,812
60,94,172,811
60,94,171,812
60,94,172,811
60,94,171,811
60,94,171,810
60,95,171,810
60,94,172,810
60,94,172,811
60,95,172,811
60,95,173,812
61,95,172,812
60,95,172,812
61,95,173,812
