NO2,C2H5OH,VOC,CO
36,64,76,723
37,64,76,724
37,63,76,725
36,64,75,726
37,63,75,726
36,64,75,727
37,64,75,728
37,64,75,728
36,64,75,730
36,64,76,731
36,64,76,732
37,64,75,732
36,64,75,732
37,65,76,733
36,65,75,734
36,65,75,734
36,65,76,735
36,65,75,736
36,65,75,737
36,65,76,737
36,65,76,739
36,65,76,739
36,65,75,740
36,65,76,740
36,65,75,740
36,65,76,742
36,65,76,741
36,65,76,742
36,65,76,743
36,65,76,744
36,65,76,744
36,66,76,746
36,66,77,746
36,66,77,747
36,66,76,749
37,66,77,751
37,66,78,752
37,66,77,754
37,66,78,754
36,66,77,754
37,67,77,755
37,66,77,756
37,67,77,756
37,66,77,757
37,66,77,756
37,67,77,756
37,66,77,756
37,67,77,756
37,66,77,757
37,67,77,756
37,67,77,756
37,67,77,757
37,67,77,758
37,66,77,758
37,67,78,759
37,67,77,760
37,67,78,761
37,67,78,761
37,67,78,762
37,67,78,763
37,67,78,763
38,67,78,763
38,67,78,763
38,67,78,763
38,67,78,763
38,68,78,763
38,68,78,762
38,67,77,763
38,67,78,762
38,67,77,763
38,68,78,764
38,68,78,764
38,68,78,765
38,68,79,766
39,68,79,768
38,68,79,768
39,68,80,769
39,68,79,769
39,69,79,769
39,69,79,769
40,69,80,770
39,69,80,770
39,69,81,771
40,68,81,772
40,69,81,772
40,69,81,773
40,69,81,772
40,69,81,773
40,69,81,773
40,70,81,774
40,70,82,774
41,69,82,775
41,69,82,775
41,70,82,775
41,70,81,775
41,70,81,775
41,70,81,775
41,70,81,775
40,69,81,775
41,69,82,775
41,69,82,775
41,70,82,775
41,70,82,776
41,70,82,776
42,71,83,777
42,70,82,777
42,70,83,777
42,70,83,778
42,70,83,778
42,71,83,777
43,71,83,778
42,71,83,778
42,71,83,778
43,71,83,779
43,71,84,779
43,71,84,779
43,71,83,779
43,71,84,780
44,72,84,781
43,71,85,782
44,71,85,782
43,72,85,782
44,72,86,783
44,72,86,784
45,72,86,785
45,72,87,784
45,72,87,785
44,72,87,786
45,72,87,785
46,73,87,786
45,73,87,787
46,73,88,787
46,73,88,788
46,73,89,788
47,73,88,788
47,73,88,789
47,73,89,789
47,73,89,788
48,73,89,788
48,73,89,787
48,73,89,787
47,73,89,787
47,73,90,787
48,73,90,788
48,74,90,788
48,74,90,788
48,74,91,789
48,74,91,789
49,74,91,790
49,74,92,791
49,74,92,790
49,75,91,791
49,74,91,790
49,74,92,790
50,74,92,790
50,74,92,790
50,75,92,790
50,75,93,790
50,74,93,791
50,74,93,790
50,74,93,790
50,74,93,789
50,74,93,788
50,74,93,788
50,75,94,788
50,74,93,788
50,74,94,788
50,74,94,788
50,75,94,788
50,75,93,789
50,75,94,789
51,74,95,790
51,75,95,790
51,74,95,790
51,75,95,790
51,75,95,790
51,75,96,791
52,75,96,791
51,76,96,791
52,75,96,792
52,75,96,792
52,76,97,793
52,76,97,793
52,75,97,793
53,76,97,793
52,75,97,792
52,75,97,792
52,75,97,791
52,75,97,791
52,76,97,791
52,76,97,791
52,76,98,791
53,76,97,791
53,76,98,792
53,76,98,792
53,76,99,793
53,76,98,793
53,76,99,792
53,76,99,793
53,76,99,792
53,76,99,792
53,76,99,792
53,77,100,792
53,76,99,791
53,76,100,791
53,76,99,790
53,76,99,789
53,76,99,790
53,76,98,789
53,76,98,787
53,76,98,787
53,76,99,787
53,76,98,788
52,76,99,787
52,76,99,787
52,76,99,787
53,76,98,788
52,76,99,788
53,76,99,788
52,77,99,788
53,76,99,789
52,77,99,788
52,77,99,789
52,76,99,789
52,77,99,790
52,77,100,789
53,77,100,790
53,77,100,791
53,77,100,792
53,77,100,793
53,77,101,793
54,78,101,793
53,77,101,792
53,77,102,792
53,77,102,792
53,77,101,792
53,77,101,792
53,77,102,792
54,78,102,793
54,78,103,793
54,78,102,794
54,78,103,795
54,78,102,794
54,78,102,792
55,77,102,791
54,77,102,789
54,77,101,789
54,77,102,788
54,77,102,788
53,77,102,788
54,77,103,789
54,77,103,790
54,78,103,791
54,78,103,791
54,78,103,790
54,77,104,790
54,77,103,790
53,77,102,789
53,77,102,788
54,78,103,788
54,77,103,788
53,77,103,789
54,78,103,789
54,78,104,790
54,78,104,791
54,78,104,791
54,78,104,792
55,78,104,792
54,78,104,791
54,78,104,791
54,78,104,791
54,77,104,790
54,77,103,789
54,78,104,789
54,77,104,790
53,78,103,789
53,78,103,789
53,78,103,788
54,78,104,788
54,78,103,788
54,78,104,789
54,78,104,789
54,78,104,790
53,78,104,790
54,79,105,791
54,79,104,792
54,78,105,793
54,79,105,793
54,79,105,794
54,79,106,793
55,79,106,794
55,80,106,795
55,79,106,795
54,79,106,794
55,80,106,795
55,79,106,795
55,79,106,795
55,80,106,795
55,79,106,795
55,80,107,794
55,79,106,794
55,79,106,793
54,79,106,793
54,79,106,792
55,79,105,792
54,79,106,792
54,79,106,793
55,79,106,793
55,80,106,792
55,79,106,793
55,80,106,793
54,79,106,793
