NO2,C2H5OH,VOC,CO
800.0,907.0,754.0,433.0
799.0,906.0,754.0,431.0
799.0,905.0,753.0,431.0
799.0,905.0,753.0,430.0
797.0,905.0,753.0,426.0
798.0,905.0,752.0,425.0
797.0,905.0,752.0,424.0
797.0,904.0,751.0,422.0
797.0,904.0,750.0,418.0
796.0,904.0,751.0,418.0
796.0,903.0,750.0,419.0
796.0,904.0,751.0,419.0
796.0,902.0,750.0,417.0
796.0,902.0,749.0,414.0
794.0,902.0,750.0,412.0
794.0,901.0,748.0,411.0
793.0,901.0,748.0,409.0
793.0,902.0,746.0,406.0
792.0,901.0,747.0,404.0
792.0,900.0,747.0,402.0
792.0,900.0,747.0,402.0
792.0,899.0,745.0,399.0
793.0,899.0,746.0,397.0
792.0,899.0,745.0,396.0
791.0,899.0,746.0,394.0
791.0,899.0,745.0,395.0
790.0,898.0,745.0,396.0
791.0,899.0,744.0,397.0
791.0,900.0,745.0,401.0
791.0,899.0,744.0,403.0
792.0,900.0,745.0,408.0
791.0,900.0,744.0,411.0
792.0,902.0,745.0,415.0
793.0,901.0,746.0,417.0
792.0,902.0,746.0,422.0
792.0,902.0,745.0,426.0
793.0,902.0,746.0,429.0
794.0,904.0,746.0,430.0
793.0,904.0,748.0,433.0
793.0,904.0,748.0,435.0
793.0,904.0,748.0,437.0
794.0,905.0,748.0,438.0
795.0,906.0,749.0,441.0
795.0,905.0,750.0,443.0
796.0,905.0,750.0,444.0
795.0,906.0,750.0,446.0
794.0,906.0,751.0,447.0
795.0,907.0,750.0,447.0
796.0,906.0,751.0,448.0
796.0,906.0,751.0,449.0
797.0,906.0,750.0,448.0
797.0,906.0,751.0,446.0
795.0,907.0,751.0,443.0
796.0,906.0,750.0,441.0
795.0,906.0,751.0,437.0
794.0,906.0,750.0,436.0
794.0,905.0,751.0,437.0
796.0,905.0,750.0,438.0
795.0,906.0,750.0,439.0
796.0,905.0,751.0,440.0
