NO2,C2H5OH,VOC,CO
793.0,879.0,804.0,362.0
792.0,878.0,805.0,361.0
793.0,879.0,806.0,362.0
794.0,879.0,806.0,362.0
794.0,878.0,806.0,361.0
793.0,879.0,805.0,362.0
793.0,879.0,806.0,362.0
793.0,879.0,805.0,363.0
793.0,879.0,806.0,362.0
794.0,877.0,806.0,363.0
793.0,879.0,805.0,361.0
792.0,879.0,805.0,363.0
793.0,879.0,805.0,361.0
793.0,879.0,805.0,360.0
793.0,879.0,804.0,360.0
792.0,879.0,803.0,360.0
792.0,879.0,804.0,360.0
793.0,878.0,804.0,360.0
793.0,877.0,804.0,359.0
792.0,876.0,804.0,358.0
793.0,877.0,803.0,358.0
792.0,878.0,803.0,356.0
792.0,878.0,801.0,356.0
792.0,878.0,801.0,355.0
792.0,877.0,802.0,355.0
791.0,877.0,802.0,355.0
792.0,876.0,803.0,353.0
791.0,875.0,802.0,354.0
791.0,875.0,802.0,353.0
791.0,875.0,800.0,353.0
791.0,877.0,800.0,351.0
790.0,876.0,800.0,351.0
791.0,876.0,801.0,352.0
791.0,877.0,800.0,350.0
791.0,875.0,802.0,350.0
791.0,874.0,800.0,349.0
790.0,873.0,798.0,350.0
790.0,875.0,799.0,349.0
790.0,875.0,800.0,350.0
790.0,877.0,800.0,348.0
789.0,877.0,800.0,349.0
790.0,876.0,800.0,350.0
790.0,875.0,801.0,349.0
790.0,875.0,799.0,349.0
789.0,874.0,797.0,351.0
789.0,874.0,799.0,351.0
790.0,876.0,800.0,352.0
789.0,875.0,800.0,353.0
790.0,876.0,801.0,353.0
790.0,877.0,801.0,353.0
790.0,876.0,801.0,354.0
790.0,876.0,801.0,354.0
790.0,876.0,801.0,354.0
790.0,876.0,801.0,354.0
790.0,876.0,801.0,355.0
790.0,876.0,802.0,355.0
790.0,875.0,800.0,355.0
791.0,877.0,799.0,356.0
790.0,876.0,800.0,356.0
789.0,876.0,801.0,356.0
789.0,878.0,802.0,356.0
790.0,877.0,802.0,357.0
790.0,877.0,802.0,358.0
789.0,876.0,802.0,358.0
790.0,877.0,802.0,357.0
790.0,875.0,802.0,358.0
790.0,874.0,803.0,358.0
790.0,876.0,802.0,358.0
790.0,877.0,802.0,358.0
789.0,876.0,802.0,358.0
790.0,877.0,802.0,359.0
790.0,876.0,802.0,359.0
790.0,878.0,803.0,360.0
790.0,876.0,802.0,361.0
790.0,876.0,803.0,360.0
790.0,878.0,803.0,361.0
790.0,877.0,803.0,361.0
790.0,877.0,804.0,360.0
789.0,876.0,802.0,360.0
789.0,876.0,800.0,360.0
790.0,877.0,801.0,359.0
790.0,877.0,802.0,360.0
790.0,877.0,802.0,359.0
789.0,876.0,802.0,359.0
789.0,874.0,802.0,359.0
789.0,875.0,803.0,359.0
790.0,876.0,803.0,358.0
789.0,875.0,801.0,358.0
789.0,876.0,800.0,358.0
789.0,876.0,800.0,359.0
