NO2,C2H5OH,VOC,CO
765.0,849.0,779.0,341.0
766.0,849.0,780.0,343.0
766.0,853.0,775.0,348.0
766.0,854.0,768.0,354.0
766.0,855.0,767.0,355.0
765.0,856.0,770.0,356.0
766.0,857.0,774.0,356.0
766.0,858.0,777.0,358.0
765.0,858.0,778.0,359.0
766.0,859.0,780.0,359.0
765.0,857.0,781.0,360.0
765.0,855.0,782.0,360.0
766.0,853.0,781.0,362.0
766.0,850.0,782.0,362.0
765.0,851.0,779.0,363.0
766.0,854.0,778.0,363.0
765.0,856.0,781.0,365.0
766.0,857.0,782.0,365.0
766.0,857.0,783.0,364.0
766.0,859.0,782.0,362.0
766.0,859.0,782.0,360.0
766.0,858.0,778.0,356.0
765.0,859.0,772.0,347.0
765.0,857.0,770.0,344.0
766.0,853.0,772.0,347.0
765.0,850.0,776.0,350.0
766.0,848.0,777.0,353.0
766.0,848.0,779.0,352.0
765.0,850.0,778.0,344.0
766.0,853.0,778.0,341.0
765.0,855.0,773.0,342.0
765.0,856.0,767.0,344.0
765.0,856.0,767.0,347.0
766.0,857.0,771.0,350.0
766.0,856.0,774.0,351.0
765.0,855.0,776.0,344.0
764.0,850.0,778.0,341.0
766.0,848.0,778.0,342.0
765.0,847.0,776.0,344.0
765.0,849.0,771.0,347.0
765.0,850.0,765.0,350.0
764.0,853.0,765.0,349.0
764.0,855.0,769.0,342.0
764.0,855.0,773.0,339.0
766.0,856.0,776.0,339.0
765.0,855.0,777.0,339.0
766.0,854.0,777.0,339.0
765.0,850.0,776.0,339.0
764.0,846.0,769.0,337.0
765.0,845.0,764.0,336.0
765.0,847.0,765.0,335.0
764.0,850.0,768.0,335.0
765.0,851.0,772.0,333.0
765.0,852.0,774.0,333.0
765.0,854.0,774.0,334.0
765.0,854.0,773.0,334.0
765.0,852.0,768.0,335.0
764.0,848.0,764.0,337.0
764.0,845.0,763.0,336.0
763.0,844.0,766.0,335.0
764.0,845.0,771.0,335.0
764.0,848.0,772.0,334.0
764.0,851.0,775.0,333.0
764.0,852.0,774.0,333.0
763.0,854.0,771.0,336.0
763.0,854.0,765.0,335.0
764.0,853.0,763.0,333.0
764.0,849.0,765.0,331.0
764.0,846.0,770.0,331.0
764.0,844.0,773.0,331.0
763.0,845.0,775.0,331.0
764.0,846.0,774.0,332.0
763.0,849.0,770.0,332.0
765.0,851.0,764.0,332.0
764.0,853.0,762.0,332.0
764.0,853.0,763.0,334.0
764.0,853.0,767.0,336.0
764.0,850.0,770.0,336.0
764.0,847.0,774.0,336.0
764.0,844.0,775.0,337.0
764.0,844.0,775.0,339.0
764.0,846.0,776.0,341.0
764.0,849.0,775.0,342.0
763.0,852.0,768.0,343.0
764.0,853.0,764.0,344.0
763.0,853.0,767.0,344.0
764.0,855.0,770.0,342.0
764.0,854.0,773.0,340.0
763.0,853.0,776.0,339.0
764.0,850.0,777.0,345.0
