NO2,C2H5OH,VOC,CO
15,49,35,747
14,49,35,747
15,49,35,747
15,49,35,747
15,49,35,748
15,49,35,748
15,49,35,748
15,49,35,748
15,49,35,747
15,49,35,749
15,49,35,748
15,49,35,748
15,48,35,748
15,49,35,748
15,49,35,749
15,49,35,749
16,49,35,749
15,49,35,749
15,49,36,749
16,49,35,749
15,49,35,750
15,49,35,749
15,49,35,749
15,48,35,749
15,49,35,750
15,49,35,750
15,49,36,750
15,49,35,750
14,49,35,752
16,49,36,751
15,49,36,752
16,49,36,753
15,49,35,753
15,49,35,754
16,49,36,755
15,50,36,756
15,49,36,756
15,49,36,756
16,49,36,757
15,49,36,757
16,49,36,757
16,49,36,758
16,49,37,758
15,49,36,759
16,50,36,759
16,50,36,759
16,50,37,759
16,50,36,760
16,50,37,760
17,49,37,761
16,50,37,760
16,50,37,761
17,50,37,760
17,50,38,761
16,50,37,762
17,50,38,762
17,50,38,762
16,50,37,763
17,50,38,763
17,50,38,764
17,50,38,763
17,50,38,764
17,50,39,764
17,50,39,764
18,50,39,765
18,50,39,765
18,51,39,765
18,51,40,766
18,51,40,766
18,51,39,766
18,50,40,766
19,51,40,766
18,51,40,767
19,50,40,766
19,51,41,767
19,51,40,767
19,51,41,767
19,51,41,767
19,51,41,768
20,51,42,768
19,51,41,768
20,51,42,768
20,51,43,768
20,51,43,769
20,51,43,769
21,51,44,769
21,51,44,769
21,51,44,769
21,52,44,769
21,52,45,769
21,51,44,770
21,52,45,770
22,52,45,770
22,52,45,770
22,52,45,769
22,52,46,770
22,52,46,770
23,52,47,770
23,52,47,771
23,52,47,770
23,52,47,770
23,52,48,770
24,52,48,771
24,52,48,770
23,52,49,771
24,53,49,771
24,52,49,771
24,52,50,771
24,52,50,770
24,52,50,771
25,52,50,771
25,53,51,771
25,53,51,771
25,53,52,771
26,53,52,772
26,53,52,772
26,53,53,772
26,53,53,772
26,53,53,772
27,53,54,773
27,53,54,772
27,53,54,773
27,53,54,773
28,54,55,773
28,53,55,773
28,54,56,772
28,54,56,773
28,53,57,774
29,54,57,774
29,54,57,773
29,54,58,774
29,53,58,774
29,54,58,774
30,54,59,774
29,54,59,774
30,54,59,774
29,54,61,775
31,54,61,775
31,54,61,775
32,54,62,776
31,54,62,776
32,55,63,776
32,55,63,776
32,55,63,776
33,55,64,776
33,55,65,776
33,55,65,777
34,55,66,776
34,55,66,777
34,55,66,777
34,55,67,777
35,55,66,777
35,55,68,777
35,56,68,777
35,56,69,778
36,56,69,778
36,55,70,778
36,55,70,778
36,56,71,778
37,56,71,778
37,56,72,778
38,56,72,778
37,56,73,778
38,56,73,779
38,56,74,778
39,56,74,778
39,56,75,778
39,57,75,779
39,57,76,779
40,56,76,778
40,57,77,779
40,57,77,779
41,57,78,779
41,57,78,779
41,57,79,779
42,57,79,779
42,57,80,780
42,57,80,779
42,57,81,780
43,58,81,780
43,57,82,780
44,57,82,780
44,58,83,780
44,57,84,780
44,58,84,780
45,58,84,780
45,58,85,780
45,58,86,780
45,58,86,780
46,58,87,780
46,58,87,780
46,58,87,780
47,58,88,780
47,58,88,780
47,58,89,780
48,58,90,780
48,59,90,780
48,58,90,780
49,59,91,780
49,59,91,780
49,59,92,780
49,59,93,781
50,59,93,780
49,59,93,780
50,60,94,780
51,59,94,780
51,59,95,780
51,60,96,781
52,60,96,780
52,60,97,781
52,60,97,781
52,60,97,781
53,60,98,781
53,60,98,780
53,60,99,781
54,60,100,781
54,60,100,781
54,61,100,780
55,60,100,781
54,60,101,781
55,61,102,781
55,61,102,781
55,61,103,781
56,61,104,781
56,61,104,781
56,61,105,781
56,61,105,782
57,61,106,781
57,61,106,781
57,62,107,782
58,61,107,781
58,62,108,781
58,61,108,781
59,62,109,781
59,62,109,782
59,62,110,781
60,62,111,781
60,62,111,781
60,62,111,781
60,62,112,781
60,62,113,782
60,62,113,781
61,62,113,781
62,63,114,781
62,62,115,782
62,62,115,781
63,63,116,782
62,63,116,781
63,62,116,781
63,63,117,781
63,63,117,781
64,63,118,782
63,63,119,782
65,63,119,781
64,63,120,782
65,64,120,782
65,63,121,782
65,63,122,781
65,64,122,782
66,64,122,782
66,64,123,782
67,64,124,782
67,64,124,782
67,64,125,782
67,64,125,781
68,64,126,783
68,65,126,782
68,64,126,782
68,65,128,782
69,64,128,782
69,65,129,782
70,65,129,782
70,65,130,782
70,65,130,782
70,65,131,782
70,65,131,783
70,65,131,782
71,65,132,782
71,65,133,782
71,65,134,782
71,65,134,782
72,65,134,782
72,66,134,782
72,65,135,782
72,66,136,782
73,66,136,782
73,65,136,783
73,66,136,782
74,66,138,783
74,66,138,783
74,66,138,783
74,66,139,782
75,66,139,782
75,66,140,782
75,66,141,782
75,67,141,783
76,66,141,783
76,67,142,783
76,67,142,783
77,67,143,783
77,67,143,783
77,67,144,783
78,67,145,784
77,67,146,783
78,67,146,783
78,67,146,783
79,67,147,784
79,67,148,783
79,67,148,784
79,68,148,783
79,67,149,783
80,68,149,784
80,68,150,784
80,68,150,783
81,68,151,783
80,68,152,783
80,68,152,784
81,68,153,784
82,68,154,784
82,69,154,783
82,69,154,784
82,69,154,783
82,69,154,783
83,69,156,783
83,69,156,783
83,69,157,783
83,69,157,783
83,69,158,783
84,70,157,783
84,69,158,783
84,70,159,783
84,70,160,783
85,70,159,783
85,70,160,783
85,70,161,782
86,70,161,783
85,70,162,782
86,70,162,783
86,70,163,782
86,70,163,782
86,70,163,782
87,70,164,782
87,70,164,782
87,71,165,782
87,70,165,782
87,70,165,782
88,71,166,782
88,71,166,782
88,71,167,782
89,71,167,783
89,71,167,782
88,71,168,782
89,71,169,782
90,71,169,782
89,71,169,782
90,71,170,782
90,71,170,782
90,72,171,782
90,72,171,782
90,71,172,783
91,71,172,782
91,72,172,783
91,72,173,783
91,72,174,782
92,72,174,783
91,72,174,783
91,72,174,783
92,72,175,783
92,72,176,783
92,72,175,783
93,72,177,783
93,73,177,784
93,73,177,783
93,72,177,782
93,73,178,783
94,73,178,783
93,73,179,784
93,73,179,783
94,73,179,783
94,73,180,783
94,73,181,783
94,73,181,783
95,74,182,783
95,73,181,783
95,73,182,783
95,74,182,783
95,74,183,783
96,74,183,783
96,74,184,783
96,74,184,783
96,73,184,784
96,74,185,783
97,74,186,783
97,74,186,783
97,74,186,783
97,75,187,783
97,74,187,783
97,75,188,784
98,74,188,784
98,75,189,783
98,74,189,783
98,75,190,783
99,75,190,783
99,74,191,783
99,75,191,783
100,75,192,783
99,75,192,784
100,75,193,783
101,75,193,784
101,75,194,783
101,75,194,783
101,76,195,783
101,76,195,783
102,76,195,784
102,76,196,783
102,75,196,783
102,76,197,783
102,76,197,783
102,76,198,783
102,76,198,784
103,76,199,783
103,76,199,784
103,77,199,784
103,76,200,783
103,77,200,784
104,77,201,783
104,77,201,783
104,77,201,783
104,77,202,784
104,77,202,784
105,77,203,783
105,78,203,783
105,78,203,784
105,77,204,783
105,78,204,783
106,77,205,783
106,77,205,783
106,77,205,783
106,77,206,783
106,78,206,783
106,78,206,783
106,78,206,783
106,78,206,783
106,78,207,783
107,78,207,783
107,78,207,782
107,78,207,783
107,78,208,783
107,79,208,784
108,79,209,783
107,78,209,782
107,79,209,783
108,78,210,783
108,79,210,783
109,79,211,783
108,79,211,783
109,79,211,783
109,79,212,783
109,79,212,783
109,79,212,783
109,80,213,783
109,79,213,783
109,79,213,783
110,80,213,783
110,80,214,783
110,80,214,782
110,80,214,783
110,80,215,783
111,79,215,783
110,80,215,783
111,79,216,783
112,80,216,783
111,80,216,783
111,80,216,783
111,80,217,783
111,81,217,782
112,80,217,783
112,81,218,782
112,81,218,782
112,81,218,783
112,81,218,782
111,81,219,783
112,81,219,783
112,81,220,783
113,81,220,782
112,81,220,783
113,81,220,783
113,81,221,783
114,81,221,783
113,81,222,782
114,82,222,783
114,81,222,782
114,81,222,783
113,81,222,783
114,82,223,783
114,82,223,782
114,82,224,782
114,82,223,782
115,82,223,782
115,82,224,782
116,82,224,782
114,82,225,783
115,82,225,783
115,82,225,782
116,83,225,783
115,82,226,783
115,83,226,783
116,83,226,783
116,83,226,782
116,83,227,783
116,83,227,783
116,83,227,783
116,83,228,783
116,83,228,783
116,83,228,783
116,83,228,783
117,83,229,783
116,83,229,783
117,83,230,782
117,84,230,783
117,84,230,783
117,83,231,783
118,84,231,783
118,84,231,783
118,84,232,783
118,84,231,783
118,84,232,783
119,84,232,783
119,84,232,783
119,84,232,783
119,84,233,783
118,84,234,783
119,84,234,783
119,84,235,783
119,85,234,783
119,85,235,783
119,85,235,783
120,85,236,783
120,85,236,783
120,85,236,782
120,85,236,783
120,85,236,783
120,85,237,783
121,85,237,782
121,85,237,783
120,85,237,783
121,86,237,783
121,86,238,782
121,85,238,782
121,86,238,782
121,86,238,783
121,86,238,782
121,86,238,783
121,86,239,783
122,86,239,782
122,86,240,783
122,86,240,783
122,86,240,783
122,86,241,782
122,86,240,783
121,86,241,783
122,86,241,783
123,87,241,782
123,87,241,782
122,86,242,783
123,87,241,783
123,87,242,783
123,87,243,783
123,87,243,783
124,87,243,783
123,87,244,782
124,87,244,782
123,87,244,783
124,87,244,782
124,87,244,783
123,87,245,783
125,87,245,783
124,88,245,782
124,88,246,782
124,87,246,783
124,88,246,783
124,88,247,783
125,87,246,783
125,88,247,783
125,88,247,783
125,88,247,782
125,88,248,783
125,88,247,783
125,88,248,783
125,88,247,783
126,88,248,782
126,88,248,783
126,89,249,783
125,89,249,783
126,89,249,783
126,89,249,783
126,89,249,783
127,89,250,782
126,89,250,783
126,89,250,783
127,89,250,782
126,89,250,783
127,89,251,783
127,89,251,784
127,89,252,783
127,89,251,783
